request_id,xid,worker_id,ok,request_bytes,response_bytes,server_rx_enter_ns,server_rx_unblock_ns,server_rx_exit_ns,server_unmarshal_enter_ns,server_unmarshal_exit_ns,server_handler_enter_ns,server_handler_exit_ns,server_marshal_enter_ns,server_marshal_exit_ns,server_tx_enter_ns,server_tx_exit_ns,timestamp_overhead_ns,timestamp_call_count
0,-1043906966,0,1,48,8,99739303080,99739312150,99739312670,99739312820,99739314250,99739314650,99739314760,99739314990,99739315420,99739315570,99739325120,50,11
0,-1043906966,0,1,48,8,114753997260,114753998810,114753999110,114753999240,114754000440,114754000600,114754000700,114754000840,114754001190,114754001280,114754004050,50,11
1,-1027129750,0,1,48,8,114754115810,114754133440,114754133690,114754133790,114754134620,114754134770,114754134880,114754135010,114754135340,114754135420,114754138090,50,11
2,-1010352534,0,1,48,8,114754217160,114754238340,114754238600,114754238670,114754239420,114754239540,114754239650,114754239780,114754240090,114754240180,114754242850,50,11
3,-993575318,0,1,48,8,114754320580,114754337560,114754337820,114754337890,114754338560,114754338690,114754338790,114754338920,114754339240,114754339320,114754341950,50,11
4,-976798102,0,1,48,8,114754419650,114754437840,114754438100,114754438170,114754438820,114754438950,114754439050,114754439180,114754439500,114754439580,114754442240,50,11
5,-960020886,0,1,48,8,114754519800,114754537240,114754537500,114754537570,114754538230,114754538350,114754538450,114754538580,114754538900,114754538990,114754541610,50,11
6,-943243670,0,1,48,8,114754619250,114754635110,114754635360,114754635440,114754636090,114754636210,114754636320,114754636450,114754636760,114754636850,114754639510,50,11
7,-926466454,0,1,48,8,114754717300,114754733800,114754734060,114754734130,114754734790,114754734910,114754735010,114754735140,114754735460,114754735550,114754738190,50,11
8,-909689238,0,1,48,8,114754815970,114754834690,114754834940,114754835020,114754835690,114754835810,114754835920,114754836050,114754836360,114754836450,114754839110,50,11
9,-892912022,0,1,48,8,114754916870,114754949430,114754949690,114754949760,114754950460,114754950580,114754950680,114754950810,114754951130,114754951220,114754953840,50,11
10,-876134806,0,1,48,8,114755035970,114755067490,114755067750,114755067840,114755068560,114755068680,114755068780,114755068910,114755069230,114755069310,114755071990,50,11
11,-859357590,0,1,48,8,114755150020,114755168740,114755169000,114755169070,114755169820,114755169940,114755170040,114755170180,114755170490,114755170580,114755173210,50,11
12,-842580374,0,1,48,8,114755250910,114755268620,114755268880,114755268950,114755269630,114755269750,114755269850,114755269990,114755270300,114755270390,114755273040,50,11
13,-825803158,0,1,48,8,114755351790,114755367310,114755367570,114755367640,114755368320,114755368440,114755368540,114755368680,114755368990,114755369080,114755371700,50,11
14,-809025942,0,1,48,8,114755449420,114755464160,114755464420,114755464490,114755465170,114755465290,114755465390,114755465490,114755465810,114755465900,114755468530,50,11
15,-792248726,0,1,48,8,114755546170,114755561200,114755561460,114755561530,114755562200,114755562330,114755562430,114755562520,114755562840,114755562930,114755565560,50,11
16,-775471510,0,1,48,8,114755643170,114755660420,114755660680,114755660750,114755661420,114755661550,114755661650,114755661740,114755662060,114755662150,114755664820,50,11
17,-758694294,0,1,48,8,114755742400,114755759130,114755759380,114755759460,114755760130,114755760250,114755760360,114755760450,114755760770,114755760860,114755763480,50,11
18,-741917078,0,1,48,8,114755840990,114755857850,114755858110,114755858180,114755858860,114755858980,114755859080,114755859180,114755859500,114755859590,114755862250,50,11
19,-725139862,0,1,48,8,114755944150,114755973270,114755973530,114755973600,114755974370,114755974490,114755974600,114755974730,114755975050,114755975140,114755977790,50,11
20,-708362646,0,1,48,8,114756055840,114756076640,114756076900,114756076970,114756077650,114756077770,114756077870,114756078010,114756078320,114756078410,114756081070,50,11
21,-691585430,0,1,48,8,114756139420,114756174860,114756175160,114756175250,114756176080,114756176230,114756176330,114756176460,114756176780,114756176860,114756179530,50,11
22,-674808214,0,1,48,8,114756250060,114756273720,114756273980,114756274050,114756274710,114756274830,114756274930,114756275030,114756275350,114756275430,114756278080,50,11
23,-658030998,0,1,48,8,114756347630,114756371880,114756372140,114756372210,114756372870,114756372990,114756373090,114756373190,114756373500,114756373590,114756376210,50,11
24,-641253782,0,1,48,8,114756445800,114756471110,114756471370,114756471440,114756472110,114756472230,114756472340,114756472430,114756472750,114756472840,114756475500,50,11
25,-624476566,0,1,48,8,114756545060,114756568280,114756568530,114756568610,114756569260,114756569380,114756569490,114756569580,114756569900,114756569990,114756572610,50,11
26,-607699350,0,1,48,8,114756643350,114756666360,114756666620,114756666690,114756667380,114756667500,114756667600,114756667700,114756668020,114756668110,114756670750,50,11
27,-590922134,0,1,48,8,114756740180,114756764280,114756764540,114756764610,114756765270,114756765390,114756765490,114756765630,114756765950,114756766040,114756768660,50,11
28,-574144918,0,1,48,8,114756838060,114756861600,114756861860,114756861930,114756862590,114756862710,114756862810,114756862910,114756863230,114756863310,114756865950,50,11
29,-557367702,0,1,48,8,114756944640,114756977980,114756978240,114756978310,114756979060,114756979180,114756979280,114756979420,114756979740,114756979830,114756982460,50,11
30,-540590486,0,1,48,8,114757052250,114757080870,114757081130,114757081200,114757081850,114757081980,114757082080,114757082170,114757082490,114757082580,114757085210,50,11
31,-523813270,0,1,48,8,114757154620,114757175820,114757176080,114757176150,114757176810,114757176930,114757177030,114757177130,114757177440,114757177530,114757180170,50,11
32,-507036054,0,1,48,8,114757300690,114757305310,114757305570,114757305640,114757306290,114757306420,114757306520,114757306610,114757306930,114757307020,114757309670,50,11
33,-490258838,0,1,48,8,114757379010,114757398740,114757399000,114757399070,114757399730,114757399850,114757399950,114757400050,114757400370,114757400450,114757403080,50,11
34,-473481622,0,1,48,8,114757472450,114757488320,114757488580,114757488650,114757489310,114757489430,114757489530,114757489630,114757489950,114757490030,114757492670,50,11
35,-456704406,0,1,48,8,114757562000,114757577370,114757577630,114757577700,114757578350,114757578480,114757578580,114757578680,114757578990,114757579080,114757581700,50,11
36,-439927190,0,1,48,8,114757651040,114757666610,114757666860,114757666930,114757667590,114757667710,114757667820,114757667910,114757668230,114757668320,114757670950,50,11
37,-423149974,0,1,48,8,114757740240,114757754980,114757755230,114757755300,114757755960,114757756080,114757756180,114757756280,114757756600,114757756690,114757759310,50,11
38,-406372758,0,1,48,8,114757829490,114757844240,114757844500,114757844570,114757845220,114757845350,114757845450,114757845540,114757845860,114757845950,114757848610,50,11
39,-389595542,0,1,48,8,114757917970,114757950620,114757950880,114757950950,114757951610,114757951730,114757951830,114757951930,114757952240,114757952330,114757954950,50,11
40,-372818326,0,1,48,8,114758033150,114758051430,114758051680,114758051760,114758052410,114758052570,114758052670,114758052760,114758053080,114758053170,114758055840,50,11
41,-356041110,0,1,48,8,114758125410,114758144160,114758144420,114758144490,114758145150,114758145270,114758145370,114758145470,114758145790,114758145880,114758148510,50,11
42,-339263894,0,1,48,8,114758217940,114758235780,114758236040,114758236110,114758236770,114758236890,114758236990,114758237090,114758237410,114758237500,114758240140,50,11
43,-322486678,0,1,48,8,114758311230,114758326160,114758326420,114758326490,114758327140,114758327270,114758327370,114758327460,114758327780,114758327870,114758330490,50,11
44,-305709462,0,1,48,8,114758399910,114758415030,114758415290,114758415360,114758416010,114758416140,114758416240,114758416330,114758416650,114758416740,114758419380,50,11
45,-288932246,0,1,48,8,114758454530,114758504310,114758504610,114758504700,114758505420,114758505570,114758505670,114758505810,114758506130,114758506220,114758508870,50,11
46,-272155030,0,1,48,8,114758578640,114758592340,114758592600,114758592670,114758593330,114758593450,114758593550,114758593650,114758593970,114758594050,114758596690,50,11
47,-255377814,0,1,48,8,114758665990,114758680660,114758680920,114758680990,114758681650,114758681770,114758681870,114758681970,114758682290,114758682370,114758685010,50,11
48,-238600598,0,1,48,8,114758754400,114758770410,114758770670,114758770740,114758771420,114758771540,114758771640,114758771740,114758772060,114758772140,114758774790,50,11
49,-221823382,0,1,48,8,114758844330,114758858820,114758859070,114758859140,114758859800,114758859920,114758860020,114758860120,114758860440,114758860530,114758863150,50,11
50,-205046166,0,1,48,8,114758941480,114758964970,114758965230,114758965300,114758966050,114758966170,114758966270,114758966370,114758966690,114758966780,114758969440,50,11
51,-188268950,0,1,48,8,114759039910,114759064980,114759065230,114759065310,114759065960,114759066090,114759066190,114759066280,114759066600,114759066690,114759069310,50,11
52,-171491734,0,1,48,8,114759138650,114759156030,114759156290,114759156360,114759157020,114759157140,114759157240,114759157340,114759157660,114759157740,114759160380,50,11
53,-154714518,0,1,48,8,114759229720,114759248090,114759248350,114759248420,114759249070,114759249200,114759249300,114759249390,114759249710,114759249800,114759252420,50,11
54,-137937302,0,1,48,8,114759321910,114759336950,114759337210,114759337280,114759337940,114759338060,114759338160,114759338260,114759338580,114759338670,114759341320,50,11
55,-121160086,0,1,48,8,114759410670,114759425730,114759425990,114759426060,114759426710,114759426840,114759426940,114759427030,114759427350,114759427440,114759430060,50,11
56,-104382870,0,1,48,8,114759499350,114759516150,114759516410,114759516480,114759517140,114759517260,114759517360,114759517460,114759517780,114759517860,114759520520,50,11
57,-87605654,0,1,48,8,114759589800,114759605060,114759605320,114759605390,114759606040,114759606170,114759606270,114759606360,114759606680,114759606770,114759609380,50,11
58,-70828438,0,1,48,8,114759678760,114759692910,114759693170,114759693240,114759693890,114759694020,114759694120,114759694220,114759694530,114759694620,114759697270,50,11
59,-54051222,0,1,48,8,114759766590,114759781680,114759781940,114759782010,114759782670,114759782790,114759782890,114759782990,114759783310,114759783400,114759786020,50,11
60,-37274006,0,1,48,8,114759855350,114759869750,114759870010,114759870080,114759870730,114759870860,114759870960,114759871500,114759871850,114759871930,114759874560,50,11
61,-20496790,0,1,48,8,114759952740,114759977350,114759977610,114759977680,114759978340,114759978460,114759978560,114759978700,114759979020,114759979100,114759981730,50,11
62,-3719574,0,1,48,8,114760051360,114760076650,114760076900,114760076970,114760077630,114760077750,114760077860,114760077950,114760078270,114760078360,114760081000,50,11
63,13123178,0,1,48,8,114760151370,114760167160,114760167420,114760167490,114760168150,114760168270,114760168370,114760168510,114760168830,114760168910,114760171550,50,11
64,29900394,0,1,48,8,114760240980,114760260570,114760260830,114760260900,114760261560,114760261680,114760261780,114760261880,114760262190,114760262280,114760264930,50,11
65,46677610,0,1,48,8,114760334290,114760375660,114760375910,114760375990,114760376640,114760376760,114760376870,114760376960,114760377280,114760377370,114760380000,50,11
66,63454826,0,1,48,8,114760449420,114760468410,114760468670,114760468740,114760469390,114760469520,114760469620,114760469710,114760470030,114760470120,114760472750,50,11
67,80232042,0,1,48,8,114760542080,114760558370,114760558630,114760558700,114760559360,114760559480,114760559580,114760559680,114760560000,114760560080,114760562680,50,11
68,97009258,0,1,48,8,114760632010,114760647630,114760647890,114760647960,114760648620,114760648740,114760648840,114760648940,114760649260,114760649340,114760651980,50,11
69,113786474,0,1,48,8,114760737160,114760738730,114760738980,114760739050,114760739760,114760739890,114760739980,114760740120,114760740440,114760740520,114760743140,50,11
70,130563690,0,1,48,8,114760812860,114760826280,114760826540,114760826610,114760827270,114760827390,114760827490,114760827590,114760827900,114760827990,114760830630,50,11
71,147340906,0,1,48,8,114760900180,114760914640,114760914900,114760914970,114760915640,114760915770,114760915870,114760916000,114760916320,114760916410,114760919030,50,11
72,164118122,0,1,48,8,114760997510,114761017670,114761017930,114761018000,114761018750,114761018870,114761018970,114761019110,114761019420,114761019510,114761022160,50,11
73,180895338,0,1,48,8,114761091850,114761107490,114761107750,114761107820,114761108470,114761108600,114761108700,114761108790,114761109110,114761109200,114761111830,50,11
74,197672554,0,1,48,8,114761181320,114761197890,114761198150,114761198220,114761198870,114761199000,114761199100,114761199190,114761199510,114761199600,114761202230,50,11
75,214449770,0,1,48,8,114761271620,114761287920,114761288170,114761288240,114761288900,114761289020,114761289120,114761289220,114761289540,114761289630,114761292260,50,11
