index,raw,opcode,message,timestamp,aliased_addr,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb10,xb1_2,xb2,xb3,xb4,xb5
235,0x2804300000008100,5,ECI_CMD_MREQ_RLDX,126070007556,8100,,0,,,1,,,1,0,8100,7,,,,0,4,0,
236,0x2804300000008200,5,ECI_CMD_MREQ_RLDX,126070007558,8200,,0,,,1,,,1,0,8200,7,,,,0,4,0,
237,0x2804300000008300,5,ECI_CMD_MREQ_RLDX,126070007560,8300,,0,,,1,,,1,0,8300,7,,,,0,4,0,
238,0x2844300000008400,5,ECI_CMD_MREQ_RLDX,126070007562,8400,,0,,,1,,,17,0,8400,7,,,,0,4,0,
239,0x2840300000008500,5,ECI_CMD_MREQ_RLDX,126070007564,8500,,0,,,1,,,16,0,8500,7,,,,0,4,0,
240,0x2840300000008600,5,ECI_CMD_MREQ_RLDX,126070007566,8600,,0,,,1,,,16,0,8600,7,,,,0,4,0,
241,0x5000000000008000,10,ECI_CMD_MRSP_PEMD,126070007568,8000,0,0,0,,,0,,0,3,8000,11,0,,0,,0,,0
242,0x5007c00000008100,10,ECI_CMD_MRSP_PEMD,126070007643,8100,0,15,0,,,0,,1,4,8100,5,0,,0,,0,,0
243,0x5007c00000008200,10,ECI_CMD_MRSP_PEMD,126070007665,8200,0,15,0,,,0,,1,4,8200,5,0,,0,,0,,0
244,0x5007c00000008300,10,ECI_CMD_MRSP_PEMD,126070007687,8300,0,15,0,,,0,,1,4,8300,5,0,,0,,0,,0
245,0x5047c00000008400,10,ECI_CMD_MRSP_PEMD,126070007709,8400,0,15,0,,,0,,17,4,8400,5,0,,0,,0,,0
246,0x0007e00000008100,0,ECI_CMD_MRSP_VICD,126070007727,8100,,15,,,1,,,,2,8100,5,,1,,,,,0
247,0x5043c00000008500,10,ECI_CMD_MRSP_PEMD,126070007731,8500,0,15,0,,,0,,16,4,8500,5,0,,0,,0,,0
248,0x0007e00000008200,0,ECI_CMD_MRSP_VICD,126070007749,8200,,15,,,1,,,,2,8200,5,,1,,,,,0
249,0x5043c00000008600,10,ECI_CMD_MRSP_PEMD,126070007753,8600,0,15,0,,,0,,16,4,8600,5,0,,0,,0,,0
250,0x0007e00000008300,0,ECI_CMD_MRSP_VICD,126070007771,8300,,15,,,1,,,,2,8300,5,,1,,,,,0
251,0x0007e00000008400,0,ECI_CMD_MRSP_VICD,126070007792,8400,,15,,,1,,,,2,8400,5,,1,,,,,0
252,0x0007e00000008500,0,ECI_CMD_MRSP_VICD,126070007813,8500,,15,,,1,,,,2,8500,5,,1,,,,,0
253,0x0007e00000008600,0,ECI_CMD_MRSP_VICD,126070007837,8600,,15,,,1,,,,2,8600,5,,1,,,,,0
254,0x5803e40000008000,11,ECI_CMD_MFWD_FEVX_EH,126070007902,8000,,15,,0,1,,1,,5,8000,9,0,,,0,0,,
255,0x1803e00000008000,3,ECI_CMD_MRSP_VICDHI,126070007980,8000,,15,,0,1,,,,2,8000,5,,,,,0,,0
256,0x2804300000008100,5,ECI_CMD_MREQ_RLDX,126070008596,8100,,0,,,1,,,1,0,8100,7,,,,0,4,0,
257,0x2800300000008200,5,ECI_CMD_MREQ_RLDX,126070008599,8200,,0,,,1,,,0,0,8200,7,,,,0,4,0,
258,0x2804300000008300,5,ECI_CMD_MREQ_RLDX,126070008601,8300,,0,,,1,,,1,0,8300,7,,,,0,4,0,
259,0x2844300000008400,5,ECI_CMD_MREQ_RLDX,126070008603,8400,,0,,,1,,,17,0,8400,7,,,,0,4,0,
260,0x2840300000008500,5,ECI_CMD_MREQ_RLDX,126070008605,8500,,0,,,1,,,16,0,8500,7,,,,0,4,0,
261,0x2840300000008600,5,ECI_CMD_MREQ_RLDX,126070008607,8600,,0,,,1,,,16,0,8600,7,,,,0,4,0,
262,0x5007c00000008100,10,ECI_CMD_MRSP_PEMD,126070008672,8100,0,15,0,,,0,,1,4,8100,5,0,,0,,0,,0
263,0x5003c00000008200,10,ECI_CMD_MRSP_PEMD,126070008697,8200,0,15,0,,,0,,0,4,8200,5,0,,0,,0,,0
264,0x5007c00000008300,10,ECI_CMD_MRSP_PEMD,126070008719,8300,0,15,0,,,0,,1,4,8300,5,0,,0,,0,,0
265,0x5047c00000008400,10,ECI_CMD_MRSP_PEMD,126070008741,8400,0,15,0,,,0,,17,4,8400,5,0,,0,,0,,0
266,0x0007e00000008100,0,ECI_CMD_MRSP_VICD,126070008755,8100,,15,,,1,,,,2,8100,5,,1,,,,,0
267,0x5043c00000008500,10,ECI_CMD_MRSP_PEMD,126070008763,8500,0,15,0,,,0,,16,4,8500,5,0,,0,,0,,0
268,0x0007e00000008200,0,ECI_CMD_MRSP_VICD,126070008782,8200,,15,,,1,,,,2,8200,5,,1,,,,,0
269,0x5043c00000008600,10,ECI_CMD_MRSP_PEMD,126070008785,8600,0,15,0,,,0,,16,4,8600,5,0,,0,,0,,0
270,0x0007e00000008300,0,ECI_CMD_MRSP_VICD,126070008803,8300,,15,,,1,,,,2,8300,5,,1,,,,,0
271,0x0007e00000008400,0,ECI_CMD_MRSP_VICD,126070008825,8400,,15,,,1,,,,2,8400,5,,1,,,,,0
272,0x0007e00000008500,0,ECI_CMD_MRSP_VICD,126070008846,8500,,15,,,1,,,,2,8500,5,,1,,,,,0
273,0x0007e00000008600,0,ECI_CMD_MRSP_VICD,126070008868,8600,,15,,,1,,,,2,8600,5,,1,,,,,0
274,0x0007e00000008000,0,ECI_CMD_MREQ_RLDD,126070008877,8000,,15,,,1,,,1,0,8000,7,,,,0,0,0,
275,0x4807c00000008000,9,ECI_CMD_MRSP_PSHA,126070009216,8000,0,15,0,,,0,,1,4,8000,5,0,,0,,0,,0
276,0x3803e00000008000,7,ECI_CMD_MREQ_RC2D_S,126070009649,8000,,15,,,1,,,0,0,8000,7,,,,0,0,0,
277,0x2800300000008100,5,ECI_CMD_MREQ_RLDX,126070009661,8100,,0,,,1,,,0,0,8100,7,,,,0,4,0,
278,0x2800300000008200,5,ECI_CMD_MREQ_RLDX,126070009663,8200,,0,,,1,,,0,0,8200,7,,,,0,4,0,
279,0x2800300000008300,5,ECI_CMD_MREQ_RLDX,126070009665,8300,,0,,,1,,,0,0,8300,7,,,,0,4,0,
280,0x2844300000008400,5,ECI_CMD_MREQ_RLDX,126070009667,8400,,0,,,1,,,17,0,8400,7,,,,0,4,0,
281,0x2840300000008500,5,ECI_CMD_MREQ_RLDX,126070009669,8500,,0,,,1,,,16,0,8500,7,,,,0,4,0,
282,0x2840300000008600,5,ECI_CMD_MREQ_RLDX,126070009671,8600,,0,,,1,,,16,0,8600,7,,,,0,4,0,
283,0x5000000000008000,10,ECI_CMD_MRSP_PEMD,126070009673,8000,0,0,0,,,0,,0,3,8000,11,0,,0,,0,,0
284,0x5003c00000008100,10,ECI_CMD_MRSP_PEMD,126070009748,8100,0,15,0,,,0,,0,4,8100,5,0,,0,,0,,0
285,0x5003c00000008200,10,ECI_CMD_MRSP_PEMD,126070009770,8200,0,15,0,,,0,,0,4,8200,5,0,,0,,0,,0
286,0x5003c00000008300,10,ECI_CMD_MRSP_PEMD,126070009792,8300,0,15,0,,,0,,0,4,8300,5,0,,0,,0,,0
287,0x5047c00000008400,10,ECI_CMD_MRSP_PEMD,126070009814,8400,0,15,0,,,0,,17,4,8400,5,0,,0,,0,,0
288,0x0007e00000008100,0,ECI_CMD_MRSP_VICD,126070009833,8100,,15,,,1,,,,2,8100,5,,1,,,,,0
289,0x5043c00000008500,10,ECI_CMD_MRSP_PEMD,126070009836,8500,0,15,0,,,0,,16,4,8500,5,0,,0,,0,,0
290,0x0007e00000008200,0,ECI_CMD_MRSP_VICD,126070009854,8200,,15,,,1,,,,2,8200,5,,1,,,,,0
291,0x5043c00000008600,10,ECI_CMD_MRSP_PEMD,126070009858,8600,0,15,0,,,0,,16,4,8600,5,0,,0,,0,,0
292,0x0007e00000008300,0,ECI_CMD_MRSP_VICD,126070009877,8300,,15,,,1,,,,2,8300,5,,1,,,,,0
293,0x0007e00000008400,0,ECI_CMD_MRSP_VICD,126070009897,8400,,15,,,1,,,,2,8400,5,,1,,,,,0
294,0x0007e00000008500,0,ECI_CMD_MRSP_VICD,126070009919,8500,,15,,,1,,,,2,8500,5,,1,,,,,0
295,0x0007e00000008600,0,ECI_CMD_MRSP_VICD,126070009942,8600,,15,,,1,,,,2,8600,5,,1,,,,,0
296,0x5803e40000008000,11,ECI_CMD_MFWD_FEVX_EH,126070010008,8000,,15,,0,1,,1,,5,8000,9,0,,,0,0,,
297,0x1803e00000008000,3,ECI_CMD_MRSP_VICDHI,126070010086,8000,,15,,0,1,,,,2,8000,5,,,,,0,,0
298,0x2800300000008100,5,ECI_CMD_MREQ_RLDX,126070010732,8100,,0,,,1,,,0,0,8100,7,,,,0,4,0,
299,0x2804300000008200,5,ECI_CMD_MREQ_RLDX,126070010734,8200,,0,,,1,,,1,0,8200,7,,,,0,4,0,
300,0x2804300000008300,5,ECI_CMD_MREQ_RLDX,126070010736,8300,,0,,,1,,,1,0,8300,7,,,,0,4,0,
301,0x2840300000008400,5,ECI_CMD_MREQ_RLDX,126070010738,8400,,0,,,1,,,16,0,8400,7,,,,0,4,0,
