index,raw,opcode,message,timestamp,aliased_addr,cycles,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb10,xb1_2,xb2,xb3,xb4,xb5
88,0x0007e00000008280,0,ECI_CMD_MRSP_VICD,316745852.135000,8280,63349170427,,15,,,1,,,,2,8280,4,,1,,,,,0
89,0x5047c00000008580,10,ECI_CMD_MRSP_PEMD,316745852.260000,8580,63349170452,0,15,0,,,0,,17,4,8580,4,0,,0,,0,,0
90,0x0007e00000008380,0,ECI_CMD_MRSP_VICD,316745852.310000,8380,63349170462,,15,,,1,,,,2,8380,4,,1,,,,,0
91,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,316745852.435000,8680,63349170487,0,15,0,,,0,,16,4,8680,4,0,,0,,0,,0
92,0x0007e00000008480,0,ECI_CMD_MRSP_VICD,316745852.480000,8480,63349170496,,15,,,1,,,,2,8480,4,,1,,,,,0
93,0x0007e00000008580,0,ECI_CMD_MRSP_VICD,316745852.670000,8580,63349170534,,15,,,1,,,,2,8580,4,,1,,,,,0
94,0x0007e00000008080,0,ECI_CMD_MREQ_RLDD,316745852.840000,8080,63349170568,,15,,,1,,,1,0,8080,6,,,,0,0,0,
95,0x0007e00000008680,0,ECI_CMD_MRSP_VICD,316745852.850000,8680,63349170570,,15,,,1,,,,2,8680,4,,1,,,,,0
96,0x4807c00000008080,9,ECI_CMD_MRSP_PSHA,316745855.770000,8080,63349171154,0,15,0,,,0,,1,4,8080,4,0,,0,,0,,0
97,0x3807e00000008080,7,ECI_CMD_MREQ_RC2D_S,316745859.055000,8080,63349171811,,15,,,1,,,1,0,8080,6,,,,0,0,0,
98,0x2800300000008180,5,ECI_CMD_MREQ_RLDX,316745859.155000,8180,63349171831,,0,,,1,,,0,0,8180,6,,,,0,4,0,
99,0x2804300000008280,5,ECI_CMD_MREQ_RLDX,316745859.180000,8280,63349171836,,0,,,1,,,1,0,8280,6,,,,0,4,0,
100,0x2800300000008380,5,ECI_CMD_MREQ_RLDX,316745859.195000,8380,63349171839,,0,,,1,,,0,0,8380,6,,,,0,4,0,
101,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,316745859.210000,8480,63349171842,,0,,,1,,,16,0,8480,6,,,,0,4,0,
102,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,316745859.225000,8580,63349171845,,0,,,1,,,16,0,8580,6,,,,0,4,0,
103,0x2847f00000008680,5,ECI_CMD_MREQ_RLDX,316745859.240000,8680,63349171848,,15,,,1,,,17,0,8680,6,,,,0,4,0,
104,0x5004000000008080,10,ECI_CMD_MRSP_PEMD,316745859.460000,8080,63349171892,0,0,0,,,0,,1,3,8080,10,0,,0,,0,,0
105,0x5003c00000008180,10,ECI_CMD_MRSP_PEMD,316745860.105000,8180,63349172021,0,15,0,,,0,,0,4,8180,4,0,,0,,0,,0
106,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,316745860.280000,8280,63349172056,0,15,0,,,0,,1,4,8280,4,0,,0,,0,,0
107,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,316745860.460000,8380,63349172092,0,15,0,,,0,,0,4,8380,4,0,,0,,0,,0
108,0x0007e00000008180,0,ECI_CMD_MRSP_VICD,316745860.505000,8180,63349172101,,15,,,1,,,,2,8180,4,,1,,,,,0
109,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,316745860.635000,8480,63349172127,0,15,0,,,0,,16,4,8480,4,0,,0,,0,,0
110,0x0007e00000008280,0,ECI_CMD_MRSP_VICD,316745860.690000,8280,63349172138,,15,,,1,,,,2,8280,4,,1,,,,,0
111,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,316745860.815000,8580,63349172163,0,15,0,,,0,,16,4,8580,4,0,,0,,0,,0
112,0x0007e00000008380,0,ECI_CMD_MRSP_VICD,316745860.870000,8380,63349172174,,15,,,1,,,,2,8380,4,,1,,,,,0
113,0x5047c00000008680,10,ECI_CMD_MRSP_PEMD,316745860.990000,8680,63349172198,0,15,0,,,0,,17,4,8680,4,0,,0,,0,,0
114,0x0007e00000008480,0,ECI_CMD_MRSP_VICD,316745861.040000,8480,63349172208,,15,,,1,,,,2,8480,4,,1,,,,,0
115,0x0007e00000008580,0,ECI_CMD_MRSP_VICD,316745861.220000,8580,63349172244,,15,,,1,,,,2,8580,4,,1,,,,,0
116,0x0007e00000008680,0,ECI_CMD_MRSP_VICD,316745861.400000,8680,63349172280,,15,,,1,,,,2,8680,4,,1,,,,,0
117,0x5807e40000008080,11,ECI_CMD_MFWD_FEVX_EH,316745862.180000,8080,63349172436,,15,,1,1,,1,,5,8080,8,0,,,0,0,,
118,0x1807e00000008080,3,ECI_CMD_MRSP_VICDHI,316745862.580000,8080,63349172516,,15,,1,1,,,,2,8080,4,,,,,0,,0
119,0x7007e40000000080,14,ECI_CMD_MFWD_SINV_H,316745865.730000,80,63349173146,,15,,1,1,,1,,5,80,8,0,,,0,0,,
120,0x2004200000000080,4,ECI_CMD_MRSP_HAKD,316745866.070000,80,63349173214,,0,,1,1,,,,1,80,10,,,,,0,,0
121,0x2800300000008180,5,ECI_CMD_MREQ_RLDX,316745869.125000,8180,63349173825,,0,,,1,,,0,0,8180,6,,,,0,4,0,
122,0x2804300000008280,5,ECI_CMD_MREQ_RLDX,316745869.140000,8280,63349173828,,0,,,1,,,1,0,8280,6,,,,0,4,0,
123,0x2804300000008380,5,ECI_CMD_MREQ_RLDX,316745869.155000,8380,63349173831,,0,,,1,,,1,0,8380,6,,,,0,4,0,
