Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,1,0000000000000000,00,00,0,0000000000000000,1,0
17,17,0,5047c00000008500,11,05,4,0000005f0cbd5dc1,1,0
18,18,0,0007e00000008200,11,05,2,0000005f0cbd5dcf,1,0
19,19,0,5047c00000008600,11,05,4,0000005f0cbd5dd7,1,0
20,20,0,0007e00000008300,11,05,2,0000005f0cbd5de6,1,0
21,21,0,0007e00000008400,11,05,2,0000005f0cbd5dfd,1,0
22,22,0,0007e00000008500,11,05,2,0000005f0cbd5e13,1,0
23,23,0,0007e00000008600,11,05,2,0000005f0cbd5e28,1,0
24,24,0,5803e40000008000,01,09,5,0000005f0cbd5e7a,1,0
25,25,0,1803e00000008000,11,05,2,0000005f0cbd5ec5,1,0
26,26,0,2804300000008100,01,07,0,0000005f0cbd6140,1,0
27,27,0,2800300000008200,01,07,0,0000005f0cbd6142,1,0
28,28,0,2800300000008300,01,07,0,0000005f0cbd6144,1,0
29,29,0,2840300000008400,01,07,0,0000005f0cbd6146,1,0
30,30,0,2840300000008500,01,07,0,0000005f0cbd6148,1,0
31,31,0,2844300000008600,01,07,0,0000005f0cbd614a,1,0
32,32,0,5007c00000008100,11,05,4,0000005f0cbd618c,1,0
33,33,0,5003c00000008200,11,05,4,0000005f0cbd61a2,1,0
34,34,0,5003c00000008300,11,05,4,0000005f0cbd61b8,1,0
35,35,0,5043c00000008400,11,05,4,0000005f0cbd61ce,1,0
36,36,0,0007e00000008100,11,05,2,0000005f0cbd61de,1,0
37,37,0,5043c00000008500,11,05,4,0000005f0cbd61e4,1,0
38,38,0,0007e00000008200,11,05,2,0000005f0cbd61f4,1,0
39,39,0,5047c00000008600,11,05,4,0000005f0cbd61fa,1,0
40,40,0,0007e00000008300,11,05,2,0000005f0cbd6208,1,0
41,41,0,0007e00000008400,11,05,2,0000005f0cbd621f,1,0
42,42,0,0007e00000008500,11,05,2,0000005f0cbd6236,1,0
43,43,0,0007e00000008600,11,05,2,0000005f0cbd624b,1,0
44,44,0,0007e00000008000,01,07,0,0000005f0cbd6255,1,0
45,45,0,4807c00000008000,11,05,4,0000005f0cbd63a6,1,0
46,46,0,3807e00000008000,01,07,0,0000005f0cbd6551,1,0
47,47,0,2800300000008100,01,07,0,0000005f0cbd655f,1,0
48,48,0,2800300000008200,01,07,0,0000005f0cbd6561,1,0
49,49,0,2800300000008300,01,07,0,0000005f0cbd6563,1,0
50,50,0,2840300000008400,01,07,0,0000005f0cbd6565,1,0
51,51,0,2844300000008500,01,07,0,0000005f0cbd6567,1,0
52,52,0,2840300000008600,01,07,0,0000005f0cbd6569,1,0
53,53,0,5004000000008000,01,0b,3,0000005f0cbd6569,1,0
54,54,0,5003c00000008100,11,05,4,0000005f0cbd65ab,1,0
55,55,0,5003c00000008200,11,05,4,0000005f0cbd65c1,1,0
56,56,0,5003c00000008300,11,05,4,0000005f0cbd65d7,1,0
57,57,0,5043c00000008400,11,05,4,0000005f0cbd65ed,1,0
58,58,0,0007e00000008100,11,05,2,0000005f0cbd65fd,1,0
59,59,0,5047c00000008500,11,05,4,0000005f0cbd6603,1,0
60,60,0,0007e00000008200,11,05,2,0000005f0cbd6613,1,0
61,61,0,5043c00000008600,11,05,4,0000005f0cbd6619,1,0
62,62,0,0007e00000008300,11,05,2,0000005f0cbd6627,1,0
63,63,0,0007e00000008400,11,05,2,0000005f0cbd663f,1,0
64,64,0,0007e00000008500,11,05,2,0000005f0cbd6655,1,0
65,65,0,0007e00000008600,11,05,2,0000005f0cbd666a,1,0
66,66,0,5803e40000008000,01,09,5,0000005f0cbd66bc,1,0
67,67,0,1803e00000008000,11,05,2,0000005f0cbd6709,1,0
68,68,0,2800300000008100,01,07,0,0000005f0cbd6975,1,0
69,69,0,2800300000008200,01,07,0,0000005f0cbd6978,1,0
70,70,0,2800300000008300,01,07,0,0000005f0cbd697a,1,0
71,71,0,2844300000008400,01,07,0,0000005f0cbd697c,1,0
72,72,0,2840300000008500,01,07,0,0000005f0cbd697e,1,0
73,73,0,2840300000008600,01,07,0,0000005f0cbd6980,1,0
74,74,0,5003c00000008100,11,05,4,0000005f0cbd69c1,1,0
75,75,0,5003c00000008200,11,05,4,0000005f0cbd69da,1,0
76,76,0,5003c00000008300,11,05,4,0000005f0cbd69f0,1,0
77,77,0,5047c00000008400,11,05,4,0000005f0cbd6a06,1,0
78,78,0,0007e00000008100,11,05,2,0000005f0cbd6a13,1,0
79,79,0,5043c00000008500,11,05,4,0000005f0cbd6a1c,1,0
80,80,0,0007e00000008200,11,05,2,0000005f0cbd6a2c,1,0
81,81,0,5043c00000008600,11,05,4,0000005f0cbd6a32,1,0
82,82,0,0007e00000008300,11,05,2,0000005f0cbd6a40,1,0
83,83,0,0007e00000008400,11,05,2,0000005f0cbd6a57,1,0
84,84,0,0007e00000008500,11,05,2,0000005f0cbd6a6e,1,0
85,85,0,0007e00000008600,11,05,2,0000005f0cbd6a84,1,0
86,86,0,0003e00000008000,01,07,0,0000005f0cbd6a8d,1,0
87,87,0,4803c00000008000,11,05,4,0000005f0cbd6bdd,1,0
88,88,0,3803e00000008000,01,07,0,0000005f0cbd6d86,1,0
89,89,0,2804300000008100,01,07,0,0000005f0cbd6d92,1,0
90,90,0,2800300000008200,01,07,0,0000005f0cbd6d94,1,0
91,91,0,2800300000008300,01,07,0,0000005f0cbd6d96,1,0
92,92,0,2844300000008400,01,07,0,0000005f0cbd6d99,1,0
93,93,0,2840300000008500,01,07,0,0000005f0cbd6d9b,1,0
94,94,0,2844300000008600,01,07,0,0000005f0cbd6d9d,1,0
95,95,0,5000000000008000,01,0b,3,0000005f0cbd6d9f,1,0
96,96,0,5007c00000008100,11,05,4,0000005f0cbd6dde,1,0
97,97,0,5003c00000008200,11,05,4,0000005f0cbd6df7,1,0
98,98,0,5003c00000008300,11,05,4,0000005f0cbd6e0d,1,0
99,99,0,5047c00000008400,11,05,4,0000005f0cbd6e23,1,0
100,100,0,0007e00000008100,11,05,2,0000005f0cbd6e30,1,0
101,101,0,5043c00000008500,11,05,4,0000005f0cbd6e39,1,0
102,102,0,0007e00000008200,11,05,2,0000005f0cbd6e48,1,0
103,103,0,5047c00000008600,11,05,4,0000005f0cbd6e4f,1,0
104,104,0,0007e00000008300,11,05,2,0000005f0cbd6e5e,1,0
105,105,0,0007e00000008400,11,05,2,0000005f0cbd6e74,1,0
106,106,0,0007e00000008500,11,05,2,0000005f0cbd6e8a,1,0
107,107,0,0007e00000008600,11,05,2,0000005f0cbd6ea1,1,0
108,108,0,5803e40000008000,01,09,5,0000005f0cbd6ef2,1,0
109,109,0,1803e00000008000,11,05,2,0000005f0cbd6f3d,1,0
110,110,0,2800300000008100,01,07,0,0000005f0cbd71b3,1,0
111,111,0,2800300000008200,01,07,0,0000005f0cbd71b5,1,0
112,112,0,2804300000008300,01,07,0,0000005f0cbd71b7,1,0
113,113,0,2840300000008400,01,07,0,0000005f0cbd71b9,1,0
114,114,0,2840300000008500,01,07,0,0000005f0cbd71bb,1,0
115,115,0,2840300000008600,01,07,0,0000005f0cbd71bd,1,0
116,116,0,5003c00000008100,11,05,4,0000005f0cbd71ff,1,0
117,117,0,5003c00000008200,11,05,4,0000005f0cbd7218,1,0
118,118,0,5007c00000008300,11,05,4,0000005f0cbd722e,1,0
119,119,0,5043c00000008400,11,05,4,0000005f0cbd7244,1,0
120,120,0,0007e00000008100,11,05,2,0000005f0cbd7250,1,0
121,121,0,5043c00000008500,11,05,4,0000005f0cbd725a,1,0
122,122,0,0007e00000008200,11,05,2,0000005f0cbd726a,1,0
123,123,0,5043c00000008600,11,05,4,0000005f0cbd7270,1,0
124,124,0,0007e00000008300,11,05,2,0000005f0cbd727e,1,0
125,125,0,0007e00000008400,11,05,2,0000005f0cbd7295,1,0
126,126,0,0007e00000008500,11,05,2,0000005f0cbd72ac,1,0
127,127,0,0007e00000008600,11,05,2,0000005f0cbd72c1,1,0
128,128,0,0007e00000008000,01,07,0,0000005f0cbd72c9,1,0
