index,raw,opcode,message,timestamp,aliased_addr,cycles,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb10,xb1_2,xb2,xb3,xb4,xb5
124,0x2800300000008380,5,ECI_CMD_MREQ_RLDX,345559274.315000,8380,69111854863,,0,,,1,,,0,0,8380,6,,,,0,4,0,
125,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,345559274.325000,8480,69111854865,,0,,,1,,,16,0,8480,6,,,,0,4,0,
126,0x2844300000008580,5,ECI_CMD_MREQ_RLDX,345559274.335000,8580,69111854867,,0,,,1,,,17,0,8580,6,,,,0,4,0,
127,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,345559274.345000,8680,69111854869,,15,,,1,,,16,0,8680,6,,,,0,4,0,
128,0x5004000000008080,10,ECI_CMD_MRSP_PEMD,345559274.355000,8080,69111854871,0,0,0,,,0,,1,3,8080,10,0,,0,,0,,0
129,0x5003c00000008180,10,ECI_CMD_MRSP_PEMD,345559274.735000,8180,69111854947,0,15,0,,,0,,0,4,8180,4,0,,0,,0,,0
130,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,345559274.845000,8280,69111854969,0,15,0,,,0,,1,4,8280,4,0,,0,,0,,0
131,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,345559274.955000,8380,69111854991,0,15,0,,,0,,0,4,8380,4,0,,0,,0,,0
132,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,345559275.065000,8480,69111855013,0,15,0,,,0,,16,4,8480,4,0,,0,,0,,0
133,0x0007e00000008180,0,ECI_CMD_MRSP_VICD,345559275.145000,8180,69111855029,,15,,,1,,,,2,8180,4,,1,,,,,0
134,0x5047c00000008580,10,ECI_CMD_MRSP_PEMD,345559275.175000,8580,69111855035,0,15,0,,,0,,17,4,8580,4,0,,0,,0,,0
135,0x0007e00000008280,0,ECI_CMD_MRSP_VICD,345559275.265000,8280,69111855053,,15,,,1,,,,2,8280,4,,1,,,,,0
136,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,345559275.285000,8680,69111855057,0,15,0,,,0,,16,4,8680,4,0,,0,,0,,0
137,0x0007e00000008380,0,ECI_CMD_MRSP_VICD,345559275.375000,8380,69111855075,,15,,,1,,,,2,8380,4,,1,,,,,0
138,0x0007e00000008480,0,ECI_CMD_MRSP_VICD,345559275.480000,8480,69111855096,,15,,,1,,,,2,8480,4,,1,,,,,0
139,0x0007e00000008580,0,ECI_CMD_MRSP_VICD,345559275.585000,8580,69111855117,,15,,,1,,,,2,8580,4,,1,,,,,0
140,0x0007e00000008680,0,ECI_CMD_MRSP_VICD,345559275.705000,8680,69111855141,,15,,,1,,,,2,8680,4,,1,,,,,0
141,0x5807e40000008080,11,ECI_CMD_MFWD_FEVX_EH,345559276.015000,8080,69111855203,,15,,1,1,,1,,5,8080,8,0,,,0,0,,
142,0x1807e00000008080,3,ECI_CMD_MRSP_VICDHI,345559276.395000,8080,69111855279,,15,,1,1,,,,2,8080,4,,,,,0,,0
143,0x0003e00000000080,0,ECI_CMD_MREQ_RLDD,345559277.875000,80,69111855575,,15,,,1,,,0,0,80,6,,,,0,0,0,
144,0x4803c00000000080,9,ECI_CMD_MRSP_PSHA,345559278.940000,80,69111855788,0,15,0,,,0,,0,4,80,4,0,,0,,0,,0
145,0x2800300000008180,5,ECI_CMD_MREQ_RLDX,345559280.455000,8180,69111856091,,0,,,1,,,0,0,8180,6,,,,0,4,0,
146,0x2804300000008280,5,ECI_CMD_MREQ_RLDX,345559280.465000,8280,69111856093,,0,,,1,,,1,0,8280,6,,,,0,4,0,
147,0x2804300000008380,5,ECI_CMD_MREQ_RLDX,345559280.475000,8380,69111856095,,0,,,1,,,1,0,8380,6,,,,0,4,0,
148,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,345559280.485000,8480,69111856097,,0,,,1,,,16,0,8480,6,,,,0,4,0,
149,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,345559280.495000,8580,69111856099,,0,,,1,,,16,0,8580,6,,,,0,4,0,
150,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,345559280.505000,8680,69111856101,,15,,,1,,,16,0,8680,6,,,,0,4,0,
151,0x5003c00000008180,10,ECI_CMD_MRSP_PEMD,345559280.910000,8180,69111856182,0,15,0,,,0,,0,4,8180,4,0,,0,,0,,0
152,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,345559281.020000,8280,69111856204,0,15,0,,,0,,1,4,8280,4,0,,0,,0,,0
153,0x5007c00000008380,10,ECI_CMD_MRSP_PEMD,345559281.130000,8380,69111856226,0,15,0,,,0,,1,4,8380,4,0,,0,,0,,0
154,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,345559281.240000,8480,69111856248,0,15,0,,,0,,16,4,8480,4,0,,0,,0,,0
155,0x0007e00000008180,0,ECI_CMD_MRSP_VICD,345559281.325000,8180,69111856265,,15,,,1,,,,2,8180,4,,1,,,,,0
156,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,345559281.350000,8580,69111856270,0,15,0,,,0,,16,4,8580,4,0,,0,,0,,0
157,0x0007e00000008280,0,ECI_CMD_MRSP_VICD,345559281.440000,8280,69111856288,,15,,,1,,,,2,8280,4,,1,,,,,0
158,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,345559281.460000,8680,69111856292,0,15,0,,,0,,16,4,8680,4,0,,0,,0,,0
159,0x0007e00000008380,0,ECI_CMD_MRSP_VICD,345559281.545000,8380,69111856309,,15,,,1,,,,2,8380,4,,1,,,,,0
160,0x0007e00000008480,0,ECI_CMD_MRSP_VICD,345559281.655000,8480,69111856331,,15,,,1,,,,2,8480,4,,1,,,,,0
161,0x0007e00000008580,0,ECI_CMD_MRSP_VICD,345559281.765000,8580,69111856353,,15,,,1,,,,2,8580,4,,1,,,,,0
162,0x0003e00000008080,0,ECI_CMD_MREQ_RLDD,345559281.875000,8080,69111856375,,15,,,1,,,0,0,8080,6,,,,0,0,0,
163,0x0007e00000008680,0,ECI_CMD_MRSP_VICD,345559281.885000,8680,69111856377,,15,,,1,,,,2,8680,4,,1,,,,,0
164,0x4803c00000008080,9,ECI_CMD_MRSP_PSHA,345559283.545000,8080,69111856709,0,15,0,,,0,,0,4,8080,4,0,,0,,0,,0
165,0x7007e40000000080,14,ECI_CMD_MFWD_SINV_H,345559284.635000,80,69111856927,,15,,1,1,,1,,5,80,8,0,,,0,0,,
166,0x2004200000000080,4,ECI_CMD_MRSP_HAKD,345559284.960000,80,69111856992,,0,,1,1,,,,1,80,10,,,,,0,,0
167,0x3803e00000008080,7,ECI_CMD_MREQ_RC2D_S,345559286.685000,8080,69111857337,,15,,,1,,,0,0,8080,6,,,,0,0,0,
168,0x2800300000008180,5,ECI_CMD_MREQ_RLDX,345559286.750000,8180,69111857350,,0,,,1,,,0,0,8180,6,,,,0,4,0,
169,0x2800300000008280,5,ECI_CMD_MREQ_RLDX,345559286.760000,8280,69111857352,,0,,,1,,,0,0,8280,6,,,,0,4,0,
170,0x2804300000008380,5,ECI_CMD_MREQ_RLDX,345559286.770000,8380,69111857354,,0,,,1,,,1,0,8380,6,,,,0,4,0,
171,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,345559286.780000,8480,69111857356,,0,,,1,,,16,0,8480,6,,,,0,4,0,
172,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,345559286.790000,8580,69111857358,,0,,,1,,,16,0,8580,6,,,,0,4,0,
173,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,345559286.800000,8680,69111857360,,15,,,1,,,16,0,8680,6,,,,0,4,0,
174,0x5000000000008080,10,ECI_CMD_MRSP_PEMD,345559286.810000,8080,69111857362,0,0,0,,,0,,0,3,8080,10,0,,0,,0,,0
175,0x5003c00000008180,10,ECI_CMD_MRSP_PEMD,345559287.195000,8180,69111857439,0,15,0,,,0,,0,4,8180,4,0,,0,,0,,0
176,0x5003c00000008280,10,ECI_CMD_MRSP_PEMD,345559287.305000,8280,69111857461,0,15,0,,,0,,0,4,8280,4,0,,0,,0,,0
177,0x5007c00000008380,10,ECI_CMD_MRSP_PEMD,345559287.415000,8380,69111857483,0,15,0,,,0,,1,4,8380,4,0,,0,,0,,0
178,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,345559287.525000,8480,69111857505,0,15,0,,,0,,16,4,8480,4,0,,0,,0,,0
179,0x0007e00000008180,0,ECI_CMD_MRSP_VICD,345559287.615000,8180,69111857523,,15,,,1,,,,2,8180,4,,1,,,,,0
180,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,345559287.635000,8580,69111857527,0,15,0,,,0,,16,4,8580,4,0,,0,,0,,0
181,0x0007e00000008280,0,ECI_CMD_MRSP_VICD,345559287.725000,8280,69111857545,,15,,,1,,,,2,8280,4,,1,,,,,0
182,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,345559287.745000,8680,69111857549,0,15,0,,,0,,16,4,8680,4,0,,0,,0,,0
183,0x0007e00000008380,0,ECI_CMD_MRSP_VICD,345559287.830000,8380,69111857566,,15,,,1,,,,2,8380,4,,1,,,,,0
