Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_sys/traceOut_src[2:0],i_app/dcs_odd/i_trace_sys/traceOut_ts[63:0],i_app/dcs_odd/i_trace_sys/dump_1,i_app/dcs_odd/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,1,0000000000000000,00,00,0,0000000000000000,1,0
17,17,0,5003c00000008200,11,05,4,000000196092cfd2,1,0
18,18,0,5003c00000008300,11,05,4,000000196092cff5,1,0
19,19,0,0007e00000008100,11,05,2,000000196092cffe,1,0
20,20,0,5047c00000008400,11,05,4,000000196092d019,1,0
21,21,0,0007e00000008200,11,05,2,000000196092d021,1,0
22,22,0,5043c00000008500,11,05,4,000000196092d03c,1,0
23,23,0,0007e00000008300,11,05,2,000000196092d043,1,0
24,24,0,5047c00000008600,11,05,4,000000196092d060,1,0
25,25,0,0007e00000008400,11,05,2,000000196092d068,1,0
26,26,0,0007e00000008500,11,05,2,000000196092d08a,1,0
27,27,0,0007e00000008600,11,05,2,000000196092d0af,1,0
28,28,0,5803e40000008000,01,09,5,000000196092d152,1,0
29,29,0,1803e00000008000,11,05,2,000000196092d19f,1,0
30,30,0,0007e00000000000,01,07,0,000000196092d37e,1,0
31,31,0,4807c00000000000,11,05,4,000000196092d547,1,0
32,32,0,2800300000008100,01,07,0,000000196092d6e2,1,0
33,33,0,2800300000008200,01,07,0,000000196092d6e5,1,0
34,34,0,2800300000008300,01,07,0,000000196092d6e8,1,0
35,35,0,2840300000008400,01,07,0,000000196092d6eb,1,0
36,36,0,2840300000008500,01,07,0,000000196092d6ee,1,0
37,37,0,2840300000008600,01,07,0,000000196092d6f1,1,0
38,38,0,5003c00000008100,11,05,4,000000196092d78b,1,0
39,39,0,5003c00000008200,11,05,4,000000196092d7af,1,0
40,40,0,5003c00000008300,11,05,4,000000196092d7d2,1,0
41,41,0,0007e00000008100,11,05,2,000000196092d7d9,1,0
42,42,0,5043c00000008400,11,05,4,000000196092d7f5,1,0
43,43,0,0007e00000008200,11,05,2,000000196092d7fe,1,0
44,44,0,5043c00000008500,11,05,4,000000196092d819,1,0
45,45,0,0007e00000008300,11,05,2,000000196092d821,1,0
46,46,0,5043c00000008600,11,05,4,000000196092d83c,1,0
47,47,0,0007e00000008400,11,05,2,000000196092d843,1,0
48,48,0,0007e00000008500,11,05,2,000000196092d868,1,0
49,49,0,0007e00000008600,11,05,2,000000196092d88a,1,0
50,50,0,0003e00000008000,01,07,0,000000196092d89d,1,0
51,51,0,2844300000008400,01,07,0,0000001960916fb8,1,0
52,52,0,2840300000008500,01,07,0,0000001960916fbb,1,0
53,53,0,2840300000008600,01,07,0,0000001960916fbe,1,0
54,54,0,5003c00000008100,11,05,4,0000001960917059,1,0
55,55,0,5007c00000008200,11,05,4,000000196091707d,1,0
56,56,0,5007c00000008300,11,05,4,00000019609170a0,1,0
57,57,0,0007e00000008100,11,05,2,00000019609170a8,1,0
58,58,0,5047c00000008400,11,05,4,00000019609170c4,1,0
59,59,0,0007e00000008200,11,05,2,00000019609170ca,1,0
60,60,0,5043c00000008500,11,05,4,00000019609170e7,1,0
61,61,0,0007e00000008300,11,05,2,00000019609170ef,1,0
62,62,0,5043c00000008600,11,05,4,000000196091710b,1,0
63,63,0,0007e00000008400,11,05,2,0000001960917112,1,0
64,64,0,0007e00000008500,11,05,2,0000001960917136,1,0
65,65,0,0007e00000008600,11,05,2,0000001960917159,1,0
66,66,0,0007e00000008000,01,07,0,000000196091716b,1,0
67,67,0,4807c00000008000,11,05,4,00000019609173b7,1,0
68,68,0,3803e00000008000,01,07,0,000000196091763a,1,0
69,69,0,2804300000008100,01,07,0,000000196091764e,1,0
70,70,0,2804300000008200,01,07,0,0000001960917651,1,0
71,71,0,2800300000008300,01,07,0,0000001960917654,1,0
72,72,0,2840300000008400,01,07,0,0000001960917657,1,0
73,73,0,2840300000008500,01,07,0,000000196091765a,1,0
74,74,0,2840300000008600,01,07,0,000000196091765d,1,0
75,75,0,5000000000008000,01,0b,3,0000001960917688,1,0
76,76,0,5007c00000008100,11,05,4,00000019609176f7,1,0
77,77,0,5007c00000008200,11,05,4,000000196091771a,1,0
78,78,0,5003c00000008300,11,05,4,000000196091773e,1,0
79,79,0,0007e00000008100,11,05,2,0000001960917745,1,0
80,80,0,5043c00000008400,11,05,4,0000001960917761,1,0
81,81,0,0007e00000008200,11,05,2,0000001960917768,1,0
82,82,0,5043c00000008500,11,05,4,0000001960917785,1,0
83,83,0,0007e00000008300,11,05,2,000000196091778c,1,0
84,84,0,5043c00000008600,11,05,4,00000019609177a8,1,0
85,85,0,0007e00000008400,11,05,2,00000019609177af,1,0
86,86,0,0007e00000008500,11,05,2,00000019609177d3,1,0
87,87,0,0007e00000008600,11,05,2,00000019609177f6,1,0
88,88,0,5803e40000008000,01,09,5,00000019609178ac,1,0
89,89,0,1803e00000008000,11,05,2,00000019609178f7,1,0
90,90,0,0003e00000000000,01,07,0,0000001960917ad8,1,0
91,91,0,4803c00000000000,11,05,4,0000001960917c5f,1,0
92,92,0,2804300000008100,01,07,0,0000001960917e12,1,0
93,93,0,2800300000008200,01,07,0,0000001960917e15,1,0
94,94,0,2800300000008300,01,07,0,0000001960917e18,1,0
95,95,0,2840300000008400,01,07,0,0000001960917e1b,1,0
96,96,0,2844300000008500,01,07,0,0000001960917e1e,1,0
97,97,0,2840300000008600,01,07,0,0000001960917e21,1,0
98,98,0,5007c00000008100,11,05,4,0000001960917ebb,1,0
99,99,0,5003c00000008200,11,05,4,0000001960917edf,1,0
100,100,0,5003c00000008300,11,05,4,0000001960917f02,1,0
101,101,0,0007e00000008100,11,05,2,0000001960917f09,1,0
102,102,0,5043c00000008400,11,05,4,0000001960917f26,1,0
103,103,0,0007e00000008200,11,05,2,0000001960917f2e,1,0
104,104,0,5047c00000008500,11,05,4,0000001960917f49,1,0
105,105,0,0007e00000008300,11,05,2,0000001960917f51,1,0
106,106,0,5043c00000008600,11,05,4,0000001960917f6d,1,0
107,107,0,0007e00000008400,11,05,2,0000001960917f74,1,0
108,108,0,0007e00000008500,11,05,2,0000001960917f97,1,0
109,109,0,0007e00000008600,11,05,2,0000001960917fbc,1,0
110,110,0,0007e00000008000,01,07,0,0000001960917fd2,1,0
111,111,0,4807c00000008000,11,05,4,0000001960918220,1,0
112,112,0,7003e40000000000,01,09,5,000000196091837f,1,0
113,113,0,2000200000000000,01,0b,1,00000019609183bd,1,0
114,114,0,3807e00000008000,01,07,0,00000019609185e7,1,0
115,115,0,2804300000008100,01,07,0,00000019609185fb,1,0
116,116,0,2800300000008200,01,07,0,00000019609185fe,1,0
117,117,0,2804300000008300,01,07,0,0000001960918601,1,0
118,118,0,2840300000008400,01,07,0,0000001960918604,1,0
119,119,0,2840300000008500,01,07,0,0000001960918607,1,0
120,120,0,2840300000008600,01,07,0,000000196091860a,1,0
121,121,0,5004000000008000,01,0b,3,0000001960918636,1,0
122,122,0,5007c00000008100,11,05,4,00000019609186b6,1,0
123,123,0,5003c00000008200,11,05,4,00000019609186da,1,0
124,124,0,5007c00000008300,11,05,4,00000019609186fd,1,0
125,125,0,0007e00000008100,11,05,2,0000001960918705,1,0
126,126,0,5043c00000008400,11,05,4,0000001960918721,1,0
127,127,0,0007e00000008200,11,05,2,0000001960918728,1,0
128,128,0,5043c00000008500,11,05,4,0000001960918744,1,0
129,129,0,0007e00000008300,11,05,2,000000196091874a,1,0
130,130,0,5043c00000008600,11,05,4,0000001960918768,1,0
131,131,0,0007e00000008400,11,05,2,0000001960918770,1,0
132,132,0,0007e00000008500,11,05,2,0000001960918793,1,0
133,133,0,0007e00000008600,11,05,2,00000019609187b7,1,0
134,134,0,5803e40000008000,01,09,5,0000001960918852,1,0
135,135,0,1803e00000008000,11,05,2,000000196091889e,1,0
136,136,0,0003e00000000000,01,07,0,0000001960918ab9,1,0
137,137,0,4803c00000000000,11,05,4,0000001960918c40,1,0
138,138,0,2804300000008100,01,07,0,0000001960918df3,1,0
139,139,0,2800300000008200,01,07,0,0000001960918df6,1,0
140,140,0,2804300000008300,01,07,0,0000001960918df9,1,0
141,141,0,2844300000008400,01,07,0,0000001960918dfc,1,0
142,142,0,2844300000008500,01,07,0,0000001960918dff,1,0
