Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,1,0000000000000000,00,00,0,0000000000000000,1,0
17,17,0,5004000000008080,01,0a,3,000000344a1e558c,1,0
18,18,0,5007c00000008180,11,04,4,000000344a1e5623,1,0
19,19,0,5003c00000008280,11,04,4,000000344a1e5647,1,0
20,20,0,5003c00000008380,11,04,4,000000344a1e566a,1,0
21,21,0,0007e00000008180,11,04,2,000000344a1e5674,1,0
22,22,0,5047c00000008480,11,04,4,000000344a1e568e,1,0
23,23,0,0007e00000008280,11,04,2,000000344a1e5698,1,0
24,24,0,5043c00000008580,11,04,4,000000344a1e56b1,1,0
25,25,0,0007e00000008380,11,04,2,000000344a1e56bc,1,0
26,26,0,5043c00000008680,11,04,4,000000344a1e56d4,1,0
27,27,0,0007e00000008480,11,04,2,000000344a1e56df,1,0
28,28,0,0007e00000008580,11,04,2,000000344a1e5700,1,0
29,29,0,0007e00000008680,11,04,2,000000344a1e5726,1,0
30,30,0,2844300000008480,01,06,0,000000344a1cb02b,1,0
31,31,0,2840300000008580,01,06,0,000000344a1cb02e,1,0
32,32,0,2843f00000008680,01,06,0,000000344a1cb031,1,0
33,33,0,5007c00000008180,11,04,4,000000344a1cb0e0,1,0
34,34,0,5007c00000008280,11,04,4,000000344a1cb104,1,0
35,35,0,5003c00000008380,11,04,4,000000344a1cb127,1,0
36,36,0,0007e00000008180,11,04,2,000000344a1cb132,1,0
37,37,0,5047c00000008480,11,04,4,000000344a1cb14b,1,0
38,38,0,0007e00000008280,11,04,2,000000344a1cb156,1,0
39,39,0,5043c00000008580,11,04,4,000000344a1cb16e,1,0
40,40,0,0007e00000008380,11,04,2,000000344a1cb176,1,0
41,41,0,5043c00000008680,11,04,4,000000344a1cb191,1,0
42,42,0,0007e00000008480,11,04,2,000000344a1cb19b,1,0
43,43,0,0007e00000008580,11,04,2,000000344a1cb1bf,1,0
44,44,0,0003e00000008080,01,06,0,000000344a1cb1e1,1,0
45,45,0,0007e00000008680,11,04,2,000000344a1cb1e3,1,0
46,46,0,4803c00000008080,11,04,4,000000344a1cb42d,1,0
47,47,0,3803e00000008080,01,06,0,000000344a1cb6be,1,0
48,48,0,2800300000008180,01,06,0,000000344a1cb6d4,1,0
49,49,0,2804300000008280,01,06,0,000000344a1cb6d7,1,0
50,50,0,2804300000008380,01,06,0,000000344a1cb6da,1,0
51,51,0,2840300000008480,01,06,0,000000344a1cb6dd,1,0
52,52,0,2840300000008580,01,06,0,000000344a1cb6e0,1,0
53,53,0,2843f00000008680,01,06,0,000000344a1cb6e3,1,0
54,54,0,5000000000008080,01,0a,3,000000344a1cb70f,1,0
55,55,0,5003c00000008180,11,04,4,000000344a1cb796,1,0
56,56,0,5007c00000008280,11,04,4,000000344a1cb7b9,1,0
57,57,0,5007c00000008380,11,04,4,000000344a1cb7dd,1,0
58,58,0,0007e00000008180,11,04,2,000000344a1cb7e7,1,0
59,59,0,5043c00000008480,11,04,4,000000344a1cb800,1,0
60,60,0,0007e00000008280,11,04,2,000000344a1cb80a,1,0
61,61,0,5043c00000008580,11,04,4,000000344a1cb824,1,0
62,62,0,0007e00000008380,11,04,2,000000344a1cb82e,1,0
63,63,0,5043c00000008680,11,04,4,000000344a1cb847,1,0
64,64,0,0007e00000008480,11,04,2,000000344a1cb852,1,0
65,65,0,0007e00000008580,11,04,2,000000344a1cb873,1,0
66,66,0,0007e00000008680,11,04,2,000000344a1cb898,1,0
67,67,0,5807e40000008080,01,08,5,000000344a1cb92c,1,0
68,68,0,1807e00000008080,11,04,2,000000344a1cb979,1,0
69,69,0,2804300000008180,01,06,0,000000344a1cbd8b,1,0
70,70,0,2800300000008280,01,06,0,000000344a1cbd8e,1,0
71,71,0,2804300000008380,01,06,0,000000344a1cbd91,1,0
72,72,0,2840300000008480,01,06,0,000000344a1cbd94,1,0
73,73,0,2840300000008580,01,06,0,000000344a1cbd97,1,0
74,74,0,2847f00000008680,01,06,0,000000344a1cbd9a,1,0
75,75,0,5007c00000008180,11,04,4,000000344a1cbe4c,1,0
76,76,0,5003c00000008280,11,04,4,000000344a1cbe6f,1,0
77,77,0,5007c00000008380,11,04,4,000000344a1cbe92,1,0
78,78,0,0007e00000008180,11,04,2,000000344a1cbe9e,1,0
79,79,0,5043c00000008480,11,04,4,000000344a1cbeb6,1,0
80,80,0,0007e00000008280,11,04,2,000000344a1cbebe,1,0
81,81,0,5043c00000008580,11,04,4,000000344a1cbed9,1,0
82,82,0,0007e00000008380,11,04,2,000000344a1cbee4,1,0
83,83,0,5047c00000008680,11,04,4,000000344a1cbefd,1,0
84,84,0,0007e00000008480,11,04,2,000000344a1cbf08,1,0
85,85,0,0007e00000008580,11,04,2,000000344a1cbf2a,1,0
86,86,0,0007e00000008080,01,06,0,000000344a1cbf4c,1,0
87,87,0,0007e00000008680,11,04,2,000000344a1cbf4e,1,0
88,88,0,4807c00000008080,11,04,4,000000344a1cc196,1,0
89,89,0,3807e00000008080,01,06,0,000000344a1cc484,1,0
90,90,0,2804300000008180,01,06,0,000000344a1cc498,1,0
91,91,0,2804300000008280,01,06,0,000000344a1cc49b,1,0
92,92,0,2800300000008380,01,06,0,000000344a1cc49e,1,0
93,93,0,2840300000008480,01,06,0,000000344a1cc4a1,1,0
94,94,0,2840300000008580,01,06,0,000000344a1cc4a4,1,0
95,95,0,2843f00000008680,01,06,0,000000344a1cc4a7,1,0
96,96,0,5004000000008080,01,0a,3,000000344a1cc4d6,1,0
97,97,0,5007c00000008180,11,04,4,000000344a1cc557,1,0
98,98,0,5007c00000008280,11,04,4,000000344a1cc57a,1,0
99,99,0,5003c00000008380,11,04,4,000000344a1cc59e,1,0
100,100,0,0007e00000008180,11,04,2,000000344a1cc5a8,1,0
101,101,0,5043c00000008480,11,04,4,000000344a1cc5c1,1,0
102,102,0,0007e00000008280,11,04,2,000000344a1cc5cc,1,0
103,103,0,5043c00000008580,11,04,4,000000344a1cc5e4,1,0
104,104,0,0007e00000008380,11,04,2,000000344a1cc5f0,1,0
105,105,0,5043c00000008680,11,04,4,000000344a1cc608,1,0
106,106,0,0007e00000008480,11,04,2,000000344a1cc610,1,0
107,107,0,0007e00000008580,11,04,2,000000344a1cc636,1,0
108,108,0,0007e00000008680,11,04,2,000000344a1cc65a,1,0
109,109,0,5807e40000008080,01,08,5,000000344a1cc6ef,1,0
110,110,0,1807e00000008080,11,04,2,000000344a1cc73e,1,0
111,111,0,2800300000008180,01,06,0,000000344a1ccb7c,1,0
112,112,0,2800300000008280,01,06,0,000000344a1ccb7f,1,0
113,113,0,2800300000008380,01,06,0,000000344a1ccb82,1,0
114,114,0,2840300000008480,01,06,0,000000344a1ccb85,1,0
115,115,0,2844300000008580,01,06,0,000000344a1ccb88,1,0
116,116,0,2847f00000008680,01,06,0,000000344a1ccb8b,1,0
117,117,0,5003c00000008180,11,04,4,000000344a1ccc3b,1,0
118,118,0,5003c00000008280,11,04,4,000000344a1ccc5f,1,0
119,119,0,5003c00000008380,11,04,4,000000344a1ccc82,1,0
120,120,0,0007e00000008180,11,04,2,000000344a1ccc8a,1,0
121,121,0,5043c00000008480,11,04,4,000000344a1ccca5,1,0
122,122,0,0007e00000008280,11,04,2,000000344a1cccae,1,0
123,123,0,5047c00000008580,11,04,4,000000344a1cccc9,1,0
124,124,0,0007e00000008380,11,04,2,000000344a1cccd4,1,0
125,125,0,5047c00000008680,11,04,4,000000344a1cccec,1,0
126,126,0,0007e00000008480,11,04,2,000000344a1cccf5,1,0
127,127,0,0007e00000008580,11,04,2,000000344a1ccd1a,1,0
128,128,0,0007e00000008080,01,06,0,000000344a1ccd3c,1,0
129,129,0,0007e00000008680,11,04,2,000000344a1ccd3e,1,0
130,130,0,4807c00000008080,11,04,4,000000344a1ccf89,1,0
131,131,0,3803e00000008080,01,06,0,000000344a1cd204,1,0
132,132,0,2800300000008180,01,06,0,000000344a1cd219,1,0
133,133,0,2804300000008280,01,06,0,000000344a1cd21e,1,0
134,134,0,2800300000008380,01,06,0,000000344a1cd221,1,0
