index,raw,opcode,message,timestamp,aliased_addr,cycles,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb10,xb1_2,xb2,xb3,xb4,xb5
30,0x2844300000008480,5,ECI_CMD_MREQ_RLDX,696883800.435000,8480,139376760087,,0,,,1,,,17,0,8480,6,,,,0,4,0,
31,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,696883800.445000,8580,139376760089,,0,,,1,,,16,0,8580,6,,,,0,4,0,
32,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,696883800.455000,8680,139376760091,,15,,,1,,,16,0,8680,6,,,,0,4,0,
33,0x5007c00000008180,10,ECI_CMD_MRSP_PEMD,696883800.850000,8180,139376760170,0,15,0,,,0,,1,4,8180,4,0,,0,,0,,0
34,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,696883800.960000,8280,139376760192,0,15,0,,,0,,1,4,8280,4,0,,0,,0,,0
35,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,696883801.070000,8380,139376760214,0,15,0,,,0,,0,4,8380,4,0,,0,,0,,0
36,0x5047c00000008480,10,ECI_CMD_MRSP_PEMD,696883801.180000,8480,139376760236,0,15,0,,,0,,17,4,8480,4,0,,0,,0,,0
37,0x0007e00000008180,0,ECI_CMD_MRSP_VICD,696883801.275000,8180,139376760255,,15,,,1,,,,2,8180,4,,1,,,,,0
38,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,696883801.290000,8580,139376760258,0,15,0,,,0,,16,4,8580,4,0,,0,,0,,0
39,0x0007e00000008280,0,ECI_CMD_MRSP_VICD,696883801.385000,8280,139376760277,,15,,,1,,,,2,8280,4,,1,,,,,0
40,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,696883801.400000,8680,139376760280,0,15,0,,,0,,16,4,8680,4,0,,0,,0,,0
41,0x0007e00000008380,0,ECI_CMD_MRSP_VICD,696883801.485000,8380,139376760297,,15,,,1,,,,2,8380,4,,1,,,,,0
42,0x0007e00000008480,0,ECI_CMD_MRSP_VICD,696883801.600000,8480,139376760320,,15,,,1,,,,2,8480,4,,1,,,,,0
43,0x0007e00000008580,0,ECI_CMD_MRSP_VICD,696883801.710000,8580,139376760342,,15,,,1,,,,2,8580,4,,1,,,,,0
44,0x0003e00000008080,0,ECI_CMD_MREQ_RLDD,696883801.795000,8080,139376760359,,15,,,1,,,0,0,8080,6,,,,0,0,0,
45,0x0007e00000008680,0,ECI_CMD_MRSP_VICD,696883801.825000,8680,139376760365,,15,,,1,,,,2,8680,4,,1,,,,,0
46,0x4803c00000008080,9,ECI_CMD_MRSP_PSHA,696883803.470000,8080,139376760694,0,15,0,,,0,,0,4,8080,4,0,,0,,0,,0
47,0x3803e00000008080,7,ECI_CMD_MREQ_RC2D_S,696883805.655000,8080,139376761131,,15,,,1,,,0,0,8080,6,,,,0,0,0,
48,0x2800300000008180,5,ECI_CMD_MREQ_RLDX,696883805.725000,8180,139376761145,,0,,,1,,,0,0,8180,6,,,,0,4,0,
49,0x2804300000008280,5,ECI_CMD_MREQ_RLDX,696883805.735000,8280,139376761147,,0,,,1,,,1,0,8280,6,,,,0,4,0,
50,0x2804300000008380,5,ECI_CMD_MREQ_RLDX,696883805.745000,8380,139376761149,,0,,,1,,,1,0,8380,6,,,,0,4,0,
51,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,696883805.755000,8480,139376761151,,0,,,1,,,16,0,8480,6,,,,0,4,0,
52,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,696883805.765000,8580,139376761153,,0,,,1,,,16,0,8580,6,,,,0,4,0,
53,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,696883805.775000,8680,139376761155,,15,,,1,,,16,0,8680,6,,,,0,4,0,
54,0x5000000000008080,10,ECI_CMD_MRSP_PEMD,696883805.785000,8080,139376761157,0,0,0,,,0,,0,3,8080,10,0,,0,,0,,0
55,0x5003c00000008180,10,ECI_CMD_MRSP_PEMD,696883806.180000,8180,139376761236,0,15,0,,,0,,0,4,8180,4,0,,0,,0,,0
56,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,696883806.290000,8280,139376761258,0,15,0,,,0,,1,4,8280,4,0,,0,,0,,0
57,0x5007c00000008380,10,ECI_CMD_MRSP_PEMD,696883806.400000,8380,139376761280,0,15,0,,,0,,1,4,8380,4,0,,0,,0,,0
58,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,696883806.510000,8480,139376761302,0,15,0,,,0,,16,4,8480,4,0,,0,,0,,0
59,0x0007e00000008180,0,ECI_CMD_MRSP_VICD,696883806.600000,8180,139376761320,,15,,,1,,,,2,8180,4,,1,,,,,0
60,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,696883806.620000,8580,139376761324,0,15,0,,,0,,16,4,8580,4,0,,0,,0,,0
61,0x0007e00000008280,0,ECI_CMD_MRSP_VICD,696883806.710000,8280,139376761342,,15,,,1,,,,2,8280,4,,1,,,,,0
62,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,696883806.730000,8680,139376761346,0,15,0,,,0,,16,4,8680,4,0,,0,,0,,0
