index,raw,opcode,message,timestamp,aliased_addr,cycles,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb10,xb1_2,xb2,xb3,xb4,xb5
30,0x2844300000008480,5,ECI_CMD_MREQ_RLDX,1122908467.415000,8480,224581693483,,0,,,1,,,17,0,8480,6,,,,0,4,0,
31,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,1122908467.430000,8580,224581693486,,0,,,1,,,16,0,8580,6,,,,0,4,0,
32,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,1122908467.445000,8680,224581693489,,15,,,1,,,16,0,8680,6,,,,0,4,0,
33,0x5007c00000008180,10,ECI_CMD_MRSP_PEMD,1122908468.320000,8180,224581693664,0,15,0,,,0,,1,4,8180,4,0,,0,,0,,0
34,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,1122908468.500000,8280,224581693700,0,15,0,,,0,,1,4,8280,4,0,,0,,0,,0
35,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,1122908468.675000,8380,224581693735,0,15,0,,,0,,0,4,8380,4,0,,0,,0,,0
36,0x0007e00000008180,0,ECI_CMD_MRSP_VICD,1122908468.730000,8180,224581693746,,15,,,1,,,,2,8180,4,,1,,,,,0
37,0x5047c00000008480,10,ECI_CMD_MRSP_PEMD,1122908468.855000,8480,224581693771,0,15,0,,,0,,17,4,8480,4,0,,0,,0,,0
38,0x0007e00000008280,0,ECI_CMD_MRSP_VICD,1122908468.910000,8280,224581693782,,15,,,1,,,,2,8280,4,,1,,,,,0
39,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,1122908469.030000,8580,224581693806,0,15,0,,,0,,16,4,8580,4,0,,0,,0,,0
40,0x0007e00000008380,0,ECI_CMD_MRSP_VICD,1122908469.070000,8380,224581693814,,15,,,1,,,,2,8380,4,,1,,,,,0
41,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,1122908469.205000,8680,224581693841,0,15,0,,,0,,16,4,8680,4,0,,0,,0,,0
42,0x0007e00000008480,0,ECI_CMD_MRSP_VICD,1122908469.255000,8480,224581693851,,15,,,1,,,,2,8480,4,,1,,,,,0
43,0x0007e00000008580,0,ECI_CMD_MRSP_VICD,1122908469.435000,8580,224581693887,,15,,,1,,,,2,8580,4,,1,,,,,0
44,0x0003e00000008080,0,ECI_CMD_MREQ_RLDD,1122908469.605000,8080,224581693921,,15,,,1,,,0,0,8080,6,,,,0,0,0,
45,0x0007e00000008680,0,ECI_CMD_MRSP_VICD,1122908469.615000,8680,224581693923,,15,,,1,,,,2,8680,4,,1,,,,,0
46,0x4803c00000008080,9,ECI_CMD_MRSP_PSHA,1122908472.545000,8080,224581694509,0,15,0,,,0,,0,4,8080,4,0,,0,,0,,0
47,0x3803e00000008080,7,ECI_CMD_MREQ_RC2D_S,1122908475.830000,8080,224581695166,,15,,,1,,,0,0,8080,6,,,,0,0,0,
48,0x2800300000008180,5,ECI_CMD_MREQ_RLDX,1122908475.940000,8180,224581695188,,0,,,1,,,0,0,8180,6,,,,0,4,0,
49,0x2804300000008280,5,ECI_CMD_MREQ_RLDX,1122908475.955000,8280,224581695191,,0,,,1,,,1,0,8280,6,,,,0,4,0,
50,0x2804300000008380,5,ECI_CMD_MREQ_RLDX,1122908475.970000,8380,224581695194,,0,,,1,,,1,0,8380,6,,,,0,4,0,
51,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,1122908475.985000,8480,224581695197,,0,,,1,,,16,0,8480,6,,,,0,4,0,
52,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,1122908476.000000,8580,224581695200,,0,,,1,,,16,0,8580,6,,,,0,4,0,
53,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,1122908476.015000,8680,224581695203,,15,,,1,,,16,0,8680,6,,,,0,4,0,
54,0x5000000000008080,10,ECI_CMD_MRSP_PEMD,1122908476.235000,8080,224581695247,0,0,0,,,0,,0,3,8080,10,0,,0,,0,,0
55,0x5003c00000008180,10,ECI_CMD_MRSP_PEMD,1122908476.910000,8180,224581695382,0,15,0,,,0,,0,4,8180,4,0,,0,,0,,0
56,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,1122908477.085000,8280,224581695417,0,15,0,,,0,,1,4,8280,4,0,,0,,0,,0
57,0x5007c00000008380,10,ECI_CMD_MRSP_PEMD,1122908477.265000,8380,224581695453,0,15,0,,,0,,1,4,8380,4,0,,0,,0,,0
58,0x0007e00000008180,0,ECI_CMD_MRSP_VICD,1122908477.315000,8180,224581695463,,15,,,1,,,,2,8180,4,,1,,,,,0
59,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,1122908477.440000,8480,224581695488,0,15,0,,,0,,16,4,8480,4,0,,0,,0,,0
60,0x0007e00000008280,0,ECI_CMD_MRSP_VICD,1122908477.490000,8280,224581695498,,15,,,1,,,,2,8280,4,,1,,,,,0
61,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,1122908477.620000,8580,224581695524,0,15,0,,,0,,16,4,8580,4,0,,0,,0,,0
62,0x0007e00000008380,0,ECI_CMD_MRSP_VICD,1122908477.670000,8380,224581695534,,15,,,1,,,,2,8380,4,,1,,,,,0
63,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,1122908477.795000,8680,224581695559,0,15,0,,,0,,16,4,8680,4,0,,0,,0,,0
64,0x0007e00000008480,0,ECI_CMD_MRSP_VICD,1122908477.850000,8480,224581695570,,15,,,1,,,,2,8480,4,,1,,,,,0
65,0x0007e00000008580,0,ECI_CMD_MRSP_VICD,1122908478.015000,8580,224581695603,,15,,,1,,,,2,8580,4,,1,,,,,0
66,0x0007e00000008680,0,ECI_CMD_MRSP_VICD,1122908478.200000,8680,224581695640,,15,,,1,,,,2,8680,4,,1,,,,,0
67,0x5807e40000008080,11,ECI_CMD_MFWD_FEVX_EH,1122908478.940000,8080,224581695788,,15,,1,1,,1,,5,8080,8,0,,,0,0,,
68,0x1807e00000008080,3,ECI_CMD_MRSP_VICDHI,1122908479.325000,8080,224581695865,,15,,1,1,,,,2,8080,4,,,,,0,,0
69,0x2804300000008180,5,ECI_CMD_MREQ_RLDX,1122908484.535000,8180,224581696907,,0,,,1,,,1,0,8180,6,,,,0,4,0,
70,0x2800300000008280,5,ECI_CMD_MREQ_RLDX,1122908484.550000,8280,224581696910,,0,,,1,,,0,0,8280,6,,,,0,4,0,
71,0x2804300000008380,5,ECI_CMD_MREQ_RLDX,1122908484.565000,8380,224581696913,,0,,,1,,,1,0,8380,6,,,,0,4,0,
72,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,1122908484.580000,8480,224581696916,,0,,,1,,,16,0,8480,6,,,,0,4,0,
73,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,1122908484.595000,8580,224581696919,,0,,,1,,,16,0,8580,6,,,,0,4,0,
74,0x2847f00000008680,5,ECI_CMD_MREQ_RLDX,1122908484.610000,8680,224581696922,,15,,,1,,,17,0,8680,6,,,,0,4,0,
75,0x5007c00000008180,10,ECI_CMD_MRSP_PEMD,1122908485.500000,8180,224581697100,0,15,0,,,0,,1,4,8180,4,0,,0,,0,,0
76,0x5003c00000008280,10,ECI_CMD_MRSP_PEMD,1122908485.675000,8280,224581697135,0,15,0,,,0,,0,4,8280,4,0,,0,,0,,0
77,0x5007c00000008380,10,ECI_CMD_MRSP_PEMD,1122908485.850000,8380,224581697170,0,15,0,,,0,,1,4,8380,4,0,,0,,0,,0
78,0x0007e00000008180,0,ECI_CMD_MRSP_VICD,1122908485.910000,8180,224581697182,,15,,,1,,,,2,8180,4,,1,,,,,0
79,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,1122908486.030000,8480,224581697206,0,15,0,,,0,,16,4,8480,4,0,,0,,0,,0
80,0x0007e00000008280,0,ECI_CMD_MRSP_VICD,1122908486.070000,8280,224581697214,,15,,,1,,,,2,8280,4,,1,,,,,0
81,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,1122908486.205000,8580,224581697241,0,15,0,,,0,,16,4,8580,4,0,,0,,0,,0
82,0x0007e00000008380,0,ECI_CMD_MRSP_VICD,1122908486.260000,8380,224581697252,,15,,,1,,,,2,8380,4,,1,,,,,0
83,0x5047c00000008680,10,ECI_CMD_MRSP_PEMD,1122908486.385000,8680,224581697277,0,15,0,,,0,,17,4,8680,4,0,,0,,0,,0
84,0x0007e00000008480,0,ECI_CMD_MRSP_VICD,1122908486.440000,8480,224581697288,,15,,,1,,,,2,8480,4,,1,,,,,0
85,0x0007e00000008580,0,ECI_CMD_MRSP_VICD,1122908486.610000,8580,224581697322,,15,,,1,,,,2,8580,4,,1,,,,,0
86,0x0007e00000008080,0,ECI_CMD_MREQ_RLDD,1122908486.780000,8080,224581697356,,15,,,1,,,1,0,8080,6,,,,0,0,0,
87,0x0007e00000008680,0,ECI_CMD_MRSP_VICD,1122908486.790000,8680,224581697358,,15,,,1,,,,2,8680,4,,1,,,,,0
88,0x4807c00000008080,9,ECI_CMD_MRSP_PSHA,1122908489.710000,8080,224581697942,0,15,0,,,0,,1,4,8080,4,0,,0,,0,,0
89,0x3807e00000008080,7,ECI_CMD_MREQ_RC2D_S,1122908493.460000,8080,224581698692,,15,,,1,,,1,0,8080,6,,,,0,0,0,
90,0x2804300000008180,5,ECI_CMD_MREQ_RLDX,1122908493.560000,8180,224581698712,,0,,,1,,,1,0,8180,6,,,,0,4,0,
91,0x2804300000008280,5,ECI_CMD_MREQ_RLDX,1122908493.575000,8280,224581698715,,0,,,1,,,1,0,8280,6,,,,0,4,0,
92,0x2800300000008380,5,ECI_CMD_MREQ_RLDX,1122908493.590000,8380,224581698718,,0,,,1,,,0,0,8380,6,,,,0,4,0,
93,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,1122908493.605000,8480,224581698721,,0,,,1,,,16,0,8480,6,,,,0,4,0,
94,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,1122908493.620000,8580,224581698724,,0,,,1,,,16,0,8580,6,,,,0,4,0,
95,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,1122908493.635000,8680,224581698727,,15,,,1,,,16,0,8680,6,,,,0,4,0,
96,0x5004000000008080,10,ECI_CMD_MRSP_PEMD,1122908493.870000,8080,224581698774,0,0,0,,,0,,1,3,8080,10,0,,0,,0,,0
97,0x5007c00000008180,10,ECI_CMD_MRSP_PEMD,1122908494.515000,8180,224581698903,0,15,0,,,0,,1,4,8180,4,0,,0,,0,,0
98,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,1122908494.690000,8280,224581698938,0,15,0,,,0,,1,4,8280,4,0,,0,,0,,0
99,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,1122908494.870000,8380,224581698974,0,15,0,,,0,,0,4,8380,4,0,,0,,0,,0
100,0x0007e00000008180,0,ECI_CMD_MRSP_VICD,1122908494.920000,8180,224581698984,,15,,,1,,,,2,8180,4,,1,,,,,0
101,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,1122908495.045000,8480,224581699009,0,15,0,,,0,,16,4,8480,4,0,,0,,0,,0
102,0x0007e00000008280,0,ECI_CMD_MRSP_VICD,1122908495.100000,8280,224581699020,,15,,,1,,,,2,8280,4,,1,,,,,0
103,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,1122908495.220000,8580,224581699044,0,15,0,,,0,,16,4,8580,4,0,,0,,0,,0
104,0x0007e00000008380,0,ECI_CMD_MRSP_VICD,1122908495.280000,8380,224581699056,,15,,,1,,,,2,8380,4,,1,,,,,0
105,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,1122908495.400000,8680,224581699080,0,15,0,,,0,,16,4,8680,4,0,,0,,0,,0
106,0x0007e00000008480,0,ECI_CMD_MRSP_VICD,1122908495.440000,8480,224581699088,,15,,,1,,,,2,8480,4,,1,,,,,0
107,0x0007e00000008580,0,ECI_CMD_MRSP_VICD,1122908495.630000,8580,224581699126,,15,,,1,,,,2,8580,4,,1,,,,,0
108,0x0007e00000008680,0,ECI_CMD_MRSP_VICD,1122908495.810000,8680,224581699162,,15,,,1,,,,2,8680,4,,1,,,,,0
109,0x5807e40000008080,11,ECI_CMD_MFWD_FEVX_EH,1122908496.555000,8080,224581699311,,15,,1,1,,1,,5,8080,8,0,,,0,0,,
110,0x1807e00000008080,3,ECI_CMD_MRSP_VICDHI,1122908496.950000,8080,224581699390,,15,,1,1,,,,2,8080,4,,,,,0,,0
111,0x2800300000008180,5,ECI_CMD_MREQ_RLDX,1122908502.380000,8180,224581700476,,0,,,1,,,0,0,8180,6,,,,0,4,0,
112,0x2800300000008280,5,ECI_CMD_MREQ_RLDX,1122908502.395000,8280,224581700479,,0,,,1,,,0,0,8280,6,,,,0,4,0,
113,0x2800300000008380,5,ECI_CMD_MREQ_RLDX,1122908502.410000,8380,224581700482,,0,,,1,,,0,0,8380,6,,,,0,4,0,
114,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,1122908502.425000,8480,224581700485,,0,,,1,,,16,0,8480,6,,,,0,4,0,
115,0x2844300000008580,5,ECI_CMD_MREQ_RLDX,1122908502.440000,8580,224581700488,,0,,,1,,,17,0,8580,6,,,,0,4,0,
116,0x2847f00000008680,5,ECI_CMD_MREQ_RLDX,1122908502.455000,8680,224581700491,,15,,,1,,,17,0,8680,6,,,,0,4,0,
117,0x5003c00000008180,10,ECI_CMD_MRSP_PEMD,1122908503.335000,8180,224581700667,0,15,0,,,0,,0,4,8180,4,0,,0,,0,,0
118,0x5003c00000008280,10,ECI_CMD_MRSP_PEMD,1122908503.515000,8280,224581700703,0,15,0,,,0,,0,4,8280,4,0,,0,,0,,0
119,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,1122908503.690000,8380,224581700738,0,15,0,,,0,,0,4,8380,4,0,,0,,0,,0
120,0x0007e00000008180,0,ECI_CMD_MRSP_VICD,1122908503.730000,8180,224581700746,,15,,,1,,,,2,8180,4,,1,,,,,0
121,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,1122908503.865000,8480,224581700773,0,15,0,,,0,,16,4,8480,4,0,,0,,0,,0
122,0x0007e00000008280,0,ECI_CMD_MRSP_VICD,1122908503.910000,8280,224581700782,,15,,,1,,,,2,8280,4,,1,,,,,0
