index,raw,opcode,message,timestamp,aliased_addr,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb10,xb1_2,xb2,xb3,xb4,xb5
501,0x0007e00000008680,0,ECI_CMD_MRSP_VICD,91988342441,8680,,15,,,1,,,,2,8680,4,,1,,,,,0
502,0x0003e00000008080,0,ECI_CMD_MREQ_RLDD,91988342444,8080,,15,,,1,,,0,0,8080,6,,,,0,0,0,
503,0x4803c00000008080,9,ECI_CMD_MRSP_PSHA,91988343033,8080,0,15,0,,,0,,0,4,8080,4,0,,0,,0,,0
504,0x0003e00000000080,0,ECI_CMD_MREQ_RLDD,91988343159,80,,15,,,1,,,0,0,80,6,,,,0,0,0,
505,0x4803c00000000080,9,ECI_CMD_MRSP_PSHA,91988343614,80,0,15,0,,,0,,0,4,80,4,0,,0,,0,,0
506,0x3803e00000008080,7,ECI_CMD_MREQ_RC2D_S,91988344006,8080,,15,,,1,,,0,0,8080,6,,,,0,0,0,
507,0x2804300000008180,5,ECI_CMD_MREQ_RLDX,91988344029,8180,,0,,,1,,,1,0,8180,6,,,,0,4,0,
508,0x2800300000008280,5,ECI_CMD_MREQ_RLDX,91988344032,8280,,0,,,1,,,0,0,8280,6,,,,0,4,0,
509,0x2800300000008380,5,ECI_CMD_MREQ_RLDX,91988344035,8380,,0,,,1,,,0,0,8380,6,,,,0,4,0,
510,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,91988344038,8480,,0,,,1,,,16,0,8480,6,,,,0,4,0,
511,0x2844300000008580,5,ECI_CMD_MREQ_RLDX,91988344041,8580,,0,,,1,,,17,0,8580,6,,,,0,4,0,
512,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,91988344044,8680,,15,,,1,,,16,0,8680,6,,,,0,4,0,
513,0x5000000000008080,10,ECI_CMD_MRSP_PEMD,91988344087,8080,0,0,0,,,0,,0,3,8080,10,0,,0,,0,,0
514,0x5007c00000008180,10,ECI_CMD_MRSP_PEMD,91988344224,8180,0,15,0,,,0,,1,4,8180,4,0,,0,,0,,0
515,0x5003c00000008280,10,ECI_CMD_MRSP_PEMD,91988344259,8280,0,15,0,,,0,,0,4,8280,4,0,,0,,0,,0
516,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,91988344294,8380,0,15,0,,,0,,0,4,8380,4,0,,0,,0,,0
517,0x0007e00000008180,0,ECI_CMD_MRSP_VICD,91988344304,8180,,15,,,1,,,,2,8180,4,,1,,,,,0
518,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,91988344330,8480,0,15,0,,,0,,16,4,8480,4,0,,0,,0,,0
519,0x0007e00000008280,0,ECI_CMD_MRSP_VICD,91988344340,8280,,15,,,1,,,,2,8280,4,,1,,,,,0
520,0x5047c00000008580,10,ECI_CMD_MRSP_PEMD,91988344365,8580,0,15,0,,,0,,17,4,8580,4,0,,0,,0,,0
521,0x0007e00000008380,0,ECI_CMD_MRSP_VICD,91988344376,8380,,15,,,1,,,,2,8380,4,,1,,,,,0
522,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,91988344401,8680,0,15,0,,,0,,16,4,8680,4,0,,0,,0,,0
523,0x0007e00000008480,0,ECI_CMD_MRSP_VICD,91988344412,8480,,15,,,1,,,,2,8480,4,,1,,,,,0
524,0x0007e00000008580,0,ECI_CMD_MRSP_VICD,91988344445,8580,,15,,,1,,,,2,8580,4,,1,,,,,0
525,0x0007e00000008680,0,ECI_CMD_MRSP_VICD,91988344480,8680,,15,,,1,,,,2,8680,4,,1,,,,,0
