index,raw,opcode,message,timestamp,aliased_addr,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb10,xb1_2,xb2,xb3,xb4,xb5
325,0x0007e00000008400,0,ECI_CMD_MRSP_VICD,91988342344,8400,,15,,,1,,,,2,8400,5,,1,,,,,0
326,0x0007e00000008500,0,ECI_CMD_MRSP_VICD,91988342380,8500,,15,,,1,,,,2,8500,5,,1,,,,,0
327,0x0007e00000008600,0,ECI_CMD_MRSP_VICD,91988342416,8600,,15,,,1,,,,2,8600,5,,1,,,,,0
328,0x5803e40000008000,11,ECI_CMD_MFWD_FEVX_EH,91988342600,8000,,15,,0,1,,1,,5,8000,9,0,,,0,0,,
329,0x1803e00000008000,3,ECI_CMD_MRSP_VICDHI,91988342679,8000,,15,,0,1,,,,2,8000,5,,,,,0,,0
330,0x7003e40000000000,14,ECI_CMD_MFWD_SINV_H,91988343385,0,,15,,0,1,,1,,5,0,9,0,,,0,0,,
331,0x2000200000000000,4,ECI_CMD_MRSP_HAKD,91988343451,0,,0,,0,1,,,,1,0,11,,,,,0,,0
332,0x2800300000008100,5,ECI_CMD_MREQ_RLDX,91988344028,8100,,0,,,1,,,0,0,8100,7,,,,0,4,0,
333,0x2808300000008200,5,ECI_CMD_MREQ_RLDX,91988344031,8200,,0,,,1,,,2,0,8200,7,,,,0,4,0,
334,0x2804300000008300,5,ECI_CMD_MREQ_RLDX,91988344034,8300,,0,,,1,,,1,0,8300,7,,,,0,4,0,
335,0x2840300000008400,5,ECI_CMD_MREQ_RLDX,91988344037,8400,,0,,,1,,,16,0,8400,7,,,,0,4,0,
336,0x2844300000008500,5,ECI_CMD_MREQ_RLDX,91988344040,8500,,0,,,1,,,17,0,8500,7,,,,0,4,0,
337,0x2840300000008600,5,ECI_CMD_MREQ_RLDX,91988344043,8600,,0,,,1,,,16,0,8600,7,,,,0,4,0,
338,0x5003c00000008100,10,ECI_CMD_MRSP_PEMD,91988344195,8100,0,15,0,,,0,,0,4,8100,5,0,,0,,0,,0
339,0x500bc00000008200,10,ECI_CMD_MRSP_PEMD,91988344235,8200,0,15,0,,,0,,2,4,8200,5,0,,0,,0,,0
340,0x5007c00000008300,10,ECI_CMD_MRSP_PEMD,91988344271,8300,0,15,0,,,0,,1,4,8300,5,0,,0,,0,,0
341,0x0007e00000008100,0,ECI_CMD_MRSP_VICD,91988344275,8100,,15,,,1,,,,2,8100,5,,1,,,,,0
342,0x5043c00000008400,10,ECI_CMD_MRSP_PEMD,91988344306,8400,0,15,0,,,0,,16,4,8400,5,0,,0,,0,,0
343,0x0007e00000008200,0,ECI_CMD_MRSP_VICD,91988344316,8200,,15,,,1,,,,2,8200,5,,1,,,,,0
344,0x5047c00000008500,10,ECI_CMD_MRSP_PEMD,91988344341,8500,0,15,0,,,0,,17,4,8500,5,0,,0,,0,,0
345,0x0007e00000008300,0,ECI_CMD_MRSP_VICD,91988344349,8300,,15,,,1,,,,2,8300,5,,1,,,,,0
346,0x5043c00000008600,10,ECI_CMD_MRSP_PEMD,91988344377,8600,0,15,0,,,0,,16,4,8600,5,0,,0,,0,,0
347,0x0007e00000008400,0,ECI_CMD_MRSP_VICD,91988344386,8400,,15,,,1,,,,2,8400,5,,1,,,,,0
348,0x0007e00000008500,0,ECI_CMD_MRSP_VICD,91988344421,8500,,15,,,1,,,,2,8500,5,,1,,,,,0
349,0x0007e00000008600,0,ECI_CMD_MRSP_VICD,91988344458,8600,,15,,,1,,,,2,8600,5,,1,,,,,0
350,0x0003e00000008000,0,ECI_CMD_MREQ_RLDD,91988344478,8000,,15,,,1,,,0,0,8000,7,,,,0,0,0,
351,0x4803c00000008000,9,ECI_CMD_MRSP_PSHA,91988345063,8000,0,15,0,,,0,,0,4,8000,5,0,,0,,0,,0
352,0x0007e00000000000,0,ECI_CMD_MREQ_RLDD,91988345186,0,,15,,,1,,,1,0,0,7,,,,0,0,0,
353,0x4807c00000000000,9,ECI_CMD_MRSP_PSHA,91988345566,0,0,15,0,,,0,,1,4,0,5,0,,0,,0,,0
354,0x3803e00000008000,7,ECI_CMD_MREQ_RC2D_S,91988345965,8000,,15,,,1,,,0,0,8000,7,,,,0,0,0,
355,0x2800300000008100,5,ECI_CMD_MREQ_RLDX,91988345986,8100,,0,,,1,,,0,0,8100,7,,,,0,4,0,
356,0x2804300000008200,5,ECI_CMD_MREQ_RLDX,91988345989,8200,,0,,,1,,,1,0,8200,7,,,,0,4,0,
357,0x2800300000008300,5,ECI_CMD_MREQ_RLDX,91988345992,8300,,0,,,1,,,0,0,8300,7,,,,0,4,0,
358,0x2840300000008400,5,ECI_CMD_MREQ_RLDX,91988345995,8400,,0,,,1,,,16,0,8400,7,,,,0,4,0,
359,0x2844300000008500,5,ECI_CMD_MREQ_RLDX,91988345998,8500,,0,,,1,,,17,0,8500,7,,,,0,4,0,
