index,dcs_trace.event.req,dcs_trace.event.cli,dcs_trace.event.action,dcs_trace.event.state,timestamp
319,R13,0000008180,RDD,s1__3pRA3,1781452040.185000
320,R13,0000008100,RDD,s1__3pRA3,1781452040.185000
321,R13,0000008280,RDD,s1__3pRA3,1781452040.200000
322,R13,0000008200,RDD,s1__3pRA3,1781452040.200000
323,R13,0000008380,RDD,s1__3pRA3,1781452040.215000
324,R13,0000008300,RDD,s1__3pRA3,1781452040.215000
325,R13,0000008480,RDD,s1__3pRA3,1781452040.230000
326,R13,0000008400,RDD,s1__3pRA3,1781452040.230000
327,R13,0000008580,RDD,s1__3pRA3,1781452040.245000
328,R13,0000008500,RDD,s1__3pRA3,1781452040.245000
329,R13,0000008680,RDD,s1__3pRA3,1781452040.260000
330,R13,0000008600,RDD,s1__3pRA3,1781452040.260000
331,RDDA,0000008100,SEND_RA3,s1__3,1781452040.445000
332,RDDA,0000008180,SEND_RA3,s1__3,1781452040.510000
333,RDDA,0000008200,SEND_RA3,s1__3,1781452040.555000
334,RDDA,0000008280,SEND_RA3,s1__3,1781452040.620000
335,RDDA,0000008300,SEND_RA3,s1__3,1781452040.665000
336,RDDA,0000008380,SEND_RA3,s1__3,1781452040.730000
337,RDDA,0000008400,SEND_RA3,s1__3,1781452040.775000
338,RDDA,0000008480,SEND_RA3,s1__3,1781452040.840000
339,RDDA,0000008500,SEND_RA3,s1__3,1781452040.885000
340,RDDA,0000008580,SEND_RA3,s1__3,1781452040.950000
341,V31d,0000008100,WDD,s1__1_WDDA,1781452040.980000
342,RDDA,0000008600,SEND_RA3,s1__3,1781452040.995000
343,V31d,0000008180,WDD,s1__1_WDDA,1781452041.050000
344,RDDA,0000008680,SEND_RA3,s1__3,1781452041.060000
345,V31d,0000008200,WDD,s1__1_WDDA,1781452041.090000
346,V31d,0000008280,WDD,s1__1_WDDA,1781452041.165000
347,V31d,0000008300,WDD,s1__1_WDDA,1781452041.200000
348,V31d,0000008380,WDD,s1__1_WDDA,1781452041.280000
349,V31d,0000008400,WDD,s1__1_WDDA,1781452041.310000
350,V31d,0000008480,WDD,s1__1_WDDA,1781452041.385000
351,V31d,0000008500,WDD,s1__1_WDDA,1781452041.420000
352,V31d,0000008580,WDD,s1__1_WDDA,1781452041.495000
353,V31d,0000008600,WDD,s1__1_WDDA,1781452041.535000
354,R12,0000008000,RDD,s1__2pRA2,1781452041.570000
355,V31d,0000008680,WDD,s1__1_WDDA,1781452041.605000
356,LCI,0000008080,SEND_F31,s1pCI__1_A31d,1781452041.815000
357,A31d,0000008080,WDD,s1pCI__1_WDDA,1781452042.315000
358,WDDA,0000008080,SEND_LCIA,s1pUL__1,1781452042.595000
359,LCI,0000008180,SEND_LCIA,s1pUL__1,1781452042.820000
360,UL,0000008080,NO_ACTION,s1__1,1781452042.830000
361,LCI,0000008100,SEND_LCIA,s1pUL__1,1781452042.830000
362,LCI,0000008280,SEND_LCIA,s1pUL__1,1781452042.845000
363,LCI,0000008200,SEND_LCIA,s1pUL__1,1781452042.845000
364,LCI,0000008380,SEND_LCIA,s1pUL__1,1781452042.860000
365,LCI,0000008480,SEND_LCIA,s1pUL__1,1781452042.870000
366,LCI,0000008300,SEND_LCIA,s1pUL__1,1781452042.870000
367,LCI,0000008400,SEND_LCIA,s1pUL__1,1781452042.885000
368,LCI,0000008580,SEND_LCIA,s1pUL__1,1781452042.895000
369,LCI,0000008680,SEND_LCIA,s1pUL__1,1781452042.905000
370,LCI,0000008500,SEND_LCIA,s1pUL__1,1781452042.905000
371,LCI,0000008600,SEND_LCIA,s1pUL__1,1781452042.920000
372,UL,0000008100,NO_ACTION,s1__1,1781452043.045000
373,UL,0000008180,NO_ACTION,s1__1,1781452043.055000
374,UL,0000008200,NO_ACTION,s1__1,1781452043.055000
375,UL,0000008280,NO_ACTION,s1__1,1781452043.070000
376,UL,0000008300,NO_ACTION,s1__1,1781452043.080000
377,UL,0000008380,NO_ACTION,s1__1,1781452043.090000
378,UL,0000008400,NO_ACTION,s1__1,1781452043.090000
379,UL,0000008480,NO_ACTION,s1__1,1781452043.105000
380,UL,0000008500,NO_ACTION,s1__1,1781452043.115000
381,UL,0000008580,NO_ACTION,s1__1,1781452043.125000
382,UL,0000008600,NO_ACTION,s1__1,1781452043.125000
383,UL,0000008680,NO_ACTION,s1__1,1781452043.140000
384,RDDA,0000008000,SEND_RA2,s1__2,1781452043.150000
385,R23,0000008000,SEND_RA3,s1__3,1781452045.345000
386,R13,0000008180,RDD,s1__3pRA3,1781452045.390000
387,R13,0000008100,RDD,s1__3pRA3,1781452045.390000
388,R13,0000008200,RDD,s1__3pRA3,1781452045.405000
389,R13,0000008280,RDD,s1__3pRA3,1781452045.415000
390,R13,0000008300,RDD,s1__3pRA3,1781452045.425000
391,R13,0000008380,RDD,s1__3pRA3,1781452045.435000
392,R13,0000008400,RDD,s1__3pRA3,1781452045.445000
393,R13,0000008480,RDD,s1__3pRA3,1781452045.455000
394,R13,0000008500,RDD,s1__3pRA3,1781452045.465000
395,R13,0000008580,RDD,s1__3pRA3,1781452045.475000
396,R13,0000008680,RDD,s1__3pRA3,1781452045.485000
397,R13,0000008600,RDD,s1__3pRA3,1781452045.485000
398,RDDA,0000008100,SEND_RA3,s1__3,1781452045.650000
399,RDDA,0000008180,SEND_RA3,s1__3,1781452045.715000
400,RDDA,0000008200,SEND_RA3,s1__3,1781452045.760000
401,RDDA,0000008280,SEND_RA3,s1__3,1781452045.825000
402,RDDA,0000008300,SEND_RA3,s1__3,1781452045.870000
403,RDDA,0000008380,SEND_RA3,s1__3,1781452045.935000
404,RDDA,0000008400,SEND_RA3,s1__3,1781452045.980000
405,RDDA,0000008480,SEND_RA3,s1__3,1781452046.045000
406,RDDA,0000008500,SEND_RA3,s1__3,1781452046.090000
407,RDDA,0000008580,SEND_RA3,s1__3,1781452046.155000
408,V31d,0000008100,WDD,s1__1_WDDA,1781452046.180000
409,RDDA,0000008600,SEND_RA3,s1__3,1781452046.200000
410,V31d,0000008180,WDD,s1__1_WDDA,1781452046.260000
411,RDDA,0000008680,SEND_RA3,s1__3,1781452046.270000
412,V31d,0000008200,WDD,s1__1_WDDA,1781452046.300000
413,V31d,0000008280,WDD,s1__1_WDDA,1781452046.375000
414,V31d,0000008300,WDD,s1__1_WDDA,1781452046.405000
415,V31d,0000008380,WDD,s1__1_WDDA,1781452046.480000
416,V31d,0000008400,WDD,s1__1_WDDA,1781452046.515000
417,V31d,0000008480,WDD,s1__1_WDDA,1781452046.585000
418,V31d,0000008500,WDD,s1__1_WDDA,1781452046.630000
419,V31d,0000008580,WDD,s1__1_WDDA,1781452046.700000
420,V31d,0000008600,WDD,s1__1_WDDA,1781452046.740000
421,R12,0000008080,RDD,s1__2pRA2,1781452046.780000
422,V31d,0000008680,WDD,s1__1_WDDA,1781452046.815000
423,LCI,0000008000,SEND_F31,s1pCI__1_A31d,1781452047.040000
424,A31d,0000008000,WDD,s1pCI__1_WDDA,1781452047.530000
425,WDDA,0000008000,SEND_LCIA,s1pUL__1,1781452047.795000
426,LCI,0000008180,SEND_LCIA,s1pUL__1,1781452048.000000
427,LCI,0000008280,SEND_LCIA,s1pUL__1,1781452048.010000
428,LCI,0000008100,SEND_LCIA,s1pUL__1,1781452048.010000
429,LCI,0000008200,SEND_LCIA,s1pUL__1,1781452048.025000
430,UL,0000008000,NO_ACTION,s1__1,1781452048.035000
431,LCI,0000008380,SEND_LCIA,s1pUL__1,1781452048.045000
432,LCI,0000008480,SEND_LCIA,s1pUL__1,1781452048.055000
433,LCI,0000008300,SEND_LCIA,s1pUL__1,1781452048.055000
434,LCI,0000008400,SEND_LCIA,s1pUL__1,1781452048.070000
435,LCI,0000008580,SEND_LCIA,s1pUL__1,1781452048.080000
436,LCI,0000008680,SEND_LCIA,s1pUL__1,1781452048.090000
437,LCI,0000008500,SEND_LCIA,s1pUL__1,1781452048.090000
438,LCI,0000008600,SEND_LCIA,s1pUL__1,1781452048.105000
439,UL,0000008100,NO_ACTION,s1__1,1781452048.225000
440,UL,0000008180,NO_ACTION,s1__1,1781452048.235000
441,UL,0000008200,NO_ACTION,s1__1,1781452048.235000
442,UL,0000008280,NO_ACTION,s1__1,1781452048.250000
443,UL,0000008300,NO_ACTION,s1__1,1781452048.260000
444,UL,0000008380,NO_ACTION,s1__1,1781452048.270000
445,UL,0000008400,NO_ACTION,s1__1,1781452048.270000
446,UL,0000008480,NO_ACTION,s1__1,1781452048.285000
447,UL,0000008500,NO_ACTION,s1__1,1781452048.295000
448,UL,0000008580,NO_ACTION,s1__1,1781452048.305000
449,UL,0000008600,NO_ACTION,s1__1,1781452048.305000
450,UL,0000008680,NO_ACTION,s1__1,1781452048.320000
451,RDDA,0000008080,SEND_RA2,s1__2,1781452048.330000
452,R23,0000008080,SEND_RA3,s1__3,1781452050.525000
453,R13,0000008180,RDD,s1__3pRA3,1781452050.575000
454,R13,0000008100,RDD,s1__3pRA3,1781452050.575000
455,R13,0000008280,RDD,s1__3pRA3,1781452050.590000
456,R13,0000008200,RDD,s1__3pRA3,1781452050.590000
457,R13,0000008380,RDD,s1__3pRA3,1781452050.605000
458,R13,0000008300,RDD,s1__3pRA3,1781452050.605000
459,R13,0000008480,RDD,s1__3pRA3,1781452050.620000
460,R13,0000008400,RDD,s1__3pRA3,1781452050.620000
461,R13,0000008580,RDD,s1__3pRA3,1781452050.635000
462,R13,0000008500,RDD,s1__3pRA3,1781452050.635000
463,R13,0000008680,RDD,s1__3pRA3,1781452050.650000
464,R13,0000008600,RDD,s1__3pRA3,1781452050.650000
465,RDDA,0000008100,SEND_RA3,s1__3,1781452050.835000
466,RDDA,0000008180,SEND_RA3,s1__3,1781452050.900000
467,RDDA,0000008200,SEND_RA3,s1__3,1781452050.945000
468,RDDA,0000008280,SEND_RA3,s1__3,1781452051.010000
469,RDDA,0000008300,SEND_RA3,s1__3,1781452051.055000
470,RDDA,0000008380,SEND_RA3,s1__3,1781452051.120000
471,RDDA,0000008400,SEND_RA3,s1__3,1781452051.165000
472,RDDA,0000008480,SEND_RA3,s1__3,1781452051.230000
473,RDDA,0000008500,SEND_RA3,s1__3,1781452051.275000
474,RDDA,0000008580,SEND_RA3,s1__3,1781452051.340000
475,V31d,0000008100,WDD,s1__1_WDDA,1781452051.370000
476,RDDA,0000008600,SEND_RA3,s1__3,1781452051.385000
477,V31d,0000008180,WDD,s1__1_WDDA,1781452051.440000
478,RDDA,0000008680,SEND_RA3,s1__3,1781452051.450000
479,V31d,0000008200,WDD,s1__1_WDDA,1781452051.480000
480,V31d,0000008280,WDD,s1__1_WDDA,1781452051.555000
481,V31d,0000008300,WDD,s1__1_WDDA,1781452051.585000
482,V31d,0000008380,WDD,s1__1_WDDA,1781452051.665000
483,V31d,0000008400,WDD,s1__1_WDDA,1781452051.705000
484,V31d,0000008480,WDD,s1__1_WDDA,1781452051.780000
485,V31d,0000008500,WDD,s1__1_WDDA,1781452051.810000
486,V31d,0000008580,WDD,s1__1_WDDA,1781452051.885000
487,V31d,0000008600,WDD,s1__1_WDDA,1781452051.920000
488,R12,0000008000,RDD,s1__2pRA2,1781452051.965000
489,V31d,0000008680,WDD,s1__1_WDDA,1781452051.995000
490,LCI,0000008080,SEND_F31,s1pCI__1_A31d,1781452052.210000
491,A31d,0000008080,WDD,s1pCI__1_WDDA,1781452052.710000
492,WDDA,0000008080,SEND_LCIA,s1pUL__1,1781452052.990000
493,LCI,0000008180,SEND_LCIA,s1pUL__1,1781452053.215000
494,UL,0000008080,NO_ACTION,s1__1,1781452053.225000
495,LCI,0000008100,SEND_LCIA,s1pUL__1,1781452053.225000
496,LCI,0000008280,SEND_LCIA,s1pUL__1,1781452053.240000
497,LCI,0000008200,SEND_LCIA,s1pUL__1,1781452053.240000
498,LCI,0000008380,SEND_LCIA,s1pUL__1,1781452053.255000
499,LCI,0000008480,SEND_LCIA,s1pUL__1,1781452053.265000
500,LCI,0000008300,SEND_LCIA,s1pUL__1,1781452053.265000
501,LCI,0000008400,SEND_LCIA,s1pUL__1,1781452053.280000
502,LCI,0000008580,SEND_LCIA,s1pUL__1,1781452053.290000
503,LCI,0000008680,SEND_LCIA,s1pUL__1,1781452053.300000
504,LCI,0000008500,SEND_LCIA,s1pUL__1,1781452053.300000
505,LCI,0000008600,SEND_LCIA,s1pUL__1,1781452053.315000
506,UL,0000008100,NO_ACTION,s1__1,1781452053.440000
507,UL,0000008180,NO_ACTION,s1__1,1781452053.450000
508,UL,0000008200,NO_ACTION,s1__1,1781452053.450000
509,UL,0000008280,NO_ACTION,s1__1,1781452053.465000
510,UL,0000008300,NO_ACTION,s1__1,1781452053.475000
511,UL,0000008380,NO_ACTION,s1__1,1781452053.485000
512,UL,0000008400,NO_ACTION,s1__1,1781452053.485000
513,UL,0000008480,NO_ACTION,s1__1,1781452053.500000
514,UL,0000008500,NO_ACTION,s1__1,1781452053.510000
515,UL,0000008580,NO_ACTION,s1__1,1781452053.520000
516,UL,0000008600,NO_ACTION,s1__1,1781452053.520000
517,UL,0000008680,NO_ACTION,s1__1,1781452053.535000
518,RDDA,0000008000,SEND_RA2,s1__2,1781452053.545000
519,R13,0000008100,RDD,s1__3pRA3,1781452079.225000
520,R13,0000008180,RDD,s1__3pRA3,1781452079.235000
521,R13,0000008200,RDD,s1__3pRA3,1781452079.245000
522,R13,0000008280,RDD,s1__3pRA3,1781452079.255000
523,R13,0000008300,RDD,s1__3pRA3,1781452079.265000
524,R13,0000008380,RDD,s1__3pRA3,1781452079.275000
525,R23,0000008000,SEND_RA3,s1__3,1781452079.285000
526,RDDA,0000008100,SEND_RA3,s1__3,1781452079.485000
527,RDDA,0000008180,SEND_RA3,s1__3,1781452079.565000
528,RDDA,0000008200,SEND_RA3,s1__3,1781452079.610000
529,RDDA,0000008280,SEND_RA3,s1__3,1781452079.675000
530,RDDA,0000008300,SEND_RA3,s1__3,1781452079.720000
531,RDDA,0000008380,SEND_RA3,s1__3,1781452079.785000
532,V31d,0000008100,WDD,s1__1_WDDA,1781452080.025000
533,V31d,0000008180,WDD,s1__1_WDDA,1781452080.110000
534,V31d,0000008200,WDD,s1__1_WDDA,1781452080.140000
535,V31d,0000008280,WDD,s1__1_WDDA,1781452080.220000
536,V31d,0000008300,WDD,s1__1_WDDA,1781452080.260000
537,R12,0000008080,RDD,s1__2pRA2,1781452080.295000
538,V31d,0000008380,WDD,s1__1_WDDA,1781452080.335000
539,LCI,0000008000,SEND_F31,s1pCI__1_A31d,1781452080.555000
540,A31d,0000008000,WDD,s1pCI__1_WDDA,1781452081.045000
541,WDDA,0000008000,SEND_LCIA,s1pUL__1,1781452081.310000
542,LCI,0000008180,SEND_LCIA,s1pUL__1,1781452081.515000
543,LCI,0000008280,SEND_LCIA,s1pUL__1,1781452081.525000
544,LCI,0000008100,SEND_LCIA,s1pUL__1,1781452081.525000
545,LCI,0000008200,SEND_LCIA,s1pUL__1,1781452081.540000
546,UL,0000008000,NO_ACTION,s1__1,1781452081.550000
547,LCI,0000008380,SEND_LCIA,s1pUL__1,1781452081.560000
548,LCI,0000008300,SEND_LCIA,s1pUL__1,1781452081.570000
549,UL,0000008100,NO_ACTION,s1__1,1781452081.740000
550,UL,0000008180,NO_ACTION,s1__1,1781452081.750000
551,UL,0000008200,NO_ACTION,s1__1,1781452081.750000
552,UL,0000008280,NO_ACTION,s1__1,1781452081.765000
553,UL,0000008300,NO_ACTION,s1__1,1781452081.775000
554,UL,0000008380,NO_ACTION,s1__1,1781452081.785000
555,RDDA,0000008080,SEND_RA2,s1__2,1781452081.820000
556,R12,0000000080,RDD,s1__2pRA2,1781452143.600000
557,LCI,0000000000,SEND_F21,s1pCI__1_A21,1781452143.855000
558,A21,0000000000,SEND_LCIA,s1pUL__1,1781452144.305000
559,UL,0000000000,NO_ACTION,s1__1,1781452144.525000
560,RDDA,0000000080,SEND_RA2,s1__2,1781452144.555000
561,R12,0000000000,RDD,s1__2pRA2,1781452146.625000
562,LCI,0000000100,SEND_LCIA,s1pUL__1,1781452146.865000
563,LCI,0000000080,SEND_F21,s1pCI__1_A21,1781452147.085000
564,UL,0000000100,NO_ACTION,s1__1,1781452147.085000
565,A21,0000000080,SEND_LCIA,s1pUL__1,1781452147.540000
566,UL,0000000080,NO_ACTION,s1__1,1781452147.770000
567,RDDA,0000000000,SEND_RA2,s1__2,1781452147.800000
568,R12,0000000080,RDD,s1__2pRA2,1781452149.755000
569,LCI,0000000100,SEND_LCIA,s1pUL__1,1781452150.000000
570,UL,0000000100,NO_ACTION,s1__1,1781452150.220000
571,LCI,0000000000,SEND_F21,s1pCI__1_A21,1781452150.230000
572,A21,0000000000,SEND_LCIA,s1pUL__1,1781452150.680000
573,UL,0000000000,NO_ACTION,s1__1,1781452150.900000
574,RDDA,0000000080,SEND_RA2,s1__2,1781452150.930000
575,R12,0000000000,RDD,s1__2pRA2,1781452152.900000
576,LCI,0000000100,SEND_LCIA,s1pUL__1,1781452153.140000
577,LCI,0000000080,SEND_F21,s1pCI__1_A21,1781452153.360000
578,UL,0000000100,NO_ACTION,s1__1,1781452153.360000
579,A21,0000000080,SEND_LCIA,s1pUL__1,1781452153.805000
580,UL,0000000080,NO_ACTION,s1__1,1781452154.035000
581,RDDA,0000000000,SEND_RA2,s1__2,1781452154.065000
582,R12,0000000080,RDD,s1__2pRA2,1781452156.005000
583,LCI,0000000100,SEND_LCIA,s1pUL__1,1781452156.250000
584,UL,0000000100,NO_ACTION,s1__1,1781452156.470000
585,LCI,0000000000,SEND_F21,s1pCI__1_A21,1781452156.480000
586,A21,0000000000,SEND_LCIA,s1pUL__1,1781452156.930000
587,UL,0000000000,NO_ACTION,s1__1,1781452157.150000
588,RDDA,0000000080,SEND_RA2,s1__2,1781452157.180000
589,R12,0000000000,RDD,s1__2pRA2,1781452159.140000
590,LCI,0000000100,SEND_LCIA,s1pUL__1,1781452159.380000
591,LCI,0000000080,SEND_F21,s1pCI__1_A21,1781452159.600000
592,UL,0000000100,NO_ACTION,s1__1,1781452159.600000
593,A21,0000000080,SEND_LCIA,s1pUL__1,1781452160.050000
