index,raw,opcode,message,timestamp,aliased_addr,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
398,0x2804300000008100,5,ECI_CMD_MREQ_RLDX,33096990941,8100,,0,,,1,,,1,0,8100,7,,,0,4,0,
399,0x2844300000008400,5,ECI_CMD_MREQ_RLDX,33096990943,8400,,0,,,1,,,17,0,8400,7,,,0,4,0,
400,0x2804300000008300,5,ECI_CMD_MREQ_RLDX,33096990945,8300,,0,,,1,,,1,0,8300,7,,,0,4,0,
401,0x2840300000008600,5,ECI_CMD_MREQ_RLDX,33096990947,8600,,0,,,1,,,16,0,8600,7,,,0,4,0,
402,0x2840300000008500,5,ECI_CMD_MREQ_RLDX,33096990949,8500,,0,,,1,,,16,0,8500,7,,,0,4,0,
403,0x5007c00000008200,10,ECI_CMD_MRSP_PEMD,33096991025,8200,0,15,0,,,0,,1,4,8200,5,0,0,,0,,0
404,0x5007c00000008100,10,ECI_CMD_MRSP_PEMD,33096991047,8100,0,15,0,,,0,,1,4,8100,5,0,0,,0,,0
405,0x5047c00000008400,10,ECI_CMD_MRSP_PEMD,33096991069,8400,0,15,0,,,0,,17,4,8400,5,0,0,,0,,0
406,0x5007c00000008300,10,ECI_CMD_MRSP_PEMD,33096991091,8300,0,15,0,,,0,,1,4,8300,5,0,0,,0,,0
407,0x5043c00000008600,10,ECI_CMD_MRSP_PEMD,33096991113,8600,0,15,0,,,0,,16,4,8600,5,0,0,,0,,0
408,0x5043c00000008500,10,ECI_CMD_MRSP_PEMD,33096991135,8500,0,15,0,,,0,,16,4,8500,5,0,0,,0,,0
409,0x0003e00000008000,0,ECI_CMD_MREQ_RLDD,33096991213,8000,,15,,,1,,,0,0,8000,7,,,0,0,0,
410,0x580be40000008100,11,ECI_CMD_MFWD_FEVX_EH,33096991484,8100,,15,,2,1,,1,,5,8100,9,0,,0,0,,
411,0x5813e40000008200,11,ECI_CMD_MFWD_FEVX_EH,33096991486,8200,,15,,4,1,,1,,5,8200,9,0,,0,0,,
412,0x581be40000008300,11,ECI_CMD_MFWD_FEVX_EH,33096991488,8300,,15,,6,1,,1,,5,8300,9,0,,0,0,,
413,0x5823e40000008400,11,ECI_CMD_MFWD_FEVX_EH,33096991490,8400,,15,,8,1,,1,,5,8400,9,0,,0,0,,
414,0x582be40000008500,11,ECI_CMD_MFWD_FEVX_EH,33096991492,8500,,15,,10,1,,1,,5,8500,9,0,,0,0,,
415,0x5833e40000008600,11,ECI_CMD_MFWD_FEVX_EH,33096991494,8600,,15,,12,1,,1,,5,8600,9,0,,0,0,,
416,0x180be00000008100,3,ECI_CMD_MRSP_VICDHI,33096991563,8100,,15,,2,1,,,,2,8100,5,,,,0,,0
417,0x1813e00000008200,3,ECI_CMD_MRSP_VICDHI,33096991567,8200,,15,,4,1,,,,2,8200,5,,,,0,,0
418,0x181be00000008300,3,ECI_CMD_MRSP_VICDHI,33096991571,8300,,15,,6,1,,,,2,8300,5,,,,0,,0
419,0x1823e00000008400,3,ECI_CMD_MRSP_VICDHI,33096991575,8400,,15,,8,1,,,,2,8400,5,,,,0,,0
420,0x182be00000008500,3,ECI_CMD_MRSP_VICDHI,33096991579,8500,,15,,10,1,,,,2,8500,5,,,,0,,0
421,0x1833e00000008600,3,ECI_CMD_MRSP_VICDHI,33096991583,8600,,15,,12,1,,,,2,8600,5,,,,0,,0
422,0x4803c00000008000,9,ECI_CMD_MRSP_PSHA,33096991838,8000,0,15,0,,,0,,0,4,8000,5,0,0,,0,,0
423,0x0003e00000000000,0,ECI_CMD_MREQ_RLDD,33096991945,0,,15,,,1,,,0,0,0,7,,,0,0,0,
424,0x4803c00000000000,9,ECI_CMD_MRSP_PSHA,33096992206,0,0,15,0,,,0,,0,4,0,5,0,0,,0,,0
425,0x7003e40000000000,14,ECI_CMD_MFWD_SINV_H,33096992695,0,,15,,0,1,,1,,5,0,9,0,,0,0,,
426,0x2000200000000000,4,ECI_CMD_MRSP_HAKD,33096992762,0,,0,,0,1,,,,1,0,11,,,,0,,0
427,0x0003e00000000000,0,ECI_CMD_MREQ_RLDD,33096993217,0,,15,,,1,,,0,0,0,7,,,0,0,0,
428,0x4803c00000000000,9,ECI_CMD_MRSP_PSHA,33096993479,0,0,15,0,,,0,,0,4,0,5,0,0,,0,,0
429,0x7003e40000000000,14,ECI_CMD_MFWD_SINV_H,33096994036,0,,15,,0,1,,1,,5,0,9,0,,0,0,,
430,0x2000200000000000,4,ECI_CMD_MRSP_HAKD,33096994104,0,,0,,0,1,,,,1,0,11,,,,0,,0
431,0x3803e00000008000,7,ECI_CMD_MREQ_RC2D_S,33096996564,8000,,15,,,1,,,0,0,8000,7,,,0,0,0,
432,0x2804300000008100,5,ECI_CMD_MREQ_RLDX,33096996566,8100,,0,,,1,,,1,0,8100,7,,,0,4,0,
433,0x2800300000008200,5,ECI_CMD_MREQ_RLDX,33096996568,8200,,0,,,1,,,0,0,8200,7,,,0,4,0,
434,0x2804300000008300,5,ECI_CMD_MREQ_RLDX,33096996570,8300,,0,,,1,,,1,0,8300,7,,,0,4,0,
435,0x5000000000008000,10,ECI_CMD_MRSP_PEMD,33096996588,8000,0,0,0,,,0,,0,3,8000,11,0,0,,0,,0
436,0x5007c00000008100,10,ECI_CMD_MRSP_PEMD,33096996651,8100,0,15,0,,,0,,1,4,8100,5,0,0,,0,,0
437,0x5003c00000008200,10,ECI_CMD_MRSP_PEMD,33096996673,8200,0,15,0,,,0,,0,4,8200,5,0,0,,0,,0
438,0x5007c00000008300,10,ECI_CMD_MRSP_PEMD,33096996695,8300,0,15,0,,,0,,1,4,8300,5,0,0,,0,,0
439,0x5803e40000008000,11,ECI_CMD_MFWD_FEVX_EH,33096996841,8000,,15,,0,1,,1,,5,8000,9,0,,0,0,,
440,0x1803e00000008000,3,ECI_CMD_MRSP_VICDHI,33096996920,8000,,15,,0,1,,,,2,8000,5,,,,0,,0
441,0x580be40000008100,11,ECI_CMD_MFWD_FEVX_EH,33096997044,8100,,15,,2,1,,1,,5,8100,9,0,,0,0,,
442,0x5813e40000008200,11,ECI_CMD_MFWD_FEVX_EH,33096997046,8200,,15,,4,1,,1,,5,8200,9,0,,0,0,,
443,0x581be40000008300,11,ECI_CMD_MFWD_FEVX_EH,33096997048,8300,,15,,6,1,,1,,5,8300,9,0,,0,0,,
444,0x180be00000008100,3,ECI_CMD_MRSP_VICDHI,33096997123,8100,,15,,2,1,,,,2,8100,5,,,,0,,0
445,0x1813e00000008200,3,ECI_CMD_MRSP_VICDHI,33096997127,8200,,15,,4,1,,,,2,8200,5,,,,0,,0
