index,raw,opcode,message,timestamp,aliased_addr,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
398,0x2804300000008100,5,ECI_CMD_MREQ_RLDX,53330112340,8100,,0,,,1,,,1,0,8100,7,,,0,4,0,
399,0x2844300000008400,5,ECI_CMD_MREQ_RLDX,53330112342,8400,,0,,,1,,,17,0,8400,7,,,0,4,0,
400,0x2804300000008300,5,ECI_CMD_MREQ_RLDX,53330112344,8300,,0,,,1,,,1,0,8300,7,,,0,4,0,
401,0x2840300000008600,5,ECI_CMD_MREQ_RLDX,53330112346,8600,,0,,,1,,,16,0,8600,7,,,0,4,0,
402,0x2840300000008500,5,ECI_CMD_MREQ_RLDX,53330112348,8500,,0,,,1,,,16,0,8500,7,,,0,4,0,
403,0x5007c00000008200,10,ECI_CMD_MRSP_PEMD,53330112524,8200,0,15,0,,,0,,1,4,8200,5,0,0,,0,,0
404,0x5007c00000008100,10,ECI_CMD_MRSP_PEMD,53330112559,8100,0,15,0,,,0,,1,4,8100,5,0,0,,0,,0
405,0x5047c00000008400,10,ECI_CMD_MRSP_PEMD,53330112594,8400,0,15,0,,,0,,17,4,8400,5,0,0,,0,,0
406,0x5007c00000008300,10,ECI_CMD_MRSP_PEMD,53330112630,8300,0,15,0,,,0,,1,4,8300,5,0,0,,0,,0
407,0x5043c00000008600,10,ECI_CMD_MRSP_PEMD,53330112665,8600,0,15,0,,,0,,16,4,8600,5,0,0,,0,,0
408,0x5043c00000008500,10,ECI_CMD_MRSP_PEMD,53330112701,8500,0,15,0,,,0,,16,4,8500,5,0,0,,0,,0
409,0x0003e00000008000,0,ECI_CMD_MREQ_RLDD,53330112780,8000,,15,,,1,,,0,0,8000,7,,,0,0,0,
410,0x580be40000008100,11,ECI_CMD_MFWD_FEVX_EH,53330113259,8100,,15,,2,1,,1,,5,8100,9,0,,0,0,,
411,0x5813e40000008200,11,ECI_CMD_MFWD_FEVX_EH,53330113261,8200,,15,,4,1,,1,,5,8200,9,0,,0,0,,
412,0x581be40000008300,11,ECI_CMD_MFWD_FEVX_EH,53330113265,8300,,15,,6,1,,1,,5,8300,9,0,,0,0,,
413,0x5823e40000008400,11,ECI_CMD_MFWD_FEVX_EH,53330113267,8400,,15,,8,1,,1,,5,8400,9,0,,0,0,,
414,0x582be40000008500,11,ECI_CMD_MFWD_FEVX_EH,53330113271,8500,,15,,10,1,,1,,5,8500,9,0,,0,0,,
415,0x5833e40000008600,11,ECI_CMD_MFWD_FEVX_EH,53330113273,8600,,15,,12,1,,1,,5,8600,9,0,,0,0,,
416,0x180be00000008100,3,ECI_CMD_MRSP_VICDHI,53330113336,8100,,15,,2,1,,,,2,8100,5,,,,0,,0
417,0x1813e00000008200,3,ECI_CMD_MRSP_VICDHI,53330113338,8200,,15,,4,1,,,,2,8200,5,,,,0,,0
418,0x181be00000008300,3,ECI_CMD_MRSP_VICDHI,53330113343,8300,,15,,6,1,,,,2,8300,5,,,,0,,0
419,0x1823e00000008400,3,ECI_CMD_MRSP_VICDHI,53330113345,8400,,15,,8,1,,,,2,8400,5,,,,0,,0
420,0x182be00000008500,3,ECI_CMD_MRSP_VICDHI,53330113350,8500,,15,,10,1,,,,2,8500,5,,,,0,,0
421,0x1833e00000008600,3,ECI_CMD_MRSP_VICDHI,53330113352,8600,,15,,12,1,,,,2,8600,5,,,,0,,0
422,0x4803c00000008000,9,ECI_CMD_MRSP_PSHA,53330113834,8000,0,15,0,,,0,,0,4,8000,5,0,0,,0,,0
