Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,1,0000000000000000,00,00,0,0000000000000000,1,0
17,17,0,5003c00000008280,11,04,4,0000001036225af0,1,0
18,18,0,5003c00000008380,11,04,4,0000001036225b14,1,0
19,19,0,0007e00000008180,11,04,2,0000001036225b1c,1,0
20,20,0,5043c00000008480,11,04,4,0000001036225b37,1,0
21,21,0,0007e00000008280,11,04,2,0000001036225b40,1,0
22,22,0,5043c00000008580,11,04,4,0000001036225b5a,1,0
23,23,0,0007e00000008380,11,04,2,0000001036225b62,1,0
24,24,0,5047c00000008680,11,04,4,0000001036225b7e,1,0
25,25,0,0007e00000008480,11,04,2,0000001036225b87,1,0
26,26,0,0007e00000008580,11,04,2,0000001036225baa,1,0
27,27,0,0007e00000008680,11,04,2,0000001036225bcf,1,0
28,28,0,5807e40000008080,01,08,5,0000001036225c68,1,0
29,29,0,1807e00000008080,11,04,2,0000001036225cb5,1,0
30,30,0,2800300000008180,01,06,0,0000001036226140,1,0
31,31,0,2800300000008280,01,06,0,0000001036226143,1,0
32,32,0,2800300000008380,01,06,0,0000001036226146,1,0
33,33,0,2844300000008480,01,06,0,0000001036226149,1,0
34,34,0,2840300000008580,01,06,0,000000103622614c,1,0
35,35,0,2843f00000008680,01,06,0,000000103622614f,1,0
36,36,0,5003c00000008180,11,04,4,00000010362261ed,1,0
37,37,0,5003c00000008280,11,04,4,0000001036226210,1,0
38,38,0,5003c00000008380,11,04,4,0000001036226234,1,0
39,39,0,0007e00000008180,11,04,2,000000103622623d,1,0
40,40,0,5047c00000008480,11,04,4,0000001036226257,1,0
41,41,0,0007e00000008280,11,04,2,0000001036226260,1,0
42,42,0,5043c00000008580,11,04,4,000000103622627a,1,0
43,43,0,0007e00000008380,11,04,2,0000001036226282,1,0
44,44,0,5043c00000008680,11,04,4,000000103622629e,1,0
45,45,0,0007e00000008480,11,04,2,00000010362262a6,1,0
46,46,0,0007e00000008580,11,04,2,00000010362262ca,1,0
47,47,0,0007e00000008680,11,04,2,00000010362262f0,1,0
48,48,0,0007e00000008080,01,06,0,00000010362262fa,1,0
49,49,0,4807c00000008080,11,04,4,0000001036226550,1,0
50,50,0,3807e00000008080,01,06,0,00000010362267dc,1,0
51,51,0,2800300000008180,01,06,0,00000010362267f5,1,0
52,52,0,2800300000008280,01,06,0,00000010362267f8,1,0
53,53,0,2800300000008380,01,06,0,00000010362267fb,1,0
54,54,0,2840300000008480,01,06,0,00000010362267fe,1,0
55,55,0,2844300000008580,01,06,0,0000001036226801,1,0
56,56,0,2847f00000008680,01,06,0,0000001036226804,1,0
57,57,0,5004000000008080,01,0a,3,000000103622682a,1,0
58,58,0,5003c00000008180,11,04,4,00000010362268b4,1,0
59,59,0,5003c00000008280,11,04,4,00000010362268d7,1,0
60,60,0,5003c00000008380,11,04,4,00000010362268fb,1,0
61,61,0,0007e00000008180,11,04,2,0000001036226904,1,0
62,62,0,5043c00000008480,11,04,4,000000103622691e,1,0
63,63,0,0007e00000008280,11,04,2,0000001036226924,1,0
64,64,0,5047c00000008580,11,04,4,0000001036226942,1,0
65,65,0,0007e00000008380,11,04,2,000000103622694a,1,0
66,66,0,5047c00000008680,11,04,4,0000001036226965,1,0
67,67,0,0007e00000008480,11,04,2,000000103622696e,1,0
68,68,0,0007e00000008580,11,04,2,0000001036226992,1,0
69,69,0,0007e00000008680,11,04,2,00000010362269b6,1,0
70,70,0,3803e00000008080,01,06,0,000000103621c00b,1,0
71,71,0,2800300000008180,01,06,0,000000103621c021,1,0
72,72,0,2800300000008280,01,06,0,000000103621c024,1,0
73,73,0,2800300000008380,01,06,0,000000103621c027,1,0
74,74,0,2844300000008480,01,06,0,000000103621c02a,1,0
75,75,0,2844300000008580,01,06,0,000000103621c02d,1,0
76,76,0,2843f00000008680,01,06,0,000000103621c030,1,0
77,77,0,5000000000008080,01,0a,3,000000103621c05a,1,0
78,78,0,5003c00000008180,11,04,4,000000103621c0e0,1,0
79,79,0,5003c00000008280,11,04,4,000000103621c103,1,0
80,80,0,5003c00000008380,11,04,4,000000103621c126,1,0
81,81,0,0007e00000008180,11,04,2,000000103621c130,1,0
82,82,0,5047c00000008480,11,04,4,000000103621c14a,1,0
83,83,0,0007e00000008280,11,04,2,000000103621c150,1,0
84,84,0,5047c00000008580,11,04,4,000000103621c16d,1,0
85,85,0,0007e00000008380,11,04,2,000000103621c175,1,0
86,86,0,5043c00000008680,11,04,4,000000103621c191,1,0
87,87,0,0007e00000008480,11,04,2,000000103621c19a,1,0
88,88,0,0007e00000008580,11,04,2,000000103621c1bd,1,0
89,89,0,0007e00000008680,11,04,2,000000103621c1e2,1,0
90,90,0,5807e40000008080,01,08,5,000000103621c27b,1,0
91,91,0,1807e00000008080,11,04,2,000000103621c2c8,1,0
92,92,0,2804300000008180,01,06,0,000000103621c6d6,1,0
93,93,0,2804300000008280,01,06,0,000000103621c6d9,1,0
94,94,0,2800300000008380,01,06,0,000000103621c6dc,1,0
95,95,0,2840300000008480,01,06,0,000000103621c6df,1,0
96,96,0,2840300000008580,01,06,0,000000103621c6e2,1,0
97,97,0,2843f00000008680,01,06,0,000000103621c6e5,1,0
98,98,0,5007c00000008180,11,04,4,000000103621c784,1,0
99,99,0,5007c00000008280,11,04,4,000000103621c7a7,1,0
100,100,0,5003c00000008380,11,04,4,000000103621c7ca,1,0
101,101,0,0007e00000008180,11,04,2,000000103621c7d4,1,0
102,102,0,5043c00000008480,11,04,4,000000103621c7ee,1,0
103,103,0,0007e00000008280,11,04,2,000000103621c7f6,1,0
104,104,0,5043c00000008580,11,04,4,000000103621c811,1,0
105,105,0,0007e00000008380,11,04,2,000000103621c818,1,0
106,106,0,5043c00000008680,11,04,4,000000103621c835,1,0
107,107,0,0007e00000008480,11,04,2,000000103621c83e,1,0
108,108,0,0007e00000008580,11,04,2,000000103621c861,1,0
109,109,0,0007e00000008680,11,04,2,000000103621c886,1,0
110,110,0,0007e00000008080,01,06,0,000000103621c891,1,0
111,111,0,4807c00000008080,11,04,4,000000103621cae8,1,0
112,112,0,3803e00000008080,01,06,0,000000103621cd75,1,0
113,113,0,2800300000008180,01,06,0,000000103621cd8c,1,0
114,114,0,2800300000008280,01,06,0,000000103621cd8f,1,0
115,115,0,2800300000008380,01,06,0,000000103621cd92,1,0
116,116,0,2840300000008480,01,06,0,000000103621cd95,1,0
117,117,0,2840300000008580,01,06,0,000000103621cd98,1,0
118,118,0,2843f00000008680,01,06,0,000000103621cd9b,1,0
119,119,0,5000000000008080,01,0a,3,000000103621cdc4,1,0
120,120,0,5003c00000008180,11,04,4,000000103621ce4b,1,0
121,121,0,5003c00000008280,11,04,4,000000103621ce6e,1,0
122,122,0,5003c00000008380,11,04,4,000000103621ce92,1,0
123,123,0,0007e00000008180,11,04,2,000000103621ce9a,1,0
124,124,0,5043c00000008480,11,04,4,000000103621ceb5,1,0
125,125,0,0007e00000008280,11,04,2,000000103621cebc,1,0
126,126,0,5043c00000008580,11,04,4,000000103621ced9,1,0
127,127,0,0007e00000008380,11,04,2,000000103621cee2,1,0
128,128,0,5043c00000008680,11,04,4,000000103621cefc,1,0
129,129,0,0007e00000008480,11,04,2,000000103621cf05,1,0
130,130,0,0007e00000008580,11,04,2,000000103621cf28,1,0
131,131,0,0007e00000008680,11,04,2,000000103621cf4d,1,0
132,132,0,5807e40000008080,01,08,5,000000103621cfed,1,0
133,133,0,1807e00000008080,11,04,2,000000103621d03a,1,0
134,134,0,7007e40000000080,01,08,5,000000103621d2b8,1,0
135,135,0,2004200000000080,01,0a,1,000000103621d2fc,1,0
136,136,0,2800300000008180,01,06,0,000000103621d55e,1,0
137,137,0,2800300000008280,01,06,0,000000103621d561,1,0
138,138,0,2800300000008380,01,06,0,000000103621d564,1,0
139,139,0,2844300000008480,01,06,0,000000103621d567,1,0
140,140,0,2844300000008580,01,06,0,000000103621d56a,1,0
141,141,0,2847f00000008680,01,06,0,000000103621d56d,1,0
142,142,0,5003c00000008180,11,04,4,000000103621d60a,1,0
