index,dcs_trace.event.req,dcs_trace.event.cli,dcs_trace.event.action,dcs_trace.event.state,timestamp
932,RDDA,0000008100,SEND_RA3,s1__3,43211356263
933,RDDA,0000008180,SEND_RA3,s1__3,43211356278
934,RDDA,0000008200,SEND_RA3,s1__3,43211356285
935,RDDA,0000008280,SEND_RA3,s1__3,43211356300
936,RDDA,0000008300,SEND_RA3,s1__3,43211356307
937,RDDA,0000008380,SEND_RA3,s1__3,43211356322
938,RDDA,0000008400,SEND_RA3,s1__3,43211356329
939,RDDA,0000008480,SEND_RA3,s1__3,43211356344
940,RDDA,0000008500,SEND_RA3,s1__3,43211356351
941,RDDA,0000008580,SEND_RA3,s1__3,43211356366
942,V31d,0000008100,WDD,s1__1_WDDA,43211356372
943,RDDA,0000008600,SEND_RA3,s1__3,43211356374
944,V31d,0000008180,WDD,s1__1_WDDA,43211356385
945,RDDA,0000008680,SEND_RA3,s1__3,43211356388
946,V31d,0000008200,WDD,s1__1_WDDA,43211356394
947,V31d,0000008280,WDD,s1__1_WDDA,43211356408
948,V31d,0000008300,WDD,s1__1_WDDA,43211356416
949,V31d,0000008380,WDD,s1__1_WDDA,43211356429
950,V31d,0000008400,WDD,s1__1_WDDA,43211356439
951,V31d,0000008480,WDD,s1__1_WDDA,43211356451
952,V31d,0000008500,WDD,s1__1_WDDA,43211356458
953,V31d,0000008580,WDD,s1__1_WDDA,43211356474
954,V31d,0000008600,WDD,s1__1_WDDA,43211356482
955,R12,0000008000,RDD,s1__2pRA2,43211356493
956,V31d,0000008680,WDD,s1__1_WDDA,43211356497
957,LCI,0000008080,SEND_F31,s1pCI__1_A31d,43211356544
958,A31d,0000008080,WDD,s1pCI__1_WDDA,43211356643
959,WDDA,0000008080,SEND_LCIA,s1pUL__1,43211356698
960,LCI,0000008100,SEND_LCIA,s1pUL__1,43211356742
961,LCI,0000008180,SEND_LCIA,s1pUL__1,43211356744
962,LCI,0000008200,SEND_LCIA,s1pUL__1,43211356744
963,UL,0000008080,NO_ACTION,s1__1,43211356747
