index,raw,opcode,message,timestamp,aliased_addr,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb10,xb1_2,xb2,xb3,xb4,xb5
297,0x5803e40000008000,11,ECI_CMD_MFWD_FEVX_EH,69627657162,8000,,15,,0,1,,1,,5,8000,9,0,,,0,0,,
298,0x1803e00000008000,3,ECI_CMD_MRSP_VICDHI,69627657238,8000,,15,,0,1,,,,2,8000,5,,,,,0,,0
299,0x2800300000008100,5,ECI_CMD_MREQ_RLDX,69627658273,8100,,0,,,1,,,0,0,8100,7,,,,0,4,0,
300,0x2800300000008200,5,ECI_CMD_MREQ_RLDX,69627658276,8200,,0,,,1,,,0,0,8200,7,,,,0,4,0,
301,0x2800300000008300,5,ECI_CMD_MREQ_RLDX,69627658279,8300,,0,,,1,,,0,0,8300,7,,,,0,4,0,
302,0x2840300000008400,5,ECI_CMD_MREQ_RLDX,69627658282,8400,,0,,,1,,,16,0,8400,7,,,,0,4,0,
303,0x2840300000008500,5,ECI_CMD_MREQ_RLDX,69627658285,8500,,0,,,1,,,16,0,8500,7,,,,0,4,0,
304,0x2840300000008600,5,ECI_CMD_MREQ_RLDX,69627658288,8600,,0,,,1,,,16,0,8600,7,,,,0,4,0,
305,0x5003c00000008100,10,ECI_CMD_MRSP_PEMD,69627658442,8100,0,15,0,,,0,,0,4,8100,5,0,,0,,0,,0
306,0x5003c00000008200,10,ECI_CMD_MRSP_PEMD,69627658478,8200,0,15,0,,,0,,0,4,8200,5,0,,0,,0,,0
307,0x5003c00000008300,10,ECI_CMD_MRSP_PEMD,69627658513,8300,0,15,0,,,0,,0,4,8300,5,0,,0,,0,,0
308,0x0007e00000008100,0,ECI_CMD_MRSP_VICD,69627658522,8100,,15,,,1,,,,2,8100,5,,1,,,,,0
309,0x5043c00000008400,10,ECI_CMD_MRSP_PEMD,69627658549,8400,0,15,0,,,0,,16,4,8400,5,0,,0,,0,,0
310,0x0007e00000008200,0,ECI_CMD_MRSP_VICD,69627658558,8200,,15,,,1,,,,2,8200,5,,1,,,,,0
311,0x5043c00000008500,10,ECI_CMD_MRSP_PEMD,69627658584,8500,0,15,0,,,0,,16,4,8500,5,0,,0,,0,,0
312,0x0007e00000008300,0,ECI_CMD_MRSP_VICD,69627658592,8300,,15,,,1,,,,2,8300,5,,1,,,,,0
313,0x5043c00000008600,10,ECI_CMD_MRSP_PEMD,69627658620,8600,0,15,0,,,0,,16,4,8600,5,0,,0,,0,,0
314,0x0007e00000008400,0,ECI_CMD_MRSP_VICD,69627658628,8400,,15,,,1,,,,2,8400,5,,1,,,,,0
315,0x0007e00000008500,0,ECI_CMD_MRSP_VICD,69627658662,8500,,15,,,1,,,,2,8500,5,,1,,,,,0
316,0x0007e00000008600,0,ECI_CMD_MRSP_VICD,69627658700,8600,,15,,,1,,,,2,8600,5,,1,,,,,0
317,0x0007e00000008000,0,ECI_CMD_MREQ_RLDD,69627658720,8000,,15,,,1,,,1,0,8000,7,,,,0,0,0,
318,0x4807c00000008000,9,ECI_CMD_MRSP_PSHA,69627659313,8000,0,15,0,,,0,,1,4,8000,5,0,,0,,0,,0
319,0x3807e00000008000,7,ECI_CMD_MREQ_RC2D_S,69627659970,8000,,15,,,1,,,1,0,8000,7,,,,0,0,0,
320,0x2804300000008100,5,ECI_CMD_MREQ_RLDX,69627659990,8100,,0,,,1,,,1,0,8100,7,,,,0,4,0,
321,0x2804300000008200,5,ECI_CMD_MREQ_RLDX,69627659993,8200,,0,,,1,,,1,0,8200,7,,,,0,4,0,
322,0x2800300000008300,5,ECI_CMD_MREQ_RLDX,69627659996,8300,,0,,,1,,,0,0,8300,7,,,,0,4,0,
323,0x2840300000008400,5,ECI_CMD_MREQ_RLDX,69627659999,8400,,0,,,1,,,16,0,8400,7,,,,0,4,0,
324,0x2840300000008500,5,ECI_CMD_MREQ_RLDX,69627660002,8500,,0,,,1,,,16,0,8500,7,,,,0,4,0,
325,0x2840300000008600,5,ECI_CMD_MREQ_RLDX,69627660005,8600,,0,,,1,,,16,0,8600,7,,,,0,4,0,
326,0x5004000000008000,10,ECI_CMD_MRSP_PEMD,69627660051,8000,0,0,0,,,0,,1,3,8000,11,0,,0,,0,,0
327,0x5007c00000008100,10,ECI_CMD_MRSP_PEMD,69627660178,8100,0,15,0,,,0,,1,4,8100,5,0,,0,,0,,0
328,0x5007c00000008200,10,ECI_CMD_MRSP_PEMD,69627660213,8200,0,15,0,,,0,,1,4,8200,5,0,,0,,0,,0
329,0x5003c00000008300,10,ECI_CMD_MRSP_PEMD,69627660249,8300,0,15,0,,,0,,0,4,8300,5,0,,0,,0,,0
330,0x0007e00000008100,0,ECI_CMD_MRSP_VICD,69627660258,8100,,15,,,1,,,,2,8100,5,,1,,,,,0
331,0x5043c00000008400,10,ECI_CMD_MRSP_PEMD,69627660284,8400,0,15,0,,,0,,16,4,8400,5,0,,0,,0,,0
332,0x0007e00000008200,0,ECI_CMD_MRSP_VICD,69627660292,8200,,15,,,1,,,,2,8200,5,,1,,,,,0
333,0x5043c00000008500,10,ECI_CMD_MRSP_PEMD,69627660320,8500,0,15,0,,,0,,16,4,8500,5,0,,0,,0,,0
334,0x0007e00000008300,0,ECI_CMD_MRSP_VICD,69627660328,8300,,15,,,1,,,,2,8300,5,,1,,,,,0
335,0x5043c00000008600,10,ECI_CMD_MRSP_PEMD,69627660355,8600,0,15,0,,,0,,16,4,8600,5,0,,0,,0,,0
336,0x0007e00000008400,0,ECI_CMD_MRSP_VICD,69627660362,8400,,15,,,1,,,,2,8400,5,,1,,,,,0
337,0x0007e00000008500,0,ECI_CMD_MRSP_VICD,69627660400,8500,,15,,,1,,,,2,8500,5,,1,,,,,0
338,0x0007e00000008600,0,ECI_CMD_MRSP_VICD,69627660434,8600,,15,,,1,,,,2,8600,5,,1,,,,,0
339,0x5803e40000008000,11,ECI_CMD_MFWD_FEVX_EH,69627660591,8000,,15,,0,1,,1,,5,8000,9,0,,,0,0,,
340,0x1803e00000008000,3,ECI_CMD_MRSP_VICDHI,69627660668,8000,,15,,0,1,,,,2,8000,5,,,,,0,,0
341,0x2804300000008100,5,ECI_CMD_MREQ_RLDX,69627661708,8100,,0,,,1,,,1,0,8100,7,,,,0,4,0,
342,0x2804300000008200,5,ECI_CMD_MREQ_RLDX,69627661711,8200,,0,,,1,,,1,0,8200,7,,,,0,4,0,
343,0x2800300000008300,5,ECI_CMD_MREQ_RLDX,69627661714,8300,,0,,,1,,,0,0,8300,7,,,,0,4,0,
344,0x2840300000008400,5,ECI_CMD_MREQ_RLDX,69627661717,8400,,0,,,1,,,16,0,8400,7,,,,0,4,0,
