Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_app/traceOut_event_data[63:0],i_app/dcs_even/i_trace_app/traceOut_event_size[4:0],i_app/dcs_even/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_app/traceOut_src[2:0],i_app/dcs_even/i_trace_app/traceOut_ts[63:0],i_app/dcs_even/i_trace_app/dump_1,i_app/dcs_even/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,0,0000000000000000,00,00,0,0000000000000000,0,0
17,17,0,0000000000000000,00,00,0,0000000000000000,0,0
18,18,0,0000000000000000,00,00,0,0000000000000000,0,0
19,19,0,0000000000000000,00,00,0,0000000000000000,0,0
20,20,0,0000000000000000,00,00,0,0000000000000000,0,0
21,21,0,0000000000000000,00,00,0,0000000000000000,0,0
22,22,0,0000000000000000,00,00,0,0000000000000000,0,0
23,23,0,0000000000000000,00,00,0,0000000000000000,0,0
24,24,0,0000000000000000,00,00,0,0000000000000000,0,0
25,25,0,0000000000000000,00,00,0,0000000000000000,0,0
26,26,0,0000000000000000,00,00,0,0000000000000000,0,0
27,27,0,0000000000000000,00,00,0,0000000000000000,0,0
28,28,0,0000000000000000,00,00,0,0000000000000000,0,0
29,29,0,0000000000000000,00,00,0,0000000000000000,0,0
30,30,0,0000000000000000,00,00,0,0000000000000000,0,0
31,31,0,0000000000000000,00,00,0,0000000000000000,0,0
32,32,1,0000000000000000,00,00,0,0000000000000000,1,0
33,33,0,0007e00000008080,01,06,0,0000000d859cc853,1,0
34,34,0,180fe00000008180,11,04,2,0000000d859cc9a6,1,0
35,35,0,1817e00000008280,11,04,2,0000000d859cc9aa,1,0
36,36,0,181fe00000008380,11,04,2,0000000d859cc9ae,1,0
37,37,0,1827e00000008480,11,04,2,0000000d859cc9b2,1,0
38,38,0,182fe00000008580,11,04,2,0000000d859cc9b6,1,0
39,39,0,1837e00000008680,11,04,2,0000000d859cc9ba,1,0
40,40,0,4807c00000008080,11,04,4,0000000d859ccab9,1,0
41,41,0,2004200000000080,01,0a,1,0000000d859ccbd7,1,0
42,42,0,3803e00000008080,01,06,0,0000000d859ccd43,1,0
43,43,0,2843f00000008680,01,06,0,0000000d859ccd4f,1,0
44,44,0,2800300000008180,01,06,0,0000000d859ccd51,1,0
45,45,0,2804300000008280,01,06,0,0000000d859ccd53,1,0
46,46,0,2804300000008380,01,06,0,0000000d859ccd55,1,0
47,47,0,2840300000008480,01,06,0,0000000d859ccd57,1,0
48,48,0,2844300000008580,01,06,0,0000000d859ccd59,1,0
49,49,0,5000000000008080,01,0a,3,0000000d859ccd5b,1,0
50,50,0,5043c00000008680,11,04,4,0000000d859ccda8,1,0
51,51,0,5003c00000008180,11,04,4,0000000d859ccdbe,1,0
52,52,0,5007c00000008280,11,04,4,0000000d859ccdd4,1,0
53,53,0,5007c00000008380,11,04,4,0000000d859ccdea,1,0
54,54,0,5043c00000008480,11,04,4,0000000d859cce00,1,0
55,55,0,5047c00000008580,11,04,4,0000000d859cce16,1,0
56,56,0,1807e00000008080,11,04,2,0000000d859ccef5,1,0
57,57,0,180fe00000008180,11,04,2,0000000d859ccfbb,1,0
58,58,0,1817e00000008280,11,04,2,0000000d859ccfbf,1,0
59,59,0,181fe00000008380,11,04,2,0000000d859ccfc3,1,0
60,60,0,1827e00000008480,11,04,2,0000000d859ccfc7,1,0
61,61,0,182fe00000008580,11,04,2,0000000d859ccfcb,1,0
62,62,0,1837e00000008680,11,04,2,0000000d859ccfcf,1,0
63,63,0,0007e00000000080,01,06,0,0000000d859cd132,1,0
64,64,0,4807c00000000080,11,04,4,0000000d859cd233,1,0
65,65,0,284bf00000008680,01,06,0,0000000d859cd35e,1,0
66,66,0,2804300000008180,01,06,0,0000000d859cd360,1,0
67,67,0,2804300000008280,01,06,0,0000000d859cd362,1,0
68,68,0,2804300000008380,01,06,0,0000000d859cd364,1,0
69,69,0,2840300000008480,01,06,0,0000000d859cd366,1,0
70,70,0,2840300000008580,01,06,0,0000000d859cd368,1,0
71,71,0,504bc00000008680,11,04,4,0000000d859cd3b8,1,0
72,72,0,5007c00000008180,11,04,4,0000000d859cd3ce,1,0
73,73,0,5007c00000008280,11,04,4,0000000d859cd3e4,1,0
74,74,0,5007c00000008380,11,04,4,0000000d859cd3fa,1,0
75,75,0,5043c00000008480,11,04,4,0000000d859cd410,1,0
76,76,0,5043c00000008580,11,04,4,0000000d859cd426,1,0
77,77,0,0003e00000008080,01,06,0,0000000d859cd474,1,0
78,78,0,180fe00000008180,11,04,2,0000000d859cd5c9,1,0
79,79,0,1817e00000008280,11,04,2,0000000d859cd5cd,1,0
80,80,0,181fe00000008380,11,04,2,0000000d859cd5d1,1,0
81,81,0,1827e00000008480,11,04,2,0000000d859cd5d5,1,0
82,82,0,182fe00000008580,11,04,2,0000000d859cd5d9,1,0
83,83,0,1837e00000008680,11,04,2,0000000d859cd5dd,1,0
84,84,0,4803c00000008080,11,04,4,0000000d859cd6dc,1,0
85,85,0,2004200000000080,01,0a,1,0000000d859cd7f6,1,0
86,86,0,3803e00000008080,01,06,0,0000000d859cd95f,1,0
87,87,0,2843f00000008680,01,06,0,0000000d859cd96c,1,0
88,88,0,2800300000008180,01,06,0,0000000d859cd96e,1,0
89,89,0,2804300000008280,01,06,0,0000000d859cd970,1,0
90,90,0,2804300000008380,01,06,0,0000000d859cd972,1,0
91,91,0,2844300000008480,01,06,0,0000000d859cd974,1,0
92,92,0,2840300000008580,01,06,0,0000000d859cd976,1,0
93,93,0,5000000000008080,01,0a,3,0000000d859cd978,1,0
94,94,0,5043c00000008680,11,04,4,0000000d859cd9c5,1,0
95,95,0,5003c00000008180,11,04,4,0000000d859cd9db,1,0
96,96,0,5007c00000008280,11,04,4,0000000d859cd9f1,1,0
97,97,0,5007c00000008380,11,04,4,0000000d859cda07,1,0
98,98,0,5047c00000008480,11,04,4,0000000d859cda1d,1,0
99,99,0,5043c00000008580,11,04,4,0000000d859cda33,1,0
100,100,0,1807e00000008080,11,04,2,0000000d859cdb11,1,0
101,101,0,180fe00000008180,11,04,2,0000000d859cdbd8,1,0
102,102,0,1817e00000008280,11,04,2,0000000d859cdbdc,1,0
103,103,0,181fe00000008380,11,04,2,0000000d859cdbe0,1,0
104,104,0,1827e00000008480,11,04,2,0000000d859cdbe4,1,0
105,105,0,182fe00000008580,11,04,2,0000000d859cdbe8,1,0
106,106,0,1837e00000008680,11,04,2,0000000d859cdbec,1,0
107,107,0,0007e00000000080,01,06,0,0000000d859cdd50,1,0
108,108,0,4807c00000000080,11,04,4,0000000d859cde51,1,0
109,109,0,2843f00000008680,01,06,0,0000000d859cdf7b,1,0
110,110,0,2804300000008180,01,06,0,0000000d859cdf7d,1,0
111,111,0,2800300000008280,01,06,0,0000000d859cdf7f,1,0
112,112,0,2800300000008380,01,06,0,0000000d859cdf81,1,0
113,113,0,2844300000008480,01,06,0,0000000d859cdf83,1,0
114,114,0,2840300000008580,01,06,0,0000000d859cdf85,1,0
115,115,0,5043c00000008680,11,04,4,0000000d859cdfc9,1,0
116,116,0,5007c00000008180,11,04,4,0000000d859cdfdf,1,0
117,117,0,5003c00000008280,11,04,4,0000000d859cdff5,1,0
118,118,0,5003c00000008380,11,04,4,0000000d859ce00b,1,0
119,119,0,5047c00000008480,11,04,4,0000000d859ce021,1,0
120,120,0,5043c00000008580,11,04,4,0000000d859ce037,1,0
121,121,0,0007e00000008080,01,06,0,0000000d859ce08c,1,0
122,122,0,180fe00000008180,11,04,2,0000000d859ce1df,1,0
123,123,0,1817e00000008280,11,04,2,0000000d859ce1e3,1,0
124,124,0,181fe00000008380,11,04,2,0000000d859ce1e7,1,0
125,125,0,1827e00000008480,11,04,2,0000000d859ce1eb,1,0
126,126,0,182fe00000008580,11,04,2,0000000d859ce1ef,1,0
127,127,0,1837e00000008680,11,04,2,0000000d859ce1f3,1,0
128,128,0,4807c00000008080,11,04,4,0000000d859ce2f2,1,0
129,129,0,2004200000000080,01,0a,1,0000000d859ce40d,1,0
130,130,0,3807e00000008080,01,06,0,0000000d859ce562,1,0
131,131,0,2847f00000008680,01,06,0,0000000d859ce56e,1,0
132,132,0,2800300000008180,01,06,0,0000000d859ce570,1,0
133,133,0,2804300000008280,01,06,0,0000000d859ce572,1,0
134,134,0,2800300000008380,01,06,0,0000000d859ce574,1,0
135,135,0,2844300000008480,01,06,0,0000000d859ce576,1,0
136,136,0,2844300000008580,01,06,0,0000000d859ce578,1,0
