index,raw,opcode,message,timestamp,aliased_addr,cache_line_index_aliased,cache_line_index_unaliased,dirty,dmask,fillo,hreq_id,ns,nxm,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
164,0x0007e00000008080,0,ECI_CMD_MREQ_RLDD,93579804479,0x0000008080,,,,15,,,1,,1,0,0x0000008080,6,,,0,0,0,
165,0x180fe00000008180,3,ECI_CMD_MRSP_VICDHI,93579805021,0x0000008180,,,,15,,3,1,,,2,0x0000008180,4,,,,0,,0
166,0x1817e00000008280,3,ECI_CMD_MRSP_VICDHI,93579805024,0x0000008280,,,,15,,5,1,,,2,0x0000008280,4,,,,0,,0
167,0x181fe00000008380,3,ECI_CMD_MRSP_VICDHI,93579805028,0x0000008380,,,,15,,7,1,,,2,0x0000008380,4,,,,0,,0
168,0x1827e00000008480,3,ECI_CMD_MRSP_VICDHI,93579805032,0x0000008480,,,,15,,9,1,,,2,0x0000008480,4,,,,0,,0
169,0x182fe00000008580,3,ECI_CMD_MRSP_VICDHI,93579805035,0x0000008580,,,,15,,11,1,,,2,0x0000008580,4,,,,0,,0
170,0x1837e00000008680,3,ECI_CMD_MRSP_VICDHI,93579805039,0x0000008680,,,,15,,13,1,,,2,0x0000008680,4,,,,0,,0
171,0x4807c00000008080,9,ECI_CMD_MRSP_PSHA,93579805519,,257,257,0,15,0,,,0,1,4,,4,0,0,,0,,0
172,0x3807e00000008080,7,ECI_CMD_MREQ_RC2D_S,93579806160,0x0000008080,,,,15,,,1,,1,0,0x0000008080,6,,,0,0,0,
173,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,93579806180,0x0000008680,,,,15,,,1,,16,0,0x0000008680,6,,,0,4,0,
174,0x2804300000008180,5,ECI_CMD_MREQ_RLDX,93579806182,0x0000008180,,,,0,,,1,,1,0,0x0000008180,6,,,0,4,0,
175,0x2800300000008280,5,ECI_CMD_MREQ_RLDX,93579806184,0x0000008280,,,,0,,,1,,0,0,0x0000008280,6,,,0,4,0,
176,0x2800300000008380,5,ECI_CMD_MREQ_RLDX,93579806186,0x0000008380,,,,0,,,1,,0,0,0x0000008380,6,,,0,4,0,
177,0x2844300000008480,5,ECI_CMD_MREQ_RLDX,93579806188,0x0000008480,,,,0,,,1,,17,0,0x0000008480,6,,,0,4,0,
178,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,93579806190,0x0000008580,,,,0,,,1,,16,0,0x0000008580,6,,,0,4,0,
179,0x5004000000008080,10,ECI_CMD_MRSP_PEMD,93579806238,,257,257,0,0,0,,,0,1,3,,10,0,0,,0,,0
180,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,93579806371,,269,269,0,15,0,,,0,16,4,,4,0,0,,0,,0
181,0x5007c00000008180,10,ECI_CMD_MRSP_PEMD,93579806407,,259,259,0,15,0,,,0,1,4,,4,0,0,,0,,0
182,0x5003c00000008280,10,ECI_CMD_MRSP_PEMD,93579806442,,261,261,0,15,0,,,0,0,4,,4,0,0,,0,,0
183,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,93579806478,,263,263,0,15,0,,,0,0,4,,4,0,0,,0,,0
184,0x5047c00000008480,10,ECI_CMD_MRSP_PEMD,93579806513,,265,265,0,15,0,,,0,17,4,,4,0,0,,0,,0
185,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,93579806548,,267,267,0,15,0,,,0,16,4,,4,0,0,,0,,0
186,0x1807e00000008080,3,ECI_CMD_MRSP_VICDHI,93579806849,0x0000008080,,,,15,,1,1,,,2,0x0000008080,4,,,,0,,0
187,0x180fe00000008180,3,ECI_CMD_MRSP_VICDHI,93579807173,0x0000008180,,,,15,,3,1,,,2,0x0000008180,4,,,,0,,0
188,0x1817e00000008280,3,ECI_CMD_MRSP_VICDHI,93579807177,0x0000008280,,,,15,,5,1,,,2,0x0000008280,4,,,,0,,0
189,0x181fe00000008380,3,ECI_CMD_MRSP_VICDHI,93579807180,0x0000008380,,,,15,,7,1,,,2,0x0000008380,4,,,,0,,0
190,0x1827e00000008480,3,ECI_CMD_MRSP_VICDHI,93579807184,0x0000008480,,,,15,,9,1,,,2,0x0000008480,4,,,,0,,0
191,0x182fe00000008580,3,ECI_CMD_MRSP_VICDHI,93579807188,0x0000008580,,,,15,,11,1,,,2,0x0000008580,4,,,,0,,0
192,0x1837e00000008680,3,ECI_CMD_MRSP_VICDHI,93579807193,0x0000008680,,,,15,,13,1,,,2,0x0000008680,4,,,,0,,0
193,0x2847f00000008680,5,ECI_CMD_MREQ_RLDX,93579808328,0x0000008680,,,,15,,,1,,17,0,0x0000008680,6,,,0,4,0,
194,0x2800300000008180,5,ECI_CMD_MREQ_RLDX,93579808330,0x0000008180,,,,0,,,1,,0,0,0x0000008180,6,,,0,4,0,
195,0x2804300000008280,5,ECI_CMD_MREQ_RLDX,93579808332,0x0000008280,,,,0,,,1,,1,0,0x0000008280,6,,,0,4,0,
196,0x2804300000008380,5,ECI_CMD_MREQ_RLDX,93579808334,0x0000008380,,,,0,,,1,,1,0,0x0000008380,6,,,0,4,0,
197,0x2844300000008480,5,ECI_CMD_MREQ_RLDX,93579808336,0x0000008480,,,,0,,,1,,17,0,0x0000008480,6,,,0,4,0,
198,0x2844300000008580,5,ECI_CMD_MREQ_RLDX,93579808338,0x0000008580,,,,0,,,1,,17,0,0x0000008580,6,,,0,4,0,
199,0x5047c00000008680,10,ECI_CMD_MRSP_PEMD,93579808501,,269,269,0,15,0,,,0,17,4,,4,0,0,,0,,0
200,0x5003c00000008180,10,ECI_CMD_MRSP_PEMD,93579808537,,259,259,0,15,0,,,0,0,4,,4,0,0,,0,,0
201,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,93579808572,,261,261,0,15,0,,,0,1,4,,4,0,0,,0,,0
202,0x5007c00000008380,10,ECI_CMD_MRSP_PEMD,93579808608,,263,263,0,15,0,,,0,1,4,,4,0,0,,0,,0
203,0x5047c00000008480,10,ECI_CMD_MRSP_PEMD,93579808643,,265,265,0,15,0,,,0,17,4,,4,0,0,,0,,0
204,0x5047c00000008580,10,ECI_CMD_MRSP_PEMD,93579808679,,267,267,0,15,0,,,0,17,4,,4,0,0,,0,,0
205,0x0007e00000008080,0,ECI_CMD_MREQ_RLDD,93579808763,0x0000008080,,,,15,,,1,,1,0,0x0000008080,6,,,0,0,0,
206,0x180fe00000008180,3,ECI_CMD_MRSP_VICDHI,93579809309,0x0000008180,,,,15,,3,1,,,2,0x0000008180,4,,,,0,,0
207,0x1817e00000008280,3,ECI_CMD_MRSP_VICDHI,93579809312,0x0000008280,,,,15,,5,1,,,2,0x0000008280,4,,,,0,,0
208,0x181fe00000008380,3,ECI_CMD_MRSP_VICDHI,93579809316,0x0000008380,,,,15,,7,1,,,2,0x0000008380,4,,,,0,,0
209,0x1827e00000008480,3,ECI_CMD_MRSP_VICDHI,93579809318,0x0000008480,,,,15,,9,1,,,2,0x0000008480,4,,,,0,,0
210,0x182fe00000008580,3,ECI_CMD_MRSP_VICDHI,93579809323,0x0000008580,,,,15,,11,1,,,2,0x0000008580,4,,,,0,,0
211,0x1837e00000008680,3,ECI_CMD_MRSP_VICDHI,93579809326,0x0000008680,,,,15,,13,1,,,2,0x0000008680,4,,,,0,,0
212,0x4807c00000008080,9,ECI_CMD_MRSP_PSHA,93579809807,,257,257,0,15,0,,,0,1,4,,4,0,0,,0,,0
213,0x3807e00000008080,7,ECI_CMD_MREQ_RC2D_S,93579810441,0x0000008080,,,,15,,,1,,1,0,0x0000008080,6,,,0,0,0,
214,0x2847f00000008680,5,ECI_CMD_MREQ_RLDX,93579810463,0x0000008680,,,,15,,,1,,17,0,0x0000008680,6,,,0,4,0,
215,0x2800300000008180,5,ECI_CMD_MREQ_RLDX,93579810465,0x0000008180,,,,0,,,1,,0,0,0x0000008180,6,,,0,4,0,
216,0x2804300000008280,5,ECI_CMD_MREQ_RLDX,93579810467,0x0000008280,,,,0,,,1,,1,0,0x0000008280,6,,,0,4,0,
217,0x2800300000008380,5,ECI_CMD_MREQ_RLDX,93579810469,0x0000008380,,,,0,,,1,,0,0,0x0000008380,6,,,0,4,0,
218,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,93579810471,0x0000008480,,,,0,,,1,,16,0,0x0000008480,6,,,0,4,0,
219,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,93579810473,0x0000008580,,,,0,,,1,,16,0,0x0000008580,6,,,0,4,0,
220,0x5004000000008080,10,ECI_CMD_MRSP_PEMD,93579810519,,257,257,0,0,0,,,0,1,3,,10,0,0,,0,,0
221,0x5047c00000008680,10,ECI_CMD_MRSP_PEMD,93579810654,,269,269,0,15,0,,,0,17,4,,4,0,0,,0,,0
222,0x5003c00000008180,10,ECI_CMD_MRSP_PEMD,93579810690,,259,259,0,15,0,,,0,0,4,,4,0,0,,0,,0
223,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,93579810725,,261,261,0,15,0,,,0,1,4,,4,0,0,,0,,0
224,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,93579810760,,263,263,0,15,0,,,0,0,4,,4,0,0,,0,,0
225,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,93579810796,,265,265,0,15,0,,,0,16,4,,4,0,0,,0,,0
226,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,93579810831,,267,267,0,15,0,,,0,16,4,,4,0,0,,0,,0
227,0x1807e00000008080,3,ECI_CMD_MRSP_VICDHI,93579811129,0x0000008080,,,,15,,1,1,,,2,0x0000008080,4,,,,0,,0
228,0x180fe00000008180,3,ECI_CMD_MRSP_VICDHI,93579811452,0x0000008180,,,,15,,3,1,,,2,0x0000008180,4,,,,0,,0
229,0x1817e00000008280,3,ECI_CMD_MRSP_VICDHI,93579811456,0x0000008280,,,,15,,5,1,,,2,0x0000008280,4,,,,0,,0
