index,dcs_trace.event.req,dcs_trace.event.cli,dcs_trace.event.action,dcs_trace.event.state,timestamp
725,LCI,0000008500,SEND_F31,s1pCI__1_A31d,58076211066
726,LCI,0000008600,SEND_F31,s1pCI__1_A31d,58076211069
727,A31d,0000008180,WDD,s1pCI__1_WDDA,58076211147
728,A31d,0000008100,WDD,s1pCI__1_WDDA,58076211147
729,A31d,0000008280,WDD,s1pCI__1_WDDA,58076211151
730,A31d,0000008200,WDD,s1pCI__1_WDDA,58076211151
731,A31d,0000008380,WDD,s1pCI__1_WDDA,58076211155
732,A31d,0000008300,WDD,s1pCI__1_WDDA,58076211155
733,A31d,0000008480,WDD,s1pCI__1_WDDA,58076211159
734,A31d,0000008400,WDD,s1pCI__1_WDDA,58076211159
735,A31d,0000008580,WDD,s1pCI__1_WDDA,58076211163
736,A31d,0000008500,WDD,s1pCI__1_WDDA,58076211163
737,A31d,0000008680,WDD,s1pCI__1_WDDA,58076211167
738,A31d,0000008600,WDD,s1pCI__1_WDDA,58076211167
739,WDDA,0000008180,SEND_LCIA,s1pUL__1,58076211204
740,WDDA,0000008100,SEND_LCIA,s1pUL__1,58076211213
741,WDDA,0000008280,SEND_LCIA,s1pUL__1,58076211230
742,WDDA,0000008200,SEND_LCIA,s1pUL__1,58076211239
743,UL,0000008180,NO_ACTION,s1__1,58076211248
744,WDDA,0000008380,SEND_LCIA,s1pUL__1,58076211256
745,UL,0000008100,NO_ACTION,s1__1,58076211258
746,WDDA,0000008300,SEND_LCIA,s1pUL__1,58076211265
747,UL,0000008280,NO_ACTION,s1__1,58076211274
748,WDDA,0000008480,SEND_LCIA,s1pUL__1,58076211282
749,UL,0000008200,NO_ACTION,s1__1,58076211284
750,WDDA,0000008400,SEND_LCIA,s1pUL__1,58076211291
751,UL,0000008380,NO_ACTION,s1__1,58076211300
752,WDDA,0000008580,SEND_LCIA,s1pUL__1,58076211308
753,UL,0000008300,NO_ACTION,s1__1,58076211310
754,WDDA,0000008500,SEND_LCIA,s1pUL__1,58076211317
755,UL,0000008480,NO_ACTION,s1__1,58076211326
756,WDDA,0000008680,SEND_LCIA,s1pUL__1,58076211334
757,UL,0000008400,NO_ACTION,s1__1,58076211336
758,WDDA,0000008600,SEND_LCIA,s1pUL__1,58076211343
759,UL,0000008580,NO_ACTION,s1__1,58076211352
760,UL,0000008500,NO_ACTION,s1__1,58076211361
761,UL,0000008680,NO_ACTION,s1__1,58076211378
762,UL,0000008600,NO_ACTION,s1__1,58076211387
763,RDDA,0000008080,SEND_RA2,s1__2,58076211396
764,R12,0000000080,RDD,s1__2pRA2,58076211526
765,LCI,0000000100,SEND_LCIA,s1pUL__1,58076211574
766,UL,0000000100,NO_ACTION,s1__1,58076211618
767,LCI,0000000000,SEND_F21,s1pCI__1_A21,58076211620
768,A21,0000000000,SEND_LCIA,s1pUL__1,58076211710
769,UL,0000000000,NO_ACTION,s1__1,58076211754
770,RDDA,0000000080,SEND_RA2,s1__2,58076211760
771,R23,0000008080,SEND_RA3,s1__3,58076212073
772,R13,0000008680,RDD,s1__3pRA3,58076212081
773,R13,0000008100,RDD,s1__3pRA3,58076212081
774,R13,0000008200,RDD,s1__3pRA3,58076212084
775,R13,0000008180,RDD,s1__3pRA3,58076212086
776,R13,0000008300,RDD,s1__3pRA3,58076212086
777,R13,0000008280,RDD,s1__3pRA3,58076212089
778,R13,0000008400,RDD,s1__3pRA3,58076212089
779,R13,0000008380,RDD,s1__3pRA3,58076212092
780,R13,0000008480,RDD,s1__3pRA3,58076212094
781,R13,0000008600,RDD,s1__3pRA3,58076212094
782,R13,0000008580,RDD,s1__3pRA3,58076212097
783,R13,0000008500,RDD,s1__3pRA3,58076212097
784,RDDA,0000008100,SEND_RA3,s1__3,58076212133
785,RDDA,0000008680,SEND_RA3,s1__3,58076212146
786,RDDA,0000008200,SEND_RA3,s1__3,58076212155
787,RDDA,0000008180,SEND_RA3,s1__3,58076212168
788,RDDA,0000008300,SEND_RA3,s1__3,58076212177
789,RDDA,0000008280,SEND_RA3,s1__3,58076212190
790,RDDA,0000008400,SEND_RA3,s1__3,58076212199
791,RDDA,0000008380,SEND_RA3,s1__3,58076212212
792,RDDA,0000008600,SEND_RA3,s1__3,58076212221
793,RDDA,0000008480,SEND_RA3,s1__3,58076212234
794,RDDA,0000008500,SEND_RA3,s1__3,58076212243
795,RDDA,0000008580,SEND_RA3,s1__3,58076212256
796,R12,0000008000,RDD,s1__2pRA2,58076212357
797,LCI,0000008080,SEND_F31,s1pCI__1_A31d,58076212406
798,A31d,0000008080,WDD,s1pCI__1_WDDA,58076212504
799,WDDA,0000008080,SEND_LCIA,s1pUL__1,58076212561
800,UL,0000008080,NO_ACTION,s1__1,58076212605
801,LCI,0000008180,SEND_F31,s1pCI__1_A31d,58076212607
802,LCI,0000008280,SEND_F31,s1pCI__1_A31d,58076212609
803,LCI,0000008100,SEND_F31,s1pCI__1_A31d,58076212609
804,LCI,0000008200,SEND_F31,s1pCI__1_A31d,58076212612
805,LCI,0000008380,SEND_F31,s1pCI__1_A31d,58076212614
806,LCI,0000008480,SEND_F31,s1pCI__1_A31d,58076212616
807,LCI,0000008300,SEND_F31,s1pCI__1_A31d,58076212616
808,LCI,0000008400,SEND_F31,s1pCI__1_A31d,58076212619
809,LCI,0000008580,SEND_F31,s1pCI__1_A31d,58076212621
810,LCI,0000008680,SEND_F31,s1pCI__1_A31d,58076212623
811,LCI,0000008500,SEND_F31,s1pCI__1_A31d,58076212623
812,LCI,0000008600,SEND_F31,s1pCI__1_A31d,58076212626
813,A31d,0000008180,WDD,s1pCI__1_WDDA,58076212702
814,A31d,0000008100,WDD,s1pCI__1_WDDA,58076212705
815,A31d,0000008280,WDD,s1pCI__1_WDDA,58076212707
816,A31d,0000008200,WDD,s1pCI__1_WDDA,58076212709
817,A31d,0000008380,WDD,s1pCI__1_WDDA,58076212711
818,A31d,0000008300,WDD,s1pCI__1_WDDA,58076212713
819,A31d,0000008480,WDD,s1pCI__1_WDDA,58076212715
820,A31d,0000008400,WDD,s1pCI__1_WDDA,58076212717
821,A31d,0000008580,WDD,s1pCI__1_WDDA,58076212719
822,A31d,0000008500,WDD,s1pCI__1_WDDA,58076212721
823,A31d,0000008680,WDD,s1pCI__1_WDDA,58076212723
824,A31d,0000008600,WDD,s1pCI__1_WDDA,58076212725
825,WDDA,0000008180,SEND_LCIA,s1pUL__1,58076212759
826,WDDA,0000008100,SEND_LCIA,s1pUL__1,58076212768
827,WDDA,0000008280,SEND_LCIA,s1pUL__1,58076212785
828,WDDA,0000008200,SEND_LCIA,s1pUL__1,58076212794
829,UL,0000008180,NO_ACTION,s1__1,58076212803
830,WDDA,0000008380,SEND_LCIA,s1pUL__1,58076212811
831,UL,0000008100,NO_ACTION,s1__1,58076212813
832,WDDA,0000008300,SEND_LCIA,s1pUL__1,58076212820
833,UL,0000008280,NO_ACTION,s1__1,58076212829
834,WDDA,0000008480,SEND_LCIA,s1pUL__1,58076212837
835,UL,0000008200,NO_ACTION,s1__1,58076212839
836,WDDA,0000008400,SEND_LCIA,s1pUL__1,58076212846
837,UL,0000008380,NO_ACTION,s1__1,58076212855
838,WDDA,0000008580,SEND_LCIA,s1pUL__1,58076212863
839,UL,0000008300,NO_ACTION,s1__1,58076212865
840,WDDA,0000008500,SEND_LCIA,s1pUL__1,58076212872
841,UL,0000008480,NO_ACTION,s1__1,58076212881
842,WDDA,0000008680,SEND_LCIA,s1pUL__1,58076212889
843,UL,0000008400,NO_ACTION,s1__1,58076212891
844,WDDA,0000008600,SEND_LCIA,s1pUL__1,58076212898
845,UL,0000008580,NO_ACTION,s1__1,58076212907
846,UL,0000008500,NO_ACTION,s1__1,58076212916
847,UL,0000008680,NO_ACTION,s1__1,58076212933
848,UL,0000008600,NO_ACTION,s1__1,58076212942
849,RDDA,0000008000,SEND_RA2,s1__2,58076212949
850,R12,0000000000,RDD,s1__2pRA2,58076213075
851,LCI,0000000100,SEND_LCIA,s1pUL__1,58076213123
852,LCI,0000000080,SEND_F21,s1pCI__1_A21,58076213167
853,UL,0000000100,NO_ACTION,s1__1,58076213167
854,A21,0000000080,SEND_LCIA,s1pUL__1,58076213256
855,UL,0000000080,NO_ACTION,s1__1,58076213300
856,RDDA,0000000000,SEND_RA2,s1__2,58076213306
857,R23,0000008000,SEND_RA3,s1__3,58076213616
858,R13,0000008680,RDD,s1__3pRA3,58076213626
859,R13,0000008100,RDD,s1__3pRA3,58076213626
860,R13,0000008200,RDD,s1__3pRA3,58076213629
861,R13,0000008180,RDD,s1__3pRA3,58076213631
862,R13,0000008300,RDD,s1__3pRA3,58076213631
863,R13,0000008280,RDD,s1__3pRA3,58076213634
864,R13,0000008380,RDD,s1__3pRA3,58076213636
865,R13,0000008400,RDD,s1__3pRA3,58076213636
866,R13,0000008480,RDD,s1__3pRA3,58076213639
867,R13,0000008600,RDD,s1__3pRA3,58076213639
868,R13,0000008580,RDD,s1__3pRA3,58076213642
869,R13,0000008500,RDD,s1__3pRA3,58076213642
870,RDDA,0000008680,SEND_RA3,s1__3,58076213680
871,RDDA,0000008100,SEND_RA3,s1__3,58076213689
872,RDDA,0000008180,SEND_RA3,s1__3,58076213702
873,RDDA,0000008200,SEND_RA3,s1__3,58076213711
874,RDDA,0000008280,SEND_RA3,s1__3,58076213724
875,RDDA,0000008300,SEND_RA3,s1__3,58076213733
876,RDDA,0000008380,SEND_RA3,s1__3,58076213746
877,RDDA,0000008400,SEND_RA3,s1__3,58076213755
878,RDDA,0000008480,SEND_RA3,s1__3,58076213768
879,RDDA,0000008600,SEND_RA3,s1__3,58076213777
880,RDDA,0000008580,SEND_RA3,s1__3,58076213790
881,RDDA,0000008500,SEND_RA3,s1__3,58076213799
882,R12,0000008080,RDD,s1__2pRA2,58076213900
883,LCI,0000008000,SEND_F31,s1pCI__1_A31d,58076213951
884,A31d,0000008000,WDD,s1pCI__1_WDDA,58076214050
885,WDDA,0000008000,SEND_LCIA,s1pUL__1,58076214103
886,LCI,0000008180,SEND_F31,s1pCI__1_A31d,58076214147
887,UL,0000008000,NO_ACTION,s1__1,58076214147
888,LCI,0000008280,SEND_F31,s1pCI__1_A31d,58076214150
889,LCI,0000008100,SEND_F31,s1pCI__1_A31d,58076214150
890,LCI,0000008200,SEND_F31,s1pCI__1_A31d,58076214153
891,LCI,0000008380,SEND_F31,s1pCI__1_A31d,58076214155
892,LCI,0000008480,SEND_F31,s1pCI__1_A31d,58076214157
893,LCI,0000008300,SEND_F31,s1pCI__1_A31d,58076214157
894,LCI,0000008400,SEND_F31,s1pCI__1_A31d,58076214160
895,LCI,0000008580,SEND_F31,s1pCI__1_A31d,58076214162
896,LCI,0000008680,SEND_F31,s1pCI__1_A31d,58076214164
897,LCI,0000008500,SEND_F31,s1pCI__1_A31d,58076214164
898,LCI,0000008600,SEND_F31,s1pCI__1_A31d,58076214167
899,A31d,0000008180,WDD,s1pCI__1_WDDA,58076214244
900,A31d,0000008100,WDD,s1pCI__1_WDDA,58076214246
901,A31d,0000008280,WDD,s1pCI__1_WDDA,58076214248
902,A31d,0000008200,WDD,s1pCI__1_WDDA,58076214250
903,A31d,0000008380,WDD,s1pCI__1_WDDA,58076214252
904,A31d,0000008300,WDD,s1pCI__1_WDDA,58076214254
905,A31d,0000008480,WDD,s1pCI__1_WDDA,58076214256
906,A31d,0000008400,WDD,s1pCI__1_WDDA,58076214258
907,A31d,0000008580,WDD,s1pCI__1_WDDA,58076214260
908,A31d,0000008500,WDD,s1pCI__1_WDDA,58076214262
909,A31d,0000008680,WDD,s1pCI__1_WDDA,58076214264
910,A31d,0000008600,WDD,s1pCI__1_WDDA,58076214266
911,WDDA,0000008180,SEND_LCIA,s1pUL__1,58076214301
912,WDDA,0000008100,SEND_LCIA,s1pUL__1,58076214310
913,WDDA,0000008280,SEND_LCIA,s1pUL__1,58076214327
914,WDDA,0000008200,SEND_LCIA,s1pUL__1,58076214336
915,UL,0000008180,NO_ACTION,s1__1,58076214345
916,WDDA,0000008380,SEND_LCIA,s1pUL__1,58076214353
917,UL,0000008100,NO_ACTION,s1__1,58076214355
918,WDDA,0000008300,SEND_LCIA,s1pUL__1,58076214362
919,UL,0000008280,NO_ACTION,s1__1,58076214371
920,WDDA,0000008480,SEND_LCIA,s1pUL__1,58076214379
921,UL,0000008200,NO_ACTION,s1__1,58076214381
922,WDDA,0000008400,SEND_LCIA,s1pUL__1,58076214388
