index,raw,opcode,message,timestamp,aliased_addr,cache_line_index_aliased,cache_line_index_unaliased,dirty,dmask,fillo,hreq_id,ns,nxm,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
164,0x0007e00000008080,0,ECI_CMD_MREQ_RLDD,58076193820,0x0000008080,,,,15,,,1,,1,0,0x0000008080,6,,,0,0,0,
165,0x180fe00000008180,3,ECI_CMD_MRSP_VICDHI,58076194161,0x0000008180,,,,15,,3,1,,,2,0x0000008180,4,,,,0,,0
166,0x1817e00000008280,3,ECI_CMD_MRSP_VICDHI,58076194165,0x0000008280,,,,15,,5,1,,,2,0x0000008280,4,,,,0,,0
167,0x181fe00000008380,3,ECI_CMD_MRSP_VICDHI,58076194169,0x0000008380,,,,15,,7,1,,,2,0x0000008380,4,,,,0,,0
168,0x1827e00000008480,3,ECI_CMD_MRSP_VICDHI,58076194173,0x0000008480,,,,15,,9,1,,,2,0x0000008480,4,,,,0,,0
169,0x182fe00000008580,3,ECI_CMD_MRSP_VICDHI,58076194177,0x0000008580,,,,15,,11,1,,,2,0x0000008580,4,,,,0,,0
170,0x1837e00000008680,3,ECI_CMD_MRSP_VICDHI,58076194181,0x0000008680,,,,15,,13,1,,,2,0x0000008680,4,,,,0,,0
171,0x4807c00000008080,9,ECI_CMD_MRSP_PSHA,58076194436,,257,257,0,15,0,,,0,1,4,,4,0,0,,0,,0
172,0x3807e00000008080,7,ECI_CMD_MREQ_RC2D_S,58076194863,0x0000008080,,,,15,,,1,,1,0,0x0000008080,6,,,0,0,0,
173,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,58076194876,0x0000008680,,,,15,,,1,,16,0,0x0000008680,6,,,0,4,0,
174,0x2804300000008180,5,ECI_CMD_MREQ_RLDX,58076194878,0x0000008180,,,,0,,,1,,1,0,0x0000008180,6,,,0,4,0,
175,0x2800300000008280,5,ECI_CMD_MREQ_RLDX,58076194880,0x0000008280,,,,0,,,1,,0,0,0x0000008280,6,,,0,4,0,
176,0x2800300000008380,5,ECI_CMD_MREQ_RLDX,58076194882,0x0000008380,,,,0,,,1,,0,0,0x0000008380,6,,,0,4,0,
177,0x2844300000008480,5,ECI_CMD_MREQ_RLDX,58076194884,0x0000008480,,,,0,,,1,,17,0,0x0000008480,6,,,0,4,0,
178,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,58076194886,0x0000008580,,,,0,,,1,,16,0,0x0000008580,6,,,0,4,0,
179,0x5004000000008080,10,ECI_CMD_MRSP_PEMD,58076194888,,257,257,0,0,0,,,0,1,3,,10,0,0,,0,,0
180,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,58076194965,,269,269,0,15,0,,,0,16,4,,4,0,0,,0,,0
181,0x5007c00000008180,10,ECI_CMD_MRSP_PEMD,58076194987,,259,259,0,15,0,,,0,1,4,,4,0,0,,0,,0
182,0x5003c00000008280,10,ECI_CMD_MRSP_PEMD,58076195009,,261,261,0,15,0,,,0,0,4,,4,0,0,,0,,0
183,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,58076195031,,263,263,0,15,0,,,0,0,4,,4,0,0,,0,,0
184,0x5047c00000008480,10,ECI_CMD_MRSP_PEMD,58076195053,,265,265,0,15,0,,,0,17,4,,4,0,0,,0,,0
185,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,58076195075,,267,267,0,15,0,,,0,16,4,,4,0,0,,0,,0
186,0x1807e00000008080,3,ECI_CMD_MRSP_VICDHI,58076195295,0x0000008080,,,,15,,1,1,,,2,0x0000008080,4,,,,0,,0
