Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_app/traceOut_event_data[63:0],i_app/dcs_even/i_trace_app/traceOut_event_size[4:0],i_app/dcs_even/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_app/traceOut_src[2:0],i_app/dcs_even/i_trace_app/traceOut_ts[63:0],i_app/dcs_even/i_trace_app/dump_1,i_app/dcs_even/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,1,0000000000000000,00,00,0,0000000000000000,1,0
17,17,0,3803e00000008080,01,06,0,00000009035edbc3,1,0
18,18,0,2800300000008180,01,06,0,00000009035edbd4,1,0
19,19,0,2804300000008280,01,06,0,00000009035edbd6,1,0
20,20,0,2800300000008380,01,06,0,00000009035edbd8,1,0
21,21,0,2840300000008480,01,06,0,00000009035edbda,1,0
22,22,0,2844300000008580,01,06,0,00000009035edbdc,1,0
23,23,0,5000000000008080,01,0a,3,00000009035edbdc,1,0
24,24,0,2847f00000008680,01,06,0,00000009035edbdf,1,0
25,25,0,5003c00000008180,11,04,4,00000009035edc2f,1,0
26,26,0,5007c00000008280,11,04,4,00000009035edc45,1,0
27,27,0,5003c00000008380,11,04,4,00000009035edc5b,1,0
28,28,0,5043c00000008480,11,04,4,00000009035edc71,1,0
29,29,0,0007e00000008180,11,04,2,00000009035edc81,1,0
30,30,0,5047c00000008580,11,04,4,00000009035edc87,1,0
31,31,0,0007e00000008280,11,04,2,00000009035edc95,1,0
32,32,0,5047c00000008680,11,04,4,00000009035edc9d,1,0
33,33,0,0007e00000008380,11,04,2,00000009035edcad,1,0
34,34,0,0007e00000008480,11,04,2,00000009035edcc3,1,0
35,35,0,0007e00000008580,11,04,2,00000009035edcd8,1,0
36,36,0,0007e00000008680,11,04,2,00000009035edcef,1,0
37,37,0,5807e40000008080,01,08,5,00000009035edd31,1,0
38,38,0,1807e00000008080,11,04,2,00000009035edd7e,1,0
39,39,0,0003e00000000080,01,06,0,00000009035f332a,1,0
40,40,0,4803c00000000080,11,04,4,00000009035f3406,1,0
41,41,0,0007ec0000000180,01,06,0,00000009035f352b,1,0
42,42,0,4807c00000000180,11,04,4,00000009035f357b,1,0
43,43,0,0003ec0000000280,01,06,0,00000009035f366e,1,0
44,44,0,4803c00000000280,11,04,4,00000009035f36be,1,0
45,45,0,0007ec0000000380,01,06,0,00000009035f37b0,1,0
46,46,0,4807c00000000380,11,04,4,00000009035f3800,1,0
47,47,0,0043ec0000000480,01,06,0,00000009035f38f1,1,0
48,48,0,4843c00000000480,11,04,4,00000009035f3941,1,0
49,49,0,0043ec0000000580,01,06,0,00000009035f3a33,1,0
50,50,0,4843c00000000580,11,04,4,00000009035f3a83,1,0
51,51,0,0043ec0000000680,01,06,0,00000009035f3b75,1,0
52,52,0,4843c00000000680,11,04,4,00000009035f3bc5,1,0
53,53,0,700fe40000000180,01,08,5,00000009035f3ed1,1,0
54,54,0,7017e40000000280,01,08,5,00000009035f3ed3,1,0
55,55,0,701fe40000000380,01,08,5,00000009035f3ed5,1,0
56,56,0,7027e40000000480,01,08,5,00000009035f3ed7,1,0
57,57,0,702fe40000000580,01,08,5,00000009035f3ed9,1,0
58,58,0,7037e40000000680,01,08,5,00000009035f3edb,1,0
59,59,0,200c200000000180,01,0a,1,00000009035f3f13,1,0
60,60,0,2014200000000280,01,0a,1,00000009035f3f15,1,0
61,61,0,201c200000000380,01,0a,1,00000009035f3f17,1,0
62,62,0,2024200000000480,01,0a,1,00000009035f3f19,1,0
63,63,0,202c200000000580,01,0a,1,00000009035f3f1b,1,0
64,64,0,2034200000000680,01,0a,1,00000009035f3f1d,1,0
65,65,0,7007e40000000080,01,08,5,00000009035f3f67,1,0
66,66,0,2004200000000080,01,0a,1,00000009035f3faa,1,0
67,67,0,0003e00000000080,01,06,0,0000000905fdf927,1,0
68,68,0,4803c00000000080,11,04,4,0000000905fdfa05,1,0
69,69,0,0007ec0000000180,01,06,0,0000000905fdfb1e,1,0
70,70,0,4807c00000000180,11,04,4,0000000905fdfb6e,1,0
71,71,0,700fe40000000180,01,08,5,0000000905fe01cf,1,0
72,72,0,200c200000000180,01,0a,1,0000000905fe0212,1,0
73,73,0,7007e40000000080,01,08,5,0000000905fe025b,1,0
74,74,0,2004200000000080,01,0a,1,0000000905fe029d,1,0
75,75,0,2804300000008180,01,06,0,000000090f93d7b9,1,0
76,76,0,2804300000008280,01,06,0,000000090f93d7bb,1,0
77,77,0,2800300000008380,01,06,0,000000090f93d7bd,1,0
78,78,0,2840300000008480,01,06,0,000000090f93d7bf,1,0
79,79,0,2840300000008580,01,06,0,000000090f93d7c1,1,0
80,80,0,2843f00000008680,01,06,0,000000090f93d7c3,1,0
81,81,0,5007c00000008180,11,04,4,000000090f93d813,1,0
82,82,0,5007c00000008280,11,04,4,000000090f93d829,1,0
83,83,0,5003c00000008380,11,04,4,000000090f93d83f,1,0
84,84,0,5043c00000008480,11,04,4,000000090f93d855,1,0
85,85,0,0007e00000008180,11,04,2,000000090f93d863,1,0
86,86,0,5043c00000008580,11,04,4,000000090f93d86b,1,0
87,87,0,0007e00000008280,11,04,2,000000090f93d87b,1,0
88,88,0,5043c00000008680,11,04,4,000000090f93d881,1,0
89,89,0,0007e00000008380,11,04,2,000000090f93d891,1,0
90,90,0,0007e00000008480,11,04,2,000000090f93d8a6,1,0
91,91,0,0007e00000008580,11,04,2,000000090f93d8bd,1,0
92,92,0,0007e00000008080,01,06,0,000000090f93d8cd,1,0
93,93,0,0007e00000008680,11,04,2,000000090f93d8d3,1,0
94,94,0,4807c00000008080,11,04,4,000000090f93da25,1,0
95,95,0,0003e00000000080,01,06,0,000000090f9427eb,1,0
96,96,0,4803c00000000080,11,04,4,000000090f9428c8,1,0
97,97,0,0003ec0000000180,01,06,0,000000090f9429f3,1,0
98,98,0,4803c00000000180,11,04,4,000000090f942a43,1,0
99,99,0,0003ec0000000280,01,06,0,000000090f942b38,1,0
100,100,0,4803c00000000280,11,04,4,000000090f942b88,1,0
101,101,0,0003ec0000000380,01,06,0,000000090f942c7b,1,0
102,102,0,4803c00000000380,11,04,4,000000090f942ccb,1,0
103,103,0,0043ec0000000480,01,06,0,000000090f942dba,1,0
104,104,0,4843c00000000480,11,04,4,000000090f942e0a,1,0
105,105,0,0047ec0000000580,01,06,0,000000090f942ef9,1,0
106,106,0,4847c00000000580,11,04,4,000000090f942f49,1,0
107,107,0,0047ec0000000680,01,06,0,000000090f943039,1,0
108,108,0,4847c00000000680,11,04,4,000000090f943089,1,0
109,109,0,700fe40000000180,01,08,5,000000090f9433a7,1,0
110,110,0,7017e40000000280,01,08,5,000000090f9433a9,1,0
111,111,0,701fe40000000380,01,08,5,000000090f9433ab,1,0
112,112,0,7027e40000000480,01,08,5,000000090f9433ad,1,0
113,113,0,702fe40000000580,01,08,5,000000090f9433af,1,0
114,114,0,7037e40000000680,01,08,5,000000090f9433b1,1,0
115,115,0,2014200000000280,01,0a,1,000000090f9433e9,1,0
116,116,0,200c200000000180,01,0a,1,000000090f9433eb,1,0
117,117,0,201c200000000380,01,0a,1,000000090f9433ed,1,0
118,118,0,2024200000000480,01,0a,1,000000090f9433ef,1,0
119,119,0,2034200000000680,01,0a,1,000000090f9433f1,1,0
120,120,0,202c200000000580,01,0a,1,000000090f9433f3,1,0
121,121,0,7007e40000000080,01,08,5,000000090f94343c,1,0
122,122,0,2004200000000080,01,0a,1,000000090f94347e,1,0
123,123,0,0007e00000000080,01,06,0,0000000927b4a3b2,1,0
124,124,0,4807c00000000080,11,04,4,0000000927b4a48d,1,0
125,125,0,7007e40000000080,01,08,5,0000000927b4a960,1,0
126,126,0,2004200000000080,01,0a,1,0000000927b4a9a1,1,0
127,127,0,3807e00000008080,01,06,0,0000000927b4d7d1,1,0
128,128,0,5004000000008080,01,0a,3,0000000927b4d7e9,1,0
129,129,0,5807e40000008080,01,08,5,0000000927b4d8b3,1,0
130,130,0,1807e00000008080,11,04,2,0000000927b4d900,1,0
131,131,0,0007e00000000080,01,06,0,0000000927b4e321,1,0
132,132,0,4807c00000000080,11,04,4,0000000927b4e3fd,1,0
133,133,0,7007e40000000080,01,08,5,0000000927b4e77f,1,0
134,134,0,2004200000000080,01,0a,1,0000000927b4e7c1,1,0
135,135,0,0003e00000000080,01,06,0,0000000927b4e9dc,1,0
136,136,0,4803c00000000080,11,04,4,0000000927b4eb48,1,0
137,137,0,7007e40000000080,01,08,5,0000000927b4ede3,1,0
