Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,1,0000000000000000,00,00,0,0000000000000000,1,0
17,17,0,3803e00000008080,01,06,0,0000000e85ee590b,1,0
18,18,0,2800300000008180,01,06,0,0000000e85ee5926,1,0
19,19,0,2804300000008280,01,06,0,0000000e85ee5929,1,0
20,20,0,2800300000008380,01,06,0,0000000e85ee592c,1,0
21,21,0,2840300000008480,01,06,0,0000000e85ee592f,1,0
22,22,0,2844300000008580,01,06,0,0000000e85ee5932,1,0
23,23,0,2847f00000008680,01,06,0,0000000e85ee5935,1,0
24,24,0,5000000000008080,01,0a,3,0000000e85ee595a,1,0
25,25,0,5003c00000008180,11,04,4,0000000e85ee59e6,1,0
26,26,0,5007c00000008280,11,04,4,0000000e85ee5a09,1,0
27,27,0,5003c00000008380,11,04,4,0000000e85ee5a2d,1,0
28,28,0,0007e00000008180,11,04,2,0000000e85ee5a36,1,0
29,29,0,5043c00000008480,11,04,4,0000000e85ee5a50,1,0
30,30,0,0007e00000008280,11,04,2,0000000e85ee5a57,1,0
31,31,0,5047c00000008580,11,04,4,0000000e85ee5a73,1,0
32,32,0,0007e00000008380,11,04,2,0000000e85ee5a7d,1,0
33,33,0,5047c00000008680,11,04,4,0000000e85ee5a97,1,0
34,34,0,0007e00000008480,11,04,2,0000000e85ee5aa0,1,0
35,35,0,0007e00000008580,11,04,2,0000000e85ee5ac2,1,0
36,36,0,0007e00000008680,11,04,2,0000000e85ee5ae8,1,0
37,37,0,5807e40000008080,01,08,5,0000000e85ee5b81,1,0
38,38,0,1807e00000008080,11,04,2,0000000e85ee5bce,1,0
39,39,0,0003e00000000080,01,06,0,0000000e85eee5e1,1,0
40,40,0,4803c00000000080,11,04,4,0000000e85eee770,1,0
41,41,0,0007ec0000000180,01,06,0,0000000e85eee91b,1,0
42,42,0,4807c00000000180,11,04,4,0000000e85eee9c9,1,0
43,43,0,0003ec0000000280,01,06,0,0000000e85eeeb24,1,0
44,44,0,4803c00000000280,11,04,4,0000000e85eeebd1,1,0
45,45,0,0007ec0000000380,01,06,0,0000000e85eeed2a,1,0
46,46,0,4807c00000000380,11,04,4,0000000e85eeedd8,1,0
47,47,0,0043ec0000000480,01,06,0,0000000e85eeef30,1,0
48,48,0,4843c00000000480,11,04,4,0000000e85eeefdd,1,0
49,49,0,0043ec0000000580,01,06,0,0000000e85eef137,1,0
50,50,0,4843c00000000580,11,04,4,0000000e85eef1e4,1,0
51,51,0,0043ec0000000680,01,06,0,0000000e85eef33e,1,0
52,52,0,4843c00000000680,11,04,4,0000000e85eef3eb,1,0
53,53,0,700fe40000000180,01,08,5,0000000e85eef8cf,1,0
54,54,0,7017e40000000280,01,08,5,0000000e85eef8d1,1,0
55,55,0,701fe40000000380,01,08,5,0000000e85eef8d6,1,0
56,56,0,7027e40000000480,01,08,5,0000000e85eef8d8,1,0
57,57,0,702fe40000000580,01,08,5,0000000e85eef8dc,1,0
58,58,0,7037e40000000680,01,08,5,0000000e85eef8de,1,0
59,59,0,200c200000000180,01,0a,1,0000000e85eef911,1,0
60,60,0,2014200000000280,01,0a,1,0000000e85eef913,1,0
61,61,0,201c200000000380,01,0a,1,0000000e85eef916,1,0
62,62,0,2024200000000480,01,0a,1,0000000e85eef918,1,0
63,63,0,202c200000000580,01,0a,1,0000000e85eef91f,1,0
64,64,0,2034200000000680,01,0a,1,0000000e85eef922,1,0
65,65,0,7007e40000000080,01,08,5,0000000e85eef9c1,1,0
66,66,0,2004200000000080,01,0a,1,0000000e85eefa05,1,0
67,67,0,0003e00000000080,01,06,0,0000000e8a27bbe7,1,0
68,68,0,4803c00000000080,11,04,4,0000000e8a27bd79,1,0
69,69,0,0007ec0000000180,01,06,0,0000000e8a27bf12,1,0
70,70,0,4807c00000000180,11,04,4,0000000e8a27bfbf,1,0
71,71,0,700fe40000000180,01,08,5,0000000e8a27ca01,1,0
72,72,0,200c200000000180,01,0a,1,0000000e8a27ca46,1,0
73,73,0,7007e40000000080,01,08,5,0000000e8a27cae3,1,0
74,74,0,2004200000000080,01,0a,1,0000000e8a27cb26,1,0
75,75,0,2804300000008180,01,06,0,0000000e9999b909,1,0
76,76,0,2804300000008280,01,06,0,0000000e9999b90c,1,0
77,77,0,2800300000008380,01,06,0,0000000e9999b90f,1,0
78,78,0,2840300000008480,01,06,0,0000000e9999b912,1,0
79,79,0,2840300000008580,01,06,0,0000000e9999b915,1,0
80,80,0,2843f00000008680,01,06,0,0000000e9999b918,1,0
81,81,0,5007c00000008180,11,04,4,0000000e9999b9c6,1,0
82,82,0,5007c00000008280,11,04,4,0000000e9999b9ea,1,0
83,83,0,5003c00000008380,11,04,4,0000000e9999ba0d,1,0
84,84,0,0007e00000008180,11,04,2,0000000e9999ba14,1,0
85,85,0,5043c00000008480,11,04,4,0000000e9999ba31,1,0
86,86,0,0007e00000008280,11,04,2,0000000e9999ba3a,1,0
87,87,0,5043c00000008580,11,04,4,0000000e9999ba54,1,0
88,88,0,0007e00000008380,11,04,2,0000000e9999ba5d,1,0
89,89,0,5043c00000008680,11,04,4,0000000e9999ba78,1,0
90,90,0,0007e00000008480,11,04,2,0000000e9999ba80,1,0
91,91,0,0007e00000008580,11,04,2,0000000e9999baa4,1,0
92,92,0,0007e00000008080,01,06,0,0000000e9999bac6,1,0
93,93,0,0007e00000008680,11,04,2,0000000e9999bac8,1,0
94,94,0,4807c00000008080,11,04,4,0000000e9999bd1d,1,0
95,95,0,0003e00000000080,01,06,0,0000000e999a3a42,1,0
96,96,0,4803c00000000080,11,04,4,0000000e999a3bd2,1,0
97,97,0,0003ec0000000180,01,06,0,0000000e999a3d87,1,0
98,98,0,4803c00000000180,11,04,4,0000000e999a3e35,1,0
99,99,0,0003ec0000000280,01,06,0,0000000e999a3f93,1,0
100,100,0,4803c00000000280,11,04,4,0000000e999a4041,1,0
101,101,0,0003ec0000000380,01,06,0,0000000e999a419c,1,0
102,102,0,4803c00000000380,11,04,4,0000000e999a4249,1,0
103,103,0,0043ec0000000480,01,06,0,0000000e999a439e,1,0
104,104,0,4843c00000000480,11,04,4,0000000e999a444b,1,0
105,105,0,0047ec0000000580,01,06,0,0000000e999a45a0,1,0
106,106,0,4847c00000000580,11,04,4,0000000e999a464d,1,0
107,107,0,0047ec0000000680,01,06,0,0000000e999a47a4,1,0
108,108,0,4847c00000000680,11,04,4,0000000e999a4851,1,0
109,109,0,700fe40000000180,01,08,5,0000000e999a4d52,1,0
110,110,0,7017e40000000280,01,08,5,0000000e999a4d54,1,0
111,111,0,701fe40000000380,01,08,5,0000000e999a4d58,1,0
112,112,0,7027e40000000480,01,08,5,0000000e999a4d5a,1,0
113,113,0,702fe40000000580,01,08,5,0000000e999a4d5f,1,0
114,114,0,7037e40000000680,01,08,5,0000000e999a4d61,1,0
115,115,0,2014200000000280,01,0a,1,0000000e999a4d94,1,0
116,116,0,200c200000000180,01,0a,1,0000000e999a4d96,1,0
117,117,0,201c200000000380,01,0a,1,0000000e999a4d9b,1,0
118,118,0,2024200000000480,01,0a,1,0000000e999a4d9e,1,0
119,119,0,2034200000000680,01,0a,1,0000000e999a4da0,1,0
120,120,0,202c200000000580,01,0a,1,0000000e999a4da2,1,0
121,121,0,7007e40000000080,01,08,5,0000000e999a4e42,1,0
122,122,0,2004200000000080,01,0a,1,0000000e999a4e84,1,0
123,123,0,0007e00000000080,01,06,0,0000000ec07a91b4,1,0
124,124,0,4807c00000000080,11,04,4,0000000ec07a9341,1,0
125,125,0,7007e40000000080,01,08,5,0000000ec07a9b03,1,0
126,126,0,2004200000000080,01,0a,1,0000000ec07a9b44,1,0
127,127,0,3807e00000008080,01,06,0,0000000ec07ae5b0,1,0
128,128,0,5004000000008080,01,0a,3,0000000ec07ae5fe,1,0
129,129,0,5807e40000008080,01,08,5,0000000ec07ae744,1,0
130,130,0,1807e00000008080,11,04,2,0000000ec07ae790,1,0
131,131,0,0007e00000000080,01,06,0,0000000ec07af7eb,1,0
132,132,0,4807c00000000080,11,04,4,0000000ec07af979,1,0
