index,raw,opcode,message,timestamp,aliased_addr,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb10,xb1_2,xb2,xb3,xb4,xb5
490,0x4803c00000000300,9,ECI_CMD_MRSP_PSHA,38301675690,300,0,15,0,,,0,,0,4,300,5,0,,0,,0,,0
491,0x0043ec0000000400,0,ECI_CMD_MREQ_RLDD,38301675935,400,,15,,,1,,,16,0,400,7,,,,0,3,0,
492,0x4843c00000000400,9,ECI_CMD_MRSP_PSHA,38301676011,400,0,15,0,,,0,,16,4,400,5,0,,0,,0,,0
493,0x0043ec0000000500,0,ECI_CMD_MREQ_RLDD,38301676256,500,,15,,,1,,,16,0,500,7,,,,0,3,0,
494,0x4843c00000000500,9,ECI_CMD_MRSP_PSHA,38301676332,500,0,15,0,,,0,,16,4,500,5,0,,0,,0,,0
495,0x0043ec0000000600,0,ECI_CMD_MREQ_RLDD,38301676577,600,,15,,,1,,,16,0,600,7,,,,0,3,0,
496,0x4843c00000000600,9,ECI_CMD_MRSP_PSHA,38301676653,600,0,15,0,,,0,,16,4,600,5,0,,0,,0,,0
497,0x0003e00000000000,0,ECI_CMD_MREQ_RLDD,38301677355,0,,15,,,1,,,0,0,0,7,,,,0,0,0,
498,0x700be40000000100,14,ECI_CMD_MFWD_SINV_H,38301677426,100,,15,,2,1,,1,,5,100,9,0,,,0,0,,
499,0x7013e40000000200,14,ECI_CMD_MFWD_SINV_H,38301677428,200,,15,,4,1,,1,,5,200,9,0,,,0,0,,
500,0x701be40000000300,14,ECI_CMD_MFWD_SINV_H,38301677430,300,,15,,6,1,,1,,5,300,9,0,,,0,0,,
501,0x7023e40000000400,14,ECI_CMD_MFWD_SINV_H,38301677432,400,,15,,8,1,,1,,5,400,9,0,,,0,0,,
502,0x702be40000000500,14,ECI_CMD_MFWD_SINV_H,38301677434,500,,15,,10,1,,1,,5,500,9,0,,,0,0,,
503,0x7033e40000000600,14,ECI_CMD_MFWD_SINV_H,38301677436,600,,15,,12,1,,1,,5,600,9,0,,,0,0,,
504,0x2010200000000200,4,ECI_CMD_MRSP_HAKD,38301677494,200,,0,,4,1,,,,1,200,11,,,,,0,,0
505,0x2008200000000100,4,ECI_CMD_MRSP_HAKD,38301677496,100,,0,,2,1,,,,1,100,11,,,,,0,,0
506,0x2020200000000400,4,ECI_CMD_MRSP_HAKD,38301677498,400,,0,,8,1,,,,1,400,11,,,,,0,,0
507,0x2018200000000300,4,ECI_CMD_MRSP_HAKD,38301677500,300,,0,,6,1,,,,1,300,11,,,,,0,,0
508,0x2028200000000500,4,ECI_CMD_MRSP_HAKD,38301677502,500,,0,,10,1,,,,1,500,11,,,,,0,,0
509,0x2030200000000600,4,ECI_CMD_MRSP_HAKD,38301677504,600,,0,,12,1,,,,1,600,11,,,,,0,,0
510,0x4803c00000000000,9,ECI_CMD_MRSP_PSHA,38301677714,0,0,15,0,,,0,,0,4,0,5,0,,0,,0,,0
511,0x2804300000008100,5,ECI_CMD_MREQ_RLDX,38302736232,8100,,0,,,1,,,1,0,8100,7,,,,0,4,0,
512,0x2804300000008200,5,ECI_CMD_MREQ_RLDX,38302736234,8200,,0,,,1,,,1,0,8200,7,,,,0,4,0,
513,0x2804300000008300,5,ECI_CMD_MREQ_RLDX,38302736237,8300,,0,,,1,,,1,0,8300,7,,,,0,4,0,
514,0x2844300000008400,5,ECI_CMD_MREQ_RLDX,38302736239,8400,,0,,,1,,,17,0,8400,7,,,,0,4,0,
515,0x2840300000008500,5,ECI_CMD_MREQ_RLDX,38302736241,8500,,0,,,1,,,16,0,8500,7,,,,0,4,0,
516,0x2844300000008600,5,ECI_CMD_MREQ_RLDX,38302736243,8600,,0,,,1,,,17,0,8600,7,,,,0,4,0,
517,0x5007c00000008100,10,ECI_CMD_MRSP_PEMD,38302736308,8100,0,15,0,,,0,,1,4,8100,5,0,,0,,0,,0
518,0x5007c00000008200,10,ECI_CMD_MRSP_PEMD,38302736330,8200,0,15,0,,,0,,1,4,8200,5,0,,0,,0,,0
519,0x5007c00000008300,10,ECI_CMD_MRSP_PEMD,38302736352,8300,0,15,0,,,0,,1,4,8300,5,0,,0,,0,,0
520,0x5047c00000008400,10,ECI_CMD_MRSP_PEMD,38302736374,8400,0,15,0,,,0,,17,4,8400,5,0,,0,,0,,0
521,0x0007e00000008100,0,ECI_CMD_MRSP_VICD,38302736391,8100,,15,,,1,,,,2,8100,5,,1,,,,,0
522,0x5043c00000008500,10,ECI_CMD_MRSP_PEMD,38302736396,8500,0,15,0,,,0,,16,4,8500,5,0,,0,,0,,0
523,0x0007e00000008200,0,ECI_CMD_MRSP_VICD,38302736414,8200,,15,,,1,,,,2,8200,5,,1,,,,,0
524,0x5047c00000008600,10,ECI_CMD_MRSP_PEMD,38302736418,8600,0,15,0,,,0,,17,4,8600,5,0,,0,,0,,0
525,0x0007e00000008300,0,ECI_CMD_MRSP_VICD,38302736434,8300,,15,,,1,,,,2,8300,5,,1,,,,,0
526,0x0007e00000008400,0,ECI_CMD_MRSP_VICD,38302736458,8400,,15,,,1,,,,2,8400,5,,1,,,,,0
527,0x0007e00000008500,0,ECI_CMD_MRSP_VICD,38302736479,8500,,15,,,1,,,,2,8500,5,,1,,,,,0
528,0x0007e00000008600,0,ECI_CMD_MRSP_VICD,38302736502,8600,,15,,,1,,,,2,8600,5,,1,,,,,0
17,0x0007e00000008000,0,ECI_CMD_MREQ_RLDD,38302736510,8000,,15,,,1,,,1,0,8000,7,,,,0,0,0,
18,0x4807c00000008000,9,ECI_CMD_MRSP_PSHA,38302736847,8000,0,15,0,,,0,,1,4,8000,5,0,,0,,0,,0
19,0x7003e40000000000,14,ECI_CMD_MFWD_SINV_H,38302752242,0,,15,,0,1,,1,,5,0,9,0,,,0,0,,
20,0x2000200000000000,4,ECI_CMD_MRSP_HAKD,38302752308,0,,0,,0,1,,,,1,0,11,,,,,0,,0
21,0x0003f00000000100,0,ECI_CMD_MREQ_RLDD,38302752535,100,,15,,,1,,,0,0,100,7,,,,0,4,0,
22,0x4803c00000000100,9,ECI_CMD_MRSP_PSHA,38302752611,100,0,15,0,,,0,,0,4,100,5,0,,0,,0,,0
23,0x0003ec0000000200,0,ECI_CMD_MREQ_RLDD,38302752856,200,,15,,,1,,,0,0,200,7,,,,0,3,0,
24,0x4803c00000000200,9,ECI_CMD_MRSP_PSHA,38302752932,200,0,15,0,,,0,,0,4,200,5,0,,0,,0,,0
25,0x0003ec0000000300,0,ECI_CMD_MREQ_RLDD,38302753177,300,,15,,,1,,,0,0,300,7,,,,0,3,0,
26,0x4803c00000000300,9,ECI_CMD_MRSP_PSHA,38302753253,300,0,15,0,,,0,,0,4,300,5,0,,0,,0,,0
27,0x0047ec0000000400,0,ECI_CMD_MREQ_RLDD,38302753498,400,,15,,,1,,,17,0,400,7,,,,0,3,0,
28,0x4847c00000000400,9,ECI_CMD_MRSP_PSHA,38302753574,400,0,15,0,,,0,,17,4,400,5,0,,0,,0,,0
29,0x0043ec0000000500,0,ECI_CMD_MREQ_RLDD,38302753820,500,,15,,,1,,,16,0,500,7,,,,0,3,0,
30,0x4843c00000000500,9,ECI_CMD_MRSP_PSHA,38302753896,500,0,15,0,,,0,,16,4,500,5,0,,0,,0,,0
31,0x0043ec0000000600,0,ECI_CMD_MREQ_RLDD,38302754142,600,,15,,,1,,,16,0,600,7,,,,0,3,0,
32,0x4843c00000000600,9,ECI_CMD_MRSP_PSHA,38302754218,600,0,15,0,,,0,,16,4,600,5,0,,0,,0,,0
33,0x0007e00000000000,0,ECI_CMD_MREQ_RLDD,38302755104,0,,15,,,1,,,1,0,0,7,,,,0,0,0,
34,0x700be40000000100,14,ECI_CMD_MFWD_SINV_H,38302755175,100,,15,,2,1,,1,,5,100,9,0,,,0,0,,
35,0x7013e40000000200,14,ECI_CMD_MFWD_SINV_H,38302755177,200,,15,,4,1,,1,,5,200,9,0,,,0,0,,
36,0x701be40000000300,14,ECI_CMD_MFWD_SINV_H,38302755179,300,,15,,6,1,,1,,5,300,9,0,,,0,0,,
37,0x7023e40000000400,14,ECI_CMD_MFWD_SINV_H,38302755181,400,,15,,8,1,,1,,5,400,9,0,,,0,0,,
38,0x702be40000000500,14,ECI_CMD_MFWD_SINV_H,38302755183,500,,15,,10,1,,1,,5,500,9,0,,,0,0,,
39,0x7033e40000000600,14,ECI_CMD_MFWD_SINV_H,38302755185,600,,15,,12,1,,1,,5,600,9,0,,,0,0,,
40,0x2008200000000100,4,ECI_CMD_MRSP_HAKD,38302755242,100,,0,,2,1,,,,1,100,11,,,,,0,,0
41,0x2010200000000200,4,ECI_CMD_MRSP_HAKD,38302755244,200,,0,,4,1,,,,1,200,11,,,,,0,,0
42,0x2020200000000400,4,ECI_CMD_MRSP_HAKD,38302755246,400,,0,,8,1,,,,1,400,11,,,,,0,,0
