Sample in Buffer,Sample in Window,TRIGGER,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/probe0[47:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tdata[511:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tkeep[63:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tuser,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tvalid,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tlast,Interface_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0],T_Channel_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,1,000060e826a7,008f000100000205003a160000000000000000000000000002ffd3e473fefffb900200000000000080fe01004c0000000060dd86d3e473fb9000160000003333,ffffffffffffffff,0,1,0,"_","_"
1,1,0,000060e826a8,000000000000000000000000000000000000000000000000000000000000000002ff00000004000000ff0100000000000000000002ff0000000403000000b6a4,0000000000000000,0,0,0,"_","_"
2,2,0,000060e826a9,00000000000000000000000002ff00000004d3e473ff0100000000000000000002ff00000004000000ff0100000000000000000002ff0000000403000000b6a4,ffffffffffffffff,0,1,0,"Active","Stream Beat"
3,3,0,000060e826aa,00000000000000000000000000000000000000000000001e000041a30ef1020000000000000000000000000002ff00000004d3e473ff0100000041a30ef10200,0000000000000003,0,1,1,"Active","Last Stream"
4,4,0,000060e826ab,000000000000000000000000000000000000000000000000000000000000001e000041a30ef1020000000000000000000000000002ff00000004d3e473ff0100,0000000000000000,0,0,0,"_","_"
5,5,0,000060e826ac,000000000000000000000000000000000000000000000000000000000000001e000041a30ef1020000000000000000000000000002ff00000004d3e473ff0100,0000000000000000,0,0,0,"_","_"
6,6,0,000060e826ad,000000000000000000000000000000000000000000000000000000000000001e000041a30ef1020000000000000000000000000002ff00000004d3e473ff0100,0000000000000000,0,0,0,"_","_"
7,7,0,000060e826ae,000000000000000000000000000000000000000000000000000000000000001e000041a30ef1020000000000000000000000000002ff00000004d3e473ff0100,0000000000000000,0,0,0,"_","_"
8,8,0,000060e826af,000000000000000000000000000000000000000000000000000000000000001e000041a30ef1020000000000000000000000000002ff00000004d3e473ff0100,0000000000000000,0,0,0,"_","_"
9,9,0,000060e826b0,000000000000000000000000000000000000000000000000000000000000001e000041a30ef1020000000000000000000000000002ff00000004d3e473ff0100,0000000000000000,0,0,0,"_","_"
10,10,0,000060e826b1,000000000000000000000000000000000000000000000000000000000000001e000041a30ef1020000000000000000000000000002ff00000004d3e473ff0100,0000000000000000,0,0,0,"_","_"
11,11,0,000060e826b2,000000000000000000000000000000000000000000000000000000000000001e000041a30ef1020000000000000000000000000002ff00000004d3e473ff0100,0000000000000000,0,0,0,"_","_"
12,12,0,000060e826b3,000000000000000000000000000000000000000000000000000000000000001e000041a30ef1020000000000000000000000000002ff00000004d3e473ff0100,0000000000000000,0,0,0,"_","_"
