Sample in Buffer,Sample in Window,TRIGGER,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/probe0[47:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tdata[511:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tkeep[63:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tuser,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tvalid,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tlast,Interface_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0],T_Channel_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00022ded1b71,00000000000000005043543d4449000000023246435420c00701fe05fe05ffbfa8c0febfa8c08b3c11400040f7fb1b010045000891a0631452f4ffffffffffff,0000000000000000,0,0,0,"_","_"
1,1,1,00022ded1b72,3836312e3239313a5043543d4449000000023246435420c00701fe05fe05ffbfa8c0febfa8c08b3c11400040f7fb1b010045000891a0631452f4ffffffffffff,ffffffffffffffff,0,1,0,"Active","Stream Beat"
2,2,0,00022ded1b73,2d35322d302e30312e352078756e694c3d656d614e534f0072657672655320657261776472614820786e696c69583d656d614e00693c803a3435322e3139312e,ffffffffffffffff,0,1,0,"Active","Stream Beat"
3,3,0,00022ded1b74,00000000000000000000000000000000382d323935342d383636322d33386464366238363d4449746e65674100746f6f723d656d614e72657355003436646d61,0000000000000000,0,0,0,"_","_"
4,4,0,00022ded1b75,3330366465393463613762312d383664382d323935342d383636322d33386464366238363d4449746e65674100746f6f723d656d614e72657355003436646d61,ffffffffffffffff,0,1,0,"Active","Stream Beat"
5,5,0,00022ded1b76,2d323935342d383636322d33386464366238363d4449726567616e614d6563697672655300693c803d74726f50005043543d656d614e74726f70736e61725400,ffffffffffffffff,0,1,0,"Active","Stream Beat"
6,6,0,00022ded1b77,0000000000000000000000000000000000000000000000003435322e3139312e3836312e3239313d74736f4800302d3330366465393463613762312d38366438,0000000000000000,0,0,0,"_","_"
7,7,0,00022ded1b78,000000000000001e000000000000001e0000000a0e2c08003435322e3139312e3836312e3239313d74736f4800302d3330366465393463613762312d38366438,000001ffffffffff,0,1,1,"Active","Last Stream"
8,0,0,000292208bf3,00000000000000000080010000000000000000000000000002ffd3e473fefffb900200000000000080fe013a40007e780260dd86d3e473fb9000010000003333,0000000000000000,0,0,0,"_","_"
9,1,1,000292208bf4,467d0100b75787530080010000000000000000000000000002ffd3e473fefffb900200000000000080fe013a40007e780260dd86d3e473fb9000010000003333,ffffffffffffffff,0,1,0,"Active","Stream Beat"
10,2,0,000292208bf5,000000000000de46ad7437363534333231302f2e2d2c2b2a292827262524232221201f1e1d1c1b1a19181716151413121110000000000008667e000000006932,003fffffffffffff,0,1,1,"Active","Last Stream"
11,3,0,000292208bf6,000000000000000000000000000000000000000000000000000000000000001e000000000000de46ad7437363534333231302f2e2d2c2b2a2928272625242322,0000000000000000,0,0,0,"_","_"
12,4,0,000292208bf7,000000000000000000000000000000000000000000000000000000000000001e000000000000de46ad7437363534333231302f2e2d2c2b2a2928272625242322,0000000000000000,0,0,0,"_","_"
13,5,0,000292208bf8,000000000000000000000000000000000000000000000000000000000000001e000000000000de46ad7437363534333231302f2e2d2c2b2a2928272625242322,0000000000000000,0,0,0,"_","_"
14,6,0,000292208bf9,000000000000000000000000000000000000000000000000000000000000001e000000000000de46ad7437363534333231302f2e2d2c2b2a2928272625242322,0000000000000000,0,0,0,"_","_"
15,7,0,000292208bfa,000000000000000000000000000000000000000000000000000000000000001e000000000000de46ad7437363534333231302f2e2d2c2b2a2928272625242322,0000000000000000,0,0,0,"_","_"
16,0,0,00029220e113,000000000000000000000000000000000000000000000000530e000000000000530e00000000000080feff3a200000000060dd8661010331530cd3e473ff3333,0000000000000000,0,0,0,"_","_"
17,1,1,00029220e114,80fe0000000010370087d3e473ff0100000000000000000002ff610103feff31530e00000000000080feff3a200000000060dd8661010331530cd3e473ff3333,ffffffffffffffff,0,1,0,"Active","Stream Beat"
18,2,0,00029220e115,00000000000000000000000000000000000000000000001e000000000000001e0000000000000223cd3861010331530c0101d3e473fefffb9002000000000000,00000000003fffff,0,1,1,"Active","Last Stream"
19,3,0,00029220e116,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000223cd3861010331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
20,4,0,00029220e117,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000223cd3861010331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
21,5,0,00029220e118,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000223cd3861010331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
