size,acquire_cyc,after_tx_commit_cyc,after_dma_read_cyc,exit_cyc,host_got_tx_buf_cyc,entry_cyc,after_rx_queue_cyc,after_dma_write_cyc,read_start_cyc,after_read_cyc,after_rx_commit_cyc,host_read_complete_cyc
64,4263254486,4263254509,4263254520,4263254529,4263252466,4263254597,4263254606,4263254612,4263254659,4263254616,0,4263254823
64,4263262188,4263262211,4263262222,4263262231,4263261912,4263262300,4263262308,4263262314,4263262352,4263262318,4263262353,4263262594
64,4263269399,4263269422,4263269433,4263269442,4263269125,4263269510,4263269519,4263269525,4263269562,4263269529,4263269563,4263269803
64,4263276662,4263276685,4263276696,4263276705,4263276387,4263276774,4263276782,4263276788,4263276827,4263276792,4263276828,4263277067
64,4263283818,4263283841,4263283852,4263283861,4263283544,4263283928,4263283937,4263283943,4263283984,4263283947,4263283985,4263284223
64,4263290979,4263291002,4263291013,4263291022,4263290705,4263291091,4263291100,4263291106,4263291143,4263291110,4263291144,4263291380
64,4263298228,4263298251,4263298262,4263298271,4263297955,4263298340,4263298348,4263298354,4263298391,4263298358,4263298392,4263298628
64,4263305384,4263305407,4263305418,4263305427,4263305109,4263305495,4263305504,4263305510,4263305548,4263305514,4263305549,4263305786
64,4263312532,4263312555,4263312566,4263312575,4263312258,4263312645,4263312653,4263312659,4263312697,4263312663,4263312698,4263312933
64,4263319769,4263319792,4263319803,4263319812,4263319495,4263319880,4263319889,4263319895,4263319932,4263319899,4263319933,4263320170
64,4263326916,4263326939,4263326950,4263326959,4263326642,4263327029,4263327037,4263327043,4263327081,4263327047,4263327082,4263327327
64,4263334101,4263334124,4263334135,4263334144,4263333828,4263334211,4263334220,4263334226,4263334265,4263334230,4263334266,4263334503
64,4263341339,4263341362,4263341373,4263341382,4263341065,4263341451,4263341459,4263341465,4263341505,4263341469,4263341506,4263341744
64,4263348497,4263348520,4263348531,4263348540,4263348224,4263348609,4263348617,4263348623,4263348661,4263348627,4263348662,4263348900
64,4263355656,4263355679,4263355690,4263355699,4263355385,4263355767,4263355775,4263355781,4263355821,4263355785,4263355822,4263356060
64,4263362905,4263362928,4263362939,4263362948,4263362628,4263363018,4263363026,4263363032,4263363069,4263363036,4263363070,4263363307
64,4263370091,4263370114,4263370125,4263370134,4263369817,4263370202,4263370211,4263370217,4263370256,4263370221,4263370257,4263370494
64,4263377253,4263377276,4263377287,4263377296,4263376978,4263377364,4263377372,4263377378,4263377417,4263377382,4263377418,4263377656
64,4263384479,4263384502,4263384513,4263384522,4263384205,4263384590,4263384598,4263384604,4263384645,4263384608,4263384646,4263384884
64,4263391639,4263391662,4263391673,4263391682,4263391364,4263391750,4263391759,4263391765,4263391804,4263391769,4263391805,4263392040
64,4263398799,4263398822,4263398833,4263398842,4263398526,4263398911,4263398920,4263398926,4263398963,4263398930,4263398964,4263399201
64,4263406033,4263406056,4263406067,4263406076,4263405759,4263406143,4263406152,4263406158,4263406197,4263406162,4263406198,4263406438
64,4263413194,4263413217,4263413228,4263413237,4263412921,4263413305,4263413314,4263413320,4263413358,4263413324,4263413359,4263413598
64,4263420354,4263420377,4263420388,4263420397,4263420079,4263420466,4263420475,4263420481,4263420518,4263420485,4263420519,4263420756
64,4263427586,4263427609,4263427620,4263427629,4263427314,4263427697,4263427706,4263427712,4263427752,4263427716,4263427753,4263427991
64,4263434751,4263434774,4263434785,4263434794,4263434475,4263434862,4263434871,4263434877,4263434914,4263434881,4263434915,4263435152
64,4263441909,4263441932,4263441943,4263441952,4263441635,4263442021,4263442030,4263442036,4263442074,4263442040,4263442075,4263442313
64,4263449142,4263449165,4263449176,4263449185,4263448865,4263449253,4263449262,4263449268,4263449306,4263449272,4263449307,4263449546
