size,acquire_cyc,after_tx_commit_cyc,after_dma_read_cyc,exit_cyc,host_got_tx_buf_cyc,entry_cyc,after_rx_queue_cyc,after_dma_write_cyc,read_start_cyc,after_read_cyc,after_rx_commit_cyc,host_read_complete_cyc
64,3762279488,3762279384,3762279392,3762279401,3762278264,3762279469,3762279478,3762279482,3762279428,3762279486,3762280669,3762280456
64,3762288850,3762288746,3762288754,3762288763,3762288501,3762288831,3762288840,3762288844,3762288790,3762288848,3762290010,3762289796
64,3762297039,3762296935,3762296943,3762296952,3762296690,3762297020,3762297029,3762297033,3762296979,3762297037,3762298203,3762297989
64,3762305127,3762305022,3762305030,3762305039,3762304781,3762305108,3762305117,3762305121,3762305066,3762305125,3762306283,3762306071
64,3762313149,3762313044,3762313052,3762313061,3762312803,3762313130,3762313139,3762313143,3762313088,3762313147,3762314308,3762314094
64,3762321220,3762321116,3762321124,3762321133,3762320866,3762321201,3762321210,3762321214,3762321160,3762321218,3762322380,3762322166
64,3762329302,3762329198,3762329206,3762329215,3762328953,3762329284,3762329292,3762329296,3762329242,3762329300,3762330460,3762330247
64,3762337303,3762337199,3762337207,3762337216,3762336958,3762337284,3762337293,3762337297,3762337243,3762337301,3762338459,3762338247
64,3762345288,3762345184,3762345192,3762345201,3762344943,3762345270,3762345278,3762345282,3762345228,3762345286,3762346444,3762346231
64,3762353276,3762353172,3762353180,3762353189,3762352931,3762353258,3762353266,3762353270,3762353216,3762353274,3762354435,3762354221
64,3762361263,3762361159,3762361167,3762361176,3762360919,3762361244,3762361253,3762361257,3762361203,3762361261,3762362423,3762362209
64,3762369291,3762369187,3762369195,3762369204,3762368947,3762369272,3762369281,3762369285,3762369231,3762369289,3762370448,3762370236
64,3762377339,3762377235,3762377243,3762377252,3762376994,3762377320,3762377329,3762377333,3762377279,3762377337,3762378496,3762378283
64,3762385380,3762385276,3762385284,3762385293,3762385037,3762385362,3762385370,3762385374,3762385320,3762385378,3762386540,3762386326
64,3762393402,3762393298,3762393306,3762393315,3762393057,3762393384,3762393392,3762393396,3762393342,3762393400,3762394560,3762394347
64,3762401426,3762401321,3762401329,3762401338,3762401080,3762401407,3762401416,3762401420,3762401365,3762401424,3762402586,3762402373
64,3762409416,3762409311,3762409319,3762409328,3762409070,3762409397,3762409406,3762409410,3762409355,3762409414,3762410575,3762410361
64,3762417409,3762417305,3762417313,3762417322,3762417060,3762417390,3762417399,3762417403,3762417349,3762417407,3762418569,3762418355
64,3762425394,3762425289,3762425297,3762425306,3762425048,3762425375,3762425384,3762425388,3762425333,3762425392,3762426552,3762426339
64,3762433381,3762433276,3762433284,3762433293,3762433036,3762433362,3762433371,3762433375,3762433320,3762433379,3762434538,3762434326
64,3762441385,3762441281,3762441289,3762441298,3762441040,3762441367,3762441375,3762441379,3762441325,3762441383,3762442545,3762442331
64,3762449398,3762449293,3762449301,3762449310,3762449052,3762449379,3762449388,3762449392,3762449337,3762449396,3762450557,3762450344
64,3762457535,3762457430,3762457438,3762457447,3762457189,3762457516,3762457525,3762457529,3762457474,3762457533,3762458694,3762458480
64,3762465522,3762465417,3762465425,3762465434,3762465176,3762465503,3762465512,3762465516,3762465461,3762465520,3762466680,3762466467
64,3762473512,3762473407,3762473415,3762473424,3762473166,3762473493,3762473502,3762473506,3762473451,3762473510,3762474673,3762474459
64,3762481501,3762481396,3762481404,3762481413,3762481155,3762481482,3762481491,3762481495,3762481440,3762481499,3762482660,3762482446
64,3762489516,3762489412,3762489420,3762489429,3762489171,3762489498,3762489506,3762489510,3762489456,3762489514,3762490675,3762490461
64,3762497528,3762497423,3762497431,3762497440,3762497182,3762497509,3762497518,3762497522,3762497467,3762497526,3762498684,3762498472
64,3762505544,3762505440,3762505448,3762505457,3762505199,3762505526,3762505534,3762505538,3762505484,3762505542,3762506704,3762506490
64,3762524166,3762524062,3762524070,3762524079,3762523810,3762524148,3762524156,3762524160,3762524106,3762524164,3762525323,3762525111
64,3762532308,3762532204,3762532212,3762532221,3762531959,3762532289,3762532298,3762532302,3762532248,3762532306,3762533466,3762533253
64,3762540468,3762540364,3762540372,3762540381,3762540120,3762540449,3762540458,3762540462,3762540408,3762540466,3762541627,3762541414
64,3762548564,3762548459,3762548467,3762548476,3762548214,3762548545,3762548554,3762548558,3762548503,3762548562,3762549733,3762549519
64,3762556711,3762556606,3762556614,3762556623,3762556362,3762556692,3762556701,3762556705,3762556650,3762556709,3762557872,3762557658
64,3762564786,3762564682,3762564690,3762564699,3762564437,3762564768,3762564776,3762564780,3762564726,3762564784,3762565945,3762565731
64,3762572875,3762572771,3762572779,3762572788,3762572531,3762572857,3762572865,3762572869,3762572815,3762572873,3762574033,3762573821
64,3762580863,3762580759,3762580767,3762580776,3762580518,3762580845,3762580853,3762580857,3762580803,3762580861,3762582021,3762581808
64,3762588877,3762588772,3762588780,3762588789,3762588532,3762588858,3762588867,3762588871,3762588816,3762588875,3762590038,3762589824
64,3762596876,3762596772,3762596780,3762596789,3762596531,3762596858,3762596866,3762596870,3762596816,3762596874,3762598035,3762597821
64,3762604891,3762604786,3762604794,3762604803,3762604540,3762604872,3762604881,3762604885,3762604830,3762604889,3762606050,3762605836
64,3762612920,3762612815,3762612823,3762612832,3762612570,3762612901,3762612910,3762612914,3762612859,3762612918,3762614080,3762613866
64,3762620938,3762620834,3762620842,3762620851,3762620595,3762620919,3762620928,3762620932,3762620878,3762620936,3762622097,3762621884
64,3762628917,3762628813,3762628821,3762628830,3762628572,3762628898,3762628907,3762628911,3762628857,3762628915,3762630077,3762629863
64,3762636924,3762636820,3762636828,3762636837,3762636579,3762636905,3762636914,3762636918,3762636864,3762636922,3762638084,3762637870
64,3762644924,3762644819,3762644827,3762644836,3762644579,3762644905,3762644914,3762644918,3762644863,3762644922,3762646083,3762645869
64,3762652942,3762652838,3762652846,3762652855,3762652597,3762652923,3762652932,3762652936,3762652882,3762652940,3762654099,3762653887
64,3762660956,3762660851,3762660859,3762660868,3762660610,3762660938,3762660946,3762660950,3762660895,3762660954,3762662118,3762661904
64,3762668972,3762668868,3762668876,3762668885,3762668629,3762668953,3762668962,3762668966,3762668912,3762668970,3762670131,3762669917
64,3762677035,3762676930,3762676938,3762676947,3762676690,3762677016,3762677025,3762677029,3762676974,3762677033,3762678194,3762677980
64,3762685044,3762684940,3762684948,3762684957,3762684699,3762685026,3762685034,3762685038,3762684984,3762685042,3762686200,3762685988
128,3762696838,3762696730,3762696739,3762696749,3762696462,3762696819,3762696828,3762696832,3762696774,3762696836,3762698930,3762698716
128,3762705660,3762705552,3762705561,3762705570,3762705284,3762705640,3762705650,3762705654,3762705596,3762705658,3762707749,3762707536
128,3762714657,3762714549,3762714558,3762714568,3762714282,3762714638,3762714647,3762714651,3762714593,3762714655,3762716745,3762716531
128,3762723655,3762723548,3762723557,3762723566,3762723286,3762723636,3762723645,3762723649,3762723592,3762723653,3762725739,3762725527
128,3762732591,3762732482,3762732491,3762732501,3762732221,3762732571,3762732581,3762732585,3762732526,3762732589,3762734679,3762734465
128,3762741538,3762741430,3762741439,3762741448,3762741167,3762741518,3762741528,3762741532,3762741474,3762741536,3762743624,3762743411
128,3762750482,3762750374,3762750383,3762750393,3762750113,3762750462,3762750472,3762750476,3762750418,3762750480,3762752569,3762752356
128,3762759460,3762759352,3762759361,3762759371,3762759086,3762759441,3762759450,3762759454,3762759396,3762759458,3762761545,3762761332
128,3762768462,3762768355,3762768364,3762768373,3762768090,3762768443,3762768452,3762768456,3762768399,3762768460,3762770552,3762770338
