size,acquire_cyc,after_tx_commit_cyc,after_dma_read_cyc,exit_cyc,host_got_tx_buf_cyc,entry_cyc,after_rx_queue_cyc,after_dma_write_cyc,read_start_cyc,after_read_cyc,after_rx_commit_cyc,host_read_complete_cyc
64,3339539092,3339540380,3339540388,3339540397,3339539289,3339540465,3339540473,3339540477,3339540426,3339540481,3339541665,3339541469
64,3339547942,3339548389,3339548397,3339548406,3339548148,3339548474,3339548483,3339548487,3339548435,3339548491,3339549634,3339549438
64,3339555310,3339555750,3339555758,3339555767,3339555510,3339555835,3339555844,3339555848,3339555796,3339555852,3339556991,3339556795
64,3339562630,3339563068,3339563076,3339563085,3339562829,3339563153,3339563162,3339563166,3339563114,3339563170,3339564310,3339564114
64,3339570019,3339570454,3339570462,3339570471,3339570216,3339570539,3339570548,3339570552,3339570500,3339570556,3339571695,3339571499
64,3339577369,3339577807,3339577815,3339577824,3339577567,3339577892,3339577900,3339577904,3339577853,3339577908,3339579047,3339578852
64,3339584676,3339585113,3339585121,3339585130,3339584874,3339585199,3339585208,3339585212,3339585159,3339585216,3339586357,3339586161
64,3339592057,3339592493,3339592501,3339592510,3339592255,3339592579,3339592588,3339592592,3339592539,3339592596,3339593733,3339593538
64,3339599363,3339599800,3339599808,3339599817,3339599562,3339599886,3339599895,3339599899,3339599846,3339599903,3339601044,3339600848
64,3339606700,3339607138,3339607146,3339607155,3339606899,3339607224,3339607233,3339607237,3339607184,3339607241,3339608382,3339608186
64,3339614087,3339614523,3339614531,3339614540,3339614285,3339614608,3339614617,3339614621,3339614569,3339614625,3339615764,3339615568
64,3339621386,3339621823,3339621831,3339621840,3339621584,3339621909,3339621918,3339621922,3339621869,3339621926,3339623065,3339622870
64,3339628692,3339629129,3339629137,3339629146,3339628891,3339629214,3339629223,3339629227,3339629175,3339629231,3339630371,3339630175
64,3339636076,3339636513,3339636521,3339636530,3339636274,3339636599,3339636607,3339636611,3339636559,3339636615,3339637754,3339637559
64,3339643404,3339643839,3339643847,3339643856,3339643601,3339643925,3339643934,3339643938,3339643885,3339643942,3339645080,3339644884
64,3339650706,3339651143,3339651151,3339651160,3339650905,3339651228,3339651237,3339651241,3339651189,3339651245,3339652387,3339652191
64,3339658091,3339658527,3339658535,3339658544,3339658289,3339658613,3339658622,3339658626,3339658573,3339658630,3339659769,3339659573
64,3339665395,3339665833,3339665841,3339665850,3339665594,3339665918,3339665927,3339665931,3339665879,3339665935,3339667077,3339666881
64,3339672710,3339673146,3339673154,3339673163,3339672907,3339673231,3339673240,3339673244,3339673192,3339673248,3339674389,3339674192
64,3339680113,3339680548,3339680556,3339680565,3339680311,3339680634,3339680642,3339680646,3339680594,3339680650,3339681790,3339681594
64,3339687412,3339687848,3339687856,3339687865,3339687610,3339687934,3339687942,3339687946,3339687894,3339687950,3339689088,3339688893
64,3339694726,3339695165,3339695173,3339695182,3339694925,3339695251,3339695259,3339695263,3339695211,3339695267,3339696407,3339696211
64,3339702099,3339702535,3339702543,3339702552,3339702296,3339702620,3339702629,3339702633,3339702581,3339702637,3339703775,3339703579
64,3339709401,3339709838,3339709846,3339709855,3339709599,3339709924,3339709933,3339709937,3339709884,3339709941,3339711082,3339710886
64,3339716709,3339717143,3339717151,3339717160,3339716906,3339717228,3339717237,3339717241,3339717189,3339717245,3339718385,3339718189
64,3339724088,3339724525,3339724533,3339724542,3339724287,3339724611,3339724620,3339724624,3339724571,3339724628,3339725767,3339725571
64,3339731395,3339731834,3339731842,3339731851,3339731594,3339731919,3339731928,3339731932,3339731880,3339731936,3339733075,3339732879
64,3339738699,3339739144,3339739152,3339739161,3339738897,3339739229,3339739238,3339739242,3339739190,3339739246,3339740384,3339740189
64,3339746096,3339746532,3339746540,3339746549,3339746294,3339746617,3339746626,3339746630,3339746578,3339746634,3339747774,3339747577
64,3339762082,3339762534,3339762542,3339762551,3339762280,3339762619,3339762628,3339762632,3339762580,3339762636,3339763774,3339763579
64,3339769509,3339769947,3339769955,3339769964,3339769707,3339770033,3339770041,3339770045,3339769993,3339770049,3339771187,3339770992
64,3339776828,3339777267,3339777275,3339777284,3339777027,3339777353,3339777361,3339777365,3339777313,3339777369,3339778509,3339778313
64,3339784153,3339784590,3339784598,3339784607,3339784352,3339784676,3339784685,3339784689,3339784636,3339784693,3339785843,3339785647
64,3339791597,3339792033,3339792041,3339792050,3339791795,3339792118,3339792127,3339792131,3339792079,3339792135,3339793275,3339793078
64,3339798906,3339799343,3339799351,3339799360,3339799104,3339799429,3339799438,3339799442,3339799389,3339799446,3339800587,3339800391
64,3339806218,3339806655,3339806663,3339806672,3339806416,3339806741,3339806749,3339806753,3339806701,3339806757,3339807898,3339807701
64,3339813600,3339814038,3339814046,3339814055,3339813799,3339814124,3339814133,3339814137,3339814084,3339814141,3339815280,3339815085
64,3339820907,3339821343,3339821351,3339821360,3339821105,3339821429,3339821438,3339821442,3339821389,3339821446,3339822586,3339822389
64,3339828289,3339828727,3339828735,3339828744,3339828488,3339828813,3339828822,3339828826,3339828773,3339828830,3339829970,3339829775
64,3339835599,3339836034,3339836042,3339836051,3339835796,3339836119,3339836128,3339836132,3339836080,3339836136,3339837276,3339837079
64,3339842901,3339843337,3339843345,3339843354,3339843099,3339843422,3339843431,3339843435,3339843383,3339843439,3339844576,3339844381
64,3339850281,3339850718,3339850726,3339850735,3339850480,3339850803,3339850812,3339850816,3339850764,3339850820,3339851959,3339851763
64,3339857586,3339858022,3339858030,3339858039,3339857784,3339858107,3339858115,3339858119,3339858068,3339858123,3339859260,3339859065
64,3339864885,3339865323,3339865331,3339865340,3339865084,3339865409,3339865418,3339865422,3339865369,3339865426,3339866566,3339866371
64,3339872269,3339872704,3339872712,3339872721,3339872466,3339872790,3339872799,3339872803,3339872750,3339872807,3339873945,3339873749
64,3339879576,3339880013,3339880021,3339880030,3339879775,3339880099,3339880107,3339880111,3339880059,3339880115,3339881255,3339881060
64,3339886881,3339887317,3339887325,3339887334,3339887079,3339887402,3339887411,3339887415,3339887363,3339887419,3339888558,3339888362
64,3339894310,3339894746,3339894754,3339894763,3339894508,3339894831,3339894840,3339894844,3339894792,3339894848,3339895985,3339895790
64,3339901615,3339902053,3339902061,3339902070,3339901814,3339902138,3339902147,3339902151,3339902099,3339902155,3339903295,3339903099
64,3339908919,3339909355,3339909363,3339909372,3339909116,3339909441,3339909450,3339909454,3339909401,3339909458,3339910598,3339910401
128,3339919637,3339920109,3339920118,3339920128,3339919836,3339920197,3339920207,3339920211,3339920155,3339920215,3339922284,3339922088
128,3339927739,3339928210,3339928219,3339928229,3339927938,3339928299,3339928308,3339928312,3339928256,3339928316,3339930384,3339930189
128,3339936014,3339936485,3339936494,3339936504,3339936212,3339936573,3339936583,3339936587,3339936531,3339936591,3339938655,3339938459
128,3339944353,3339944821,3339944830,3339944840,3339944551,3339944909,3339944919,3339944923,3339944867,3339944927,3339946990,3339946794
128,3339952611,3339953078,3339953087,3339953096,3339952809,3339953166,3339953176,3339953180,3339953124,3339953184,3339955246,3339955050
128,3339960944,3339961412,3339961421,3339961430,3339961143,3339961499,3339961509,3339961513,3339961458,3339961517,3339963579,3339963383
128,3339969199,3339969667,3339969676,3339969686,3339969398,3339969756,3339969766,3339969770,3339969713,3339969774,3339971834,3339971638
128,3339977456,3339977926,3339977935,3339977945,3339977655,3339978015,3339978024,3339978028,3339977972,3339978032,3339980093,3339979898
128,3339985789,3339986258,3339986267,3339986276,3339985988,3339986346,3339986356,3339986360,3339986304,3339986364,3339988425,3339988230
128,3339994051,3339994520,3339994529,3339994539,3339994250,3339994607,3339994617,3339994621,3339994566,3339994625,3339996687,3339996491
128,3340009868,3340010346,3340010355,3340010364,3340010066,3340010433,3340010443,3340010447,3340010392,3340010451,3340012515,3340012318
128,3340018163,3340018633,3340018642,3340018652,3340018362,3340018721,3340018731,3340018735,3340018679,3340018739,3340020800,3340020605
128,3340026508,3340026975,3340026984,3340026993,3340026706,3340027063,3340027073,3340027077,3340027021,3340027081,3340029145,3340028949
128,3340034771,3340035238,3340035247,3340035257,3340034969,3340035326,3340035336,3340035340,3340035284,3340035344,3340037406,3340037210
128,3340043054,3340043523,3340043532,3340043542,3340043253,3340043611,3340043621,3340043625,3340043569,3340043629,3340045690,3340045495
128,3340051431,3340051901,3340051910,3340051919,3340051630,3340051989,3340051999,3340052003,3340051947,3340052007,3340054066,3340053871
128,3340059702,3340060171,3340060180,3340060190,3340059901,3340060259,3340060269,3340060273,3340060217,3340060277,3340062340,3340062144
128,3340068047,3340068515,3340068524,3340068534,3340068245,3340068603,3340068613,3340068617,3340068561,3340068621,3340070685,3340070489
128,3340076316,3340076783,3340076792,3340076802,3340076514,3340076872,3340076881,3340076885,3340076829,3340076889,3340078952,3340078755
128,3340084579,3340085047,3340085056,3340085066,3340084778,3340085135,3340085145,3340085149,3340085093,3340085153,3340087214,3340087019
128,3340092919,3340093390,3340093399,3340093408,3340093118,3340093477,3340093486,3340093490,3340093436,3340093494,3340095565,3340095369
128,3340101201,3340101669,3340101678,3340101688,3340101399,3340101758,3340101768,3340101772,3340101715,3340101776,3340103840,3340103643
128,3340109466,3340109933,3340109942,3340109951,3340109664,3340110020,3340110030,3340110034,3340109979,3340110038,3340112101,3340111904
128,3340117812,3340118281,3340118290,3340118300,3340118011,3340118369,3340118379,3340118383,3340118327,3340118387,3340120449,3340120253
128,3340126084,3340126550,3340126559,3340126569,3340126281,3340126639,3340126648,3340126652,3340126596,3340126656,3340128720,3340128524
128,3340134424,3340134891,3340134900,3340134910,3340134622,3340134980,3340134989,3340134993,3340134937,3340134997,3340137061,3340136864
128,3340142693,3340143161,3340143170,3340143179,3340142892,3340143248,3340143258,3340143262,3340143207,3340143266,3340145330,3340145135
128,3340150958,3340151428,3340151437,3340151447,3340151157,3340151516,3340151526,3340151530,3340151474,3340151534,3340153602,3340153406
128,3340159309,3340159776,3340159785,3340159794,3340159506,3340159864,3340159874,3340159878,3340159822,3340159882,3340161945,3340161749
